,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[567, 93, 164, 197]",0.18,0.0,0.63,0.02,0.08,0.08,0.01,,,,,,,,
1,"[552, 147, 183, 227]",0.16,0.0,0.34,0.09,0.27,0.11,0.02,,,,,,,,
2,"[586, 121, 169, 218]",0.0,0.0,0.01,0.93,0.0,0.03,0.03,,,,,,,,
3,"[583, 94, 166, 201]",0.08,0.0,0.53,0.07,0.12,0.19,0.02,,,,,,,,
4,"[551, 117, 166, 200]",0.16,0.0,0.48,0.06,0.15,0.12,0.03,,,,,,,,
5,"[560, 113, 175, 228]",0.03,0.0,0.45,0.02,0.05,0.44,0.0,,,,,,,,
6,"[579, 107, 165, 203]",0.25,0.12,0.44,0.03,0.15,0.01,0.01,,,,,,,,
7,"[561, 169, 179, 223]",0.11,0.0,0.21,0.11,0.07,0.1,0.4,,,,,,,,
8,"[585, 121, 178, 234]",0.13,0.02,0.6,0.01,0.14,0.09,0.01,,,,,,,,
9,"[581, 123, 172, 225]",0.08,0.0,0.11,0.11,0.17,0.01,0.53,,,,,,,,
10,"[578, 120, 174, 226]",0.13,0.0,0.35,0.02,0.04,0.33,0.14,,,,,,,,
11,"[569, 139, 188, 241]",0.04,0.0,0.17,0.41,0.04,0.3,0.03,,,,,,,,
12,"[543, 126, 180, 238]",0.04,0.0,0.16,0.33,0.09,0.27,0.11,,,,,,,,
13,"[580, 108, 186, 241]",0.03,0.0,0.79,0.04,0.1,0.04,0.0,,,,,,,,
14,"[566, 135, 191, 241]",0.08,0.0,0.48,0.02,0.06,0.34,0.01,,,,,,,,
15,"[578, 105, 187, 239]",0.15,0.0,0.62,0.03,0.17,0.02,0.01,,,,,,,,
16,"[558, 108, 195, 243]",0.1,0.0,0.55,0.01,0.13,0.19,0.01,,,,,,,,
