,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
231,"[810, 162, 81, 100]",0.17,0.0,0.03,0.29,0.16,0.0,0.34,"[337, 107, 85, 112]",0.07,0.0,0.01,0.0,0.1,0.0,0.82,,,,,,,,,,,,,,,,
232,"[845, 178, 73, 87]",0.14,0.0,0.3,0.06,0.41,0.04,0.04,"[321, 109, 79, 108]",0.07,0.0,0.01,0.01,0.13,0.0,0.78,,,,,,,,,,,,,,,,
233,"[320, 105, 87, 110]",0.1,0.0,0.01,0.0,0.09,0.0,0.8,"[829, 182, 79, 95]",0.63,0.0,0.31,0.01,0.03,0.01,0.0,,,,,,,,,,,,,,,,
234,"[844, 178, 73, 87]",0.23,0.0,0.03,0.24,0.3,0.0,0.2,"[328, 105, 90, 117]",0.18,0.0,0.01,0.0,0.21,0.0,0.59,,,,,,,,,,,,,,,,
235,"[847, 178, 80, 94]",0.33,0.0,0.05,0.05,0.49,0.0,0.08,"[334, 111, 85, 108]",0.22,0.0,0.02,0.0,0.14,0.0,0.61,,,,,,,,,,,,,,,,
236,"[331, 110, 86, 112]",0.38,0.0,0.02,0.01,0.13,0.0,0.45,"[838, 182, 82, 94]",0.37,0.0,0.03,0.01,0.54,0.0,0.05,,,,,,,,,,,,,,,,
237,"[328, 110, 83, 111]",0.07,0.0,0.0,0.01,0.06,0.0,0.86,"[856, 166, 77, 103]",0.29,0.0,0.06,0.04,0.3,0.0,0.31,,,,,,,,,,,,,,,,
238,"[327, 113, 80, 110]",0.03,0.0,0.01,0.0,0.1,0.0,0.86,"[845, 173, 78, 99]",0.23,0.0,0.01,0.12,0.09,0.0,0.56,"[276, 603, 23, 23]",0.11,0.08,0.1,0.24,0.24,0.0,0.23,,,,,,,,
239,"[323, 108, 86, 109]",0.21,0.0,0.01,0.0,0.1,0.0,0.67,"[860, 157, 76, 100]",0.33,0.0,0.14,0.02,0.45,0.0,0.06,,,,,,,,,,,,,,,,
240,"[312, 109, 92, 114]",0.14,0.0,0.02,0.01,0.16,0.0,0.68,"[851, 164, 82, 102]",0.13,0.0,0.09,0.29,0.21,0.01,0.27,,,,,,,,,,,,,,,,
241,"[826, 166, 79, 93]",0.13,0.0,0.19,0.13,0.52,0.01,0.02,"[310, 110, 82, 108]",0.07,0.0,0.02,0.0,0.05,0.0,0.86,,,,,,,,,,,,,,,,
242,"[860, 175, 77, 94]",0.29,0.0,0.28,0.01,0.09,0.03,0.29,"[322, 112, 86, 110]",0.03,0.0,0.01,0.0,0.1,0.0,0.85,,,,,,,,,,,,,,,,
243,"[325, 115, 84, 109]",0.01,0.0,0.0,0.0,0.04,0.0,0.94,"[835, 172, 84, 101]",0.09,0.0,0.29,0.08,0.2,0.01,0.34,"[189, 373, 27, 32]",0.22,0.0,0.2,0.08,0.42,0.01,0.07,,,,,,,,
244,"[779, 179, 79, 93]",0.12,0.0,0.05,0.01,0.78,0.02,0.02,"[325, 136, 75, 104]",0.63,0.0,0.03,0.05,0.12,0.01,0.15,,,,,,,,,,,,,,,,
245,"[332, 133, 71, 100]",0.31,0.0,0.06,0.01,0.21,0.01,0.39,"[812, 162, 78, 99]",0.21,0.01,0.34,0.01,0.4,0.02,0.01,,,,,,,,,,,,,,,,
246,"[330, 135, 71, 96]",0.41,0.0,0.09,0.0,0.33,0.02,0.14,"[849, 170, 84, 107]",0.55,0.0,0.13,0.01,0.12,0.01,0.19,,,,,,,,,,,,,,,,
247,"[866, 179, 80, 102]",0.15,0.03,0.19,0.0,0.55,0.0,0.08,"[326, 134, 74, 103]",0.52,0.0,0.03,0.02,0.25,0.03,0.15,,,,,,,,,,,,,,,,
248,"[834, 169, 83, 105]",0.86,0.0,0.04,0.0,0.04,0.0,0.05,"[328, 136, 70, 95]",0.34,0.0,0.08,0.01,0.45,0.01,0.11,,,,,,,,,,,,,,,,
249,"[805, 176, 80, 91]",0.35,0.0,0.07,0.02,0.44,0.0,0.13,"[329, 123, 79, 110]",0.47,0.0,0.03,0.01,0.23,0.01,0.25,"[277, 601, 24, 25]",0.01,0.03,0.04,0.71,0.02,0.0,0.19,,,,,,,,
250,"[813, 171, 79, 100]",0.06,0.0,0.04,0.51,0.13,0.0,0.25,"[281, 600, 24, 24]",0.04,0.02,0.1,0.54,0.13,0.0,0.18,"[335, 126, 71, 101]",0.43,0.0,0.02,0.01,0.29,0.0,0.25,,,,,,,,
