,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6
78,"[542, 108, 245, 332]",0.11,0.0,0.33,0.01,0.14,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"[554, 138, 232, 296]",0.08,0.0,0.5,0.0,0.14,0.16,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"[545, 107, 244, 322]",0.06,0.0,0.53,0.01,0.06,0.05,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"[541, 123, 237, 314]",0.16,0.0,0.37,0.01,0.08,0.1,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"[542, 102, 242, 326]",0.14,0.0,0.08,0.0,0.14,0.01,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"[537, 104, 241, 320]",0.1,0.0,0.49,0.01,0.01,0.29,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"[537, 102, 243, 326]",0.12,0.0,0.76,0.02,0.05,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"[544, 103, 235, 320]",0.17,0.0,0.4,0.0,0.04,0.05,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"[536, 103, 238, 316]",0.05,0.0,0.17,0.0,0.03,0.07,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"[539, 121, 237, 316]",0.1,0.0,0.53,0.0,0.04,0.18,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"[527, 104, 235, 319]",0.1,0.0,0.39,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"[523, 104, 245, 327]",0.06,0.0,0.06,0.05,0.06,0.01,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"[527, 84, 239, 318]",0.37,0.0,0.07,0.0,0.14,0.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"[531, 93, 239, 325]",0.08,0.0,0.26,0.18,0.04,0.2,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"[528, 108, 240, 323]",0.14,0.0,0.49,0.04,0.08,0.04,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"[977, 289, 123, 149]",0.14,0.0,0.28,0.24,0.16,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"[1056, 343, 92, 115]",0.44,0.01,0.07,0.14,0.22,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"[1131, 388, 76, 92]",0.25,0.0,0.14,0.12,0.34,0.0,0.15,"[991, 78, 86, 107]",0.3,0.0,0.09,0.16,0.13,0.02,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"[525, 90, 247, 338]",0.14,0.0,0.69,0.0,0.17,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"[533, 114, 241, 317]",0.05,0.0,0.25,0.0,0.03,0.21,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"[521, 95, 243, 324]",0.23,0.0,0.26,0.01,0.13,0.01,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"[529, 100, 242, 323]",0.04,0.0,0.61,0.02,0.04,0.27,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"[538, 96, 244, 332]",0.15,0.0,0.7,0.01,0.09,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"[550, 138, 239, 324]",0.11,0.0,0.3,0.01,0.17,0.04,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"[531, 112, 228, 290]",0.03,0.0,0.18,0.34,0.33,0.03,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"[544, 114, 235, 320]",0.02,0.0,0.03,0.88,0.0,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"[524, 77, 240, 314]",0.18,0.0,0.34,0.0,0.15,0.03,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"[536, 104, 235, 322]",0.11,0.0,0.73,0.03,0.09,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"[530, 107, 237, 322]",0.2,0.0,0.45,0.02,0.12,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"[542, 107, 237, 318]",0.23,0.0,0.43,0.0,0.1,0.02,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"[542, 115, 239, 325]",0.07,0.0,0.12,0.0,0.14,0.01,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"[540, 106, 245, 339]",0.08,0.0,0.21,0.23,0.05,0.07,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"[556, 149, 238, 320]",0.27,0.0,0.47,0.0,0.09,0.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"[545, 98, 232, 315]",0.01,0.0,0.35,0.01,0.02,0.07,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"[542, 125, 237, 323]",0.13,0.0,0.43,0.04,0.07,0.05,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"[530, 86, 237, 314]",0.16,0.0,0.3,0.0,0.25,0.03,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"[528, 105, 238, 323]",0.14,0.0,0.36,0.0,0.02,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"[534, 118, 233, 309]",0.1,0.0,0.43,0.0,0.08,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"[538, 111, 244, 321]",0.07,0.0,0.04,0.0,0.09,0.01,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"[525, 114, 239, 313]",0.07,0.0,0.12,0.01,0.05,0.1,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"[521, 87, 238, 326]",0.15,0.0,0.62,0.02,0.08,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"[530, 87, 239, 320]",0.14,0.0,0.57,0.0,0.08,0.06,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"[532, 107, 241, 327]",0.12,0.0,0.58,0.0,0.09,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"[532, 134, 235, 314]",0.29,0.0,0.41,0.0,0.14,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"[527, 109, 241, 324]",0.13,0.0,0.46,0.04,0.12,0.04,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"[533, 99, 240, 311]",0.14,0.0,0.65,0.01,0.18,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"[528, 105, 245, 327]",0.16,0.0,0.22,0.0,0.06,0.07,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
