,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8
0,"[503, 167, 158, 208]",0.08,0.0,0.12,0.13,0.14,0.01,0.53,"[1098, 460, 46, 57]",0.32,0.0,0.1,0.0,0.49,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[490, 131, 146, 196]",0.26,0.0,0.32,0.0,0.27,0.0,0.14,"[194, 587, 50, 59]",0.01,0.0,0.0,0.92,0.01,0.0,0.06,"[1094, 463, 46, 56]",0.08,0.0,0.2,0.09,0.54,0.02,0.06,"[1004, 576, 40, 50]",0.58,0.02,0.24,0.0,0.09,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[485, 151, 161, 212]",0.39,0.0,0.2,0.0,0.27,0.0,0.14,"[1093, 462, 46, 59]",0.25,0.0,0.15,0.0,0.05,0.53,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[489, 115, 157, 208]",0.17,0.0,0.45,0.02,0.32,0.0,0.04,"[1101, 460, 46, 57]",0.32,0.0,0.05,0.0,0.39,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[500, 126, 149, 203]",0.18,0.0,0.29,0.01,0.29,0.03,0.19,"[1094, 462, 47, 57]",0.18,0.0,0.05,0.01,0.33,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[532, 211, 158, 193]",0.05,0.02,0.06,0.0,0.86,0.0,0.0,"[1089, 464, 49, 62]",0.6,0.01,0.06,0.02,0.29,0.01,0.01,"[196, 589, 48, 56]",0.0,0.0,0.0,0.95,0.01,0.0,0.04,"[1005, 578, 36, 46]",0.36,0.18,0.19,0.03,0.12,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[512, 114, 162, 211]",0.06,0.0,0.04,0.0,0.35,0.0,0.55,"[196, 588, 50, 57]",0.0,0.0,0.0,0.92,0.01,0.0,0.06,"[1089, 462, 46, 59]",0.24,0.0,0.02,0.01,0.13,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[535, 119, 158, 206]",0.27,0.0,0.27,0.03,0.27,0.01,0.15,"[193, 587, 51, 59]",0.0,0.0,0.0,0.93,0.0,0.0,0.06,"[1074, 462, 48, 61]",0.17,0.0,0.07,0.0,0.02,0.72,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[193, 588, 49, 58]",0.0,0.0,0.0,0.9,0.01,0.0,0.09,"[1092, 464, 46, 56]",0.12,0.0,0.02,0.0,0.42,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[1092, 462, 48, 60]",0.18,0.02,0.04,0.0,0.49,0.0,0.27,"[192, 588, 50, 58]",0.0,0.0,0.0,0.91,0.01,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
