,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[603, 502, 102, 129]",0.02,0.0,0.01,0.28,0.36,0.0,0.32,,,,,,,,,,,,,,,,
1,"[579, 146, 83, 117]",0.18,0.0,0.2,0.02,0.15,0.05,0.39,,,,,,,,,,,,,,,,
2,"[585, 146, 81, 118]",0.22,0.0,0.12,0.05,0.08,0.07,0.46,,,,,,,,,,,,,,,,
3,"[583, 177, 81, 106]",0.02,0.0,0.03,0.0,0.14,0.02,0.78,"[605, 320, 172, 217]",0.47,0.0,0.03,0.16,0.23,0.03,0.08,,,,,,,,
4,"[584, 67, 123, 179]",0.16,0.0,0.19,0.01,0.12,0.18,0.35,,,,,,,,,,,,,,,,
5,"[566, 58, 131, 169]",0.15,0.0,0.06,0.0,0.16,0.01,0.61,"[598, 290, 260, 338]",0.11,0.0,0.16,0.43,0.21,0.01,0.08,,,,,,,,
6,"[561, 73, 129, 163]",0.14,0.0,0.02,0.0,0.36,0.0,0.48,"[597, 288, 259, 340]",0.15,0.0,0.13,0.42,0.2,0.01,0.08,,,,,,,,
7,"[562, 77, 127, 163]",0.03,0.0,0.02,0.0,0.24,0.0,0.7,,,,,,,,,,,,,,,,
8,"[584, 75, 124, 170]",0.19,0.01,0.17,0.0,0.27,0.01,0.35,,,,,,,,,,,,,,,,
9,"[606, 68, 129, 178]",0.51,0.0,0.24,0.01,0.1,0.04,0.1,,,,,,,,,,,,,,,,
10,"[496, 81, 131, 167]",0.27,0.08,0.04,0.0,0.53,0.0,0.07,,,,,,,,,,,,,,,,
11,"[584, 69, 134, 181]",0.18,0.0,0.13,0.12,0.22,0.02,0.32,,,,,,,,,,,,,,,,
12,"[581, 71, 132, 176]",0.11,0.0,0.04,0.0,0.29,0.01,0.55,,,,,,,,,,,,,,,,
13,"[436, 94, 134, 166]",0.25,0.01,0.06,0.0,0.27,0.01,0.4,,,,,,,,,,,,,,,,
14,"[516, 77, 128, 154]",0.23,0.0,0.04,0.0,0.31,0.0,0.42,,,,,,,,,,,,,,,,
15,"[572, 62, 133, 178]",0.07,0.0,0.05,0.0,0.12,0.01,0.75,,,,,,,,,,,,,,,,
16,"[490, 95, 125, 159]",0.2,0.01,0.06,0.0,0.28,0.02,0.44,"[598, 293, 244, 329]",0.09,0.0,0.11,0.51,0.2,0.02,0.07,,,,,,,,
17,"[605, 79, 129, 176]",0.3,0.01,0.15,0.0,0.14,0.02,0.39,,,,,,,,,,,,,,,,
18,"[530, 82, 122, 158]",0.15,0.06,0.06,0.0,0.57,0.0,0.16,,,,,,,,,,,,,,,,
19,"[485, 71, 131, 171]",0.09,0.01,0.05,0.0,0.33,0.0,0.52,,,,,,,,,,,,,,,,
20,"[532, 83, 122, 155]",0.06,0.01,0.06,0.0,0.58,0.0,0.29,,,,,,,,,,,,,,,,
21,"[522, 81, 130, 167]",0.26,0.01,0.09,0.0,0.47,0.02,0.15,,,,,,,,,,,,,,,,
