,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[508, 150, 249, 305]",0.11,0.0,0.04,0.03,0.04,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,
1,"[510, 133, 246, 310]",0.05,0.0,0.54,0.06,0.12,0.04,0.19,,,,,,,,,,,,,,,,,,,,,,,,
2,"[532, 148, 237, 298]",0.22,0.0,0.04,0.01,0.11,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,
3,"[543, 144, 240, 306]",0.01,0.0,0.01,0.02,0.01,0.0,0.96,"[129, 238, 25, 32]",0.37,0.01,0.02,0.01,0.36,0.0,0.23,,,,,,,,,,,,,,,,
4,"[529, 127, 246, 341]",0.02,0.0,0.5,0.03,0.4,0.02,0.02,"[129, 238, 25, 31]",0.4,0.01,0.04,0.01,0.39,0.0,0.15,,,,,,,,,,,,,,,,
5,"[521, 147, 244, 313]",0.15,0.0,0.52,0.09,0.17,0.01,0.06,"[129, 238, 26, 32]",0.31,0.01,0.03,0.0,0.48,0.0,0.16,,,,,,,,,,,,,,,,
6,"[517, 129, 251, 311]",0.03,0.0,0.04,0.31,0.04,0.01,0.57,,,,,,,,,,,,,,,,,,,,,,,,
7,"[535, 135, 241, 305]",0.04,0.0,0.35,0.02,0.11,0.05,0.44,"[129, 238, 25, 31]",0.23,0.0,0.02,0.03,0.42,0.0,0.3,,,,,,,,,,,,,,,,
8,"[540, 135, 243, 311]",0.08,0.0,0.71,0.0,0.13,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,
9,"[533, 139, 244, 308]",0.06,0.0,0.06,0.01,0.07,0.0,0.8,"[129, 238, 25, 31]",0.28,0.01,0.03,0.02,0.49,0.0,0.17,,,,,,,,,,,,,,,,
10,"[525, 127, 253, 323]",0.11,0.0,0.59,0.0,0.16,0.02,0.12,"[129, 238, 25, 31]",0.28,0.0,0.03,0.02,0.5,0.0,0.18,,,,,,,,,,,,,,,,
11,"[530, 134, 238, 307]",0.08,0.0,0.18,0.01,0.08,0.03,0.62,"[129, 238, 25, 32]",0.26,0.01,0.06,0.01,0.46,0.01,0.2,,,,,,,,,,,,,,,,
12,"[490, 123, 255, 311]",0.03,0.0,0.16,0.03,0.42,0.01,0.36,"[129, 238, 25, 32]",0.28,0.01,0.06,0.02,0.42,0.01,0.2,"[551, 536, 63, 90]",0.11,0.03,0.24,0.03,0.24,0.19,0.16,,,,,,,,
13,"[546, 150, 234, 303]",0.03,0.0,0.03,0.18,0.07,0.0,0.69,"[128, 237, 26, 33]",0.26,0.0,0.05,0.03,0.3,0.0,0.36,,,,,,,,,,,,,,,,
