,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[525, 114, 137, 178]",0.03,0.01,0.0,0.42,0.1,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[520, 107, 136, 180]",0.18,0.07,0.02,0.02,0.32,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[535, 121, 138, 181]",0.18,0.01,0.01,0.04,0.39,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[537, 113, 136, 177]",0.03,0.0,0.0,0.15,0.05,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[534, 133, 139, 183]",0.2,0.02,0.01,0.11,0.22,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[552, 123, 137, 182]",0.28,0.02,0.01,0.1,0.43,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[556, 104, 137, 181]",0.18,0.0,0.01,0.34,0.11,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[587, 126, 134, 180]",0.22,0.02,0.01,0.15,0.1,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[528, 115, 136, 171]",0.26,0.0,0.02,0.06,0.08,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[535, 116, 141, 178]",0.1,0.04,0.01,0.09,0.54,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[536, 119, 139, 179]",0.1,0.02,0.0,0.14,0.12,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[526, 114, 139, 183]",0.07,0.01,0.0,0.18,0.09,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[502, 169, 135, 171]",0.7,0.01,0.01,0.06,0.21,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[568, 120, 132, 179]",0.12,0.0,0.0,0.28,0.48,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[534, 122, 133, 179]",0.01,0.0,0.0,0.89,0.02,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[523, 105, 142, 182]",0.03,0.0,0.0,0.67,0.01,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[368, 217, 88, 106]",0.09,0.0,0.06,0.03,0.57,0.01,0.24,"[475, 99, 44, 53]",0.16,0.0,0.02,0.57,0.14,0.0,0.1,"[1031, 124, 38, 49]",0.13,0.0,0.05,0.05,0.64,0.0,0.12,,,,,,,,,,,,,,,,
17,"[550, 117, 134, 180]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
