,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[238, 126, 14, 16]",0.21,0.0,0.39,0.02,0.32,0.01,0.03,,,,,,,,
1,"[241, 123, 14, 19]",0.05,0.0,0.53,0.01,0.4,0.0,0.01,"[471, 231, 17, 23]",0.2,0.0,0.13,0.11,0.31,0.22,0.03
2,"[230, 112, 23, 28]",0.09,0.0,0.25,0.02,0.45,0.0,0.18,,,,,,,,
3,"[218, 99, 45, 54]",0.19,0.0,0.02,0.02,0.18,0.0,0.59,,,,,,,,
4,"[225, 74, 66, 80]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
5,"[224, 79, 69, 86]",0.12,0.01,0.0,0.39,0.03,0.0,0.45,,,,,,,,
6,"[208, 76, 66, 84]",0.04,0.0,0.0,0.56,0.01,0.0,0.39,,,,,,,,
7,"[192, 102, 64, 76]",0.07,0.0,0.03,0.08,0.41,0.0,0.41,,,,,,,,
8,"[187, 74, 70, 86]",0.08,0.0,0.01,0.01,0.04,0.0,0.85,,,,,,,,
9,"[212, 71, 69, 87]",0.11,0.0,0.01,0.02,0.04,0.01,0.82,,,,,,,,
10,"[215, 75, 70, 89]",0.06,0.0,0.01,0.07,0.01,0.01,0.84,,,,,,,,
11,"[192, 71, 72, 88]",0.11,0.0,0.02,0.01,0.2,0.0,0.65,,,,,,,,
12,"[199, 73, 65, 83]",0.08,0.0,0.01,0.01,0.01,0.0,0.89,,,,,,,,
13,"[191, 104, 63, 78]",0.04,0.0,0.05,0.0,0.63,0.0,0.28,,,,,,,,
14,"[223, 69, 68, 87]",0.26,0.0,0.03,0.02,0.03,0.01,0.65,,,,,,,,
15,"[237, 73, 67, 82]",0.2,0.0,0.05,0.0,0.18,0.0,0.56,,,,,,,,
16,"[212, 72, 69, 88]",0.28,0.0,0.03,0.01,0.03,0.03,0.62,,,,,,,,
17,"[207, 102, 65, 77]",0.44,0.0,0.1,0.0,0.33,0.0,0.12,,,,,,,,
18,"[199, 81, 64, 82]",0.07,0.0,0.0,0.01,0.02,0.0,0.9,,,,,,,,
19,"[217, 64, 71, 88]",0.22,0.0,0.02,0.01,0.09,0.01,0.65,,,,,,,,
20,"[220, 67, 69, 87]",0.22,0.0,0.02,0.1,0.12,0.0,0.53,,,,,,,,
21,"[203, 79, 69, 86]",0.12,0.0,0.01,0.01,0.05,0.0,0.81,,,,,,,,
22,"[197, 78, 70, 86]",0.14,0.0,0.0,0.01,0.13,0.0,0.72,,,,,,,,
23,"[202, 95, 69, 83]",0.15,0.0,0.08,0.01,0.42,0.0,0.34,,,,,,,,
24,"[200, 101, 66, 80]",0.05,0.0,0.04,0.01,0.46,0.0,0.44,,,,,,,,
25,"[238, 66, 69, 88]",0.28,0.0,0.03,0.04,0.04,0.01,0.61,,,,,,,,
26,"[237, 68, 68, 86]",0.31,0.0,0.03,0.01,0.05,0.0,0.6,,,,,,,,
27,"[245, 70, 66, 85]",0.2,0.0,0.0,0.0,0.03,0.0,0.76,,,,,,,,
28,"[200, 74, 68, 85]",0.11,0.0,0.02,0.0,0.21,0.0,0.65,,,,,,,,
29,"[203, 65, 68, 83]",0.04,0.0,0.01,0.01,0.03,0.0,0.91,,,,,,,,
30,"[211, 59, 68, 84]",0.12,0.0,0.1,0.0,0.04,0.01,0.72,,,,,,,,
31,"[228, 64, 67, 86]",0.18,0.0,0.04,0.05,0.08,0.0,0.65,,,,,,,,
32,"[231, 64, 67, 89]",0.16,0.0,0.03,0.03,0.08,0.01,0.7,,,,,,,,
33,"[209, 66, 69, 87]",0.27,0.0,0.03,0.01,0.06,0.01,0.63,,,,,,,,
34,"[222, 67, 64, 82]",0.13,0.0,0.04,0.04,0.02,0.0,0.77,,,,,,,,
35,"[206, 65, 69, 85]",0.26,0.0,0.06,0.0,0.2,0.0,0.47,,,,,,,,
36,"[219, 70, 66, 86]",0.09,0.0,0.06,0.02,0.03,0.01,0.79,,,,,,,,
37,"[233, 63, 68, 84]",0.27,0.0,0.1,0.01,0.17,0.0,0.44,,,,,,,,
38,"[225, 68, 68, 86]",0.25,0.0,0.04,0.06,0.08,0.01,0.56,,,,,,,,
39,"[209, 98, 67, 80]",0.1,0.0,0.08,0.0,0.6,0.0,0.22,,,,,,,,
40,"[209, 104, 65, 78]",0.07,0.0,0.13,0.01,0.55,0.0,0.24,,,,,,,,
41,"[209, 83, 69, 86]",0.3,0.0,0.02,0.0,0.33,0.0,0.36,,,,,,,,
42,"[232, 64, 68, 83]",0.1,0.0,0.06,0.0,0.26,0.0,0.58,,,,,,,,
43,"[221, 74, 63, 81]",0.19,0.0,0.28,0.01,0.2,0.01,0.31,,,,,,,,
44,"[218, 69, 67, 86]",0.33,0.0,0.09,0.01,0.03,0.02,0.52,,,,,,,,
45,"[202, 68, 68, 82]",0.17,0.0,0.03,0.0,0.13,0.0,0.66,,,,,,,,
46,"[213, 69, 66, 84]",0.18,0.0,0.09,0.0,0.08,0.0,0.65,,,,,,,,
47,"[245, 64, 66, 82]",0.22,0.0,0.22,0.02,0.16,0.0,0.38,,,,,,,,
48,"[237, 67, 61, 81]",0.19,0.0,0.05,0.02,0.03,0.0,0.71,,,,,,,,
49,"[209, 69, 69, 86]",0.16,0.0,0.04,0.01,0.19,0.0,0.6,,,,,,,,
50,"[217, 70, 68, 87]",0.25,0.0,0.08,0.02,0.06,0.0,0.59,,,,,,,,
51,"[201, 65, 70, 86]",0.18,0.0,0.1,0.0,0.24,0.0,0.48,,,,,,,,
52,"[231, 66, 68, 86]",0.16,0.0,0.04,0.0,0.02,0.01,0.77,,,,,,,,
53,"[222, 66, 69, 87]",0.27,0.0,0.03,0.2,0.14,0.0,0.36,,,,,,,,
54,"[233, 74, 66, 86]",0.48,0.0,0.04,0.07,0.02,0.0,0.37,,,,,,,,
55,"[196, 71, 66, 83]",0.01,0.0,0.0,0.97,0.0,0.0,0.01,,,,,,,,
56,"[219, 71, 67, 85]",0.19,0.0,0.07,0.12,0.3,0.0,0.32,,,,,,,,
57,"[206, 69, 69, 86]",0.14,0.0,0.06,0.02,0.39,0.0,0.38,,,,,,,,
58,"[233, 70, 66, 81]",0.11,0.0,0.02,0.27,0.11,0.0,0.5,,,,,,,,
59,"[229, 69, 65, 85]",0.26,0.0,0.09,0.17,0.15,0.0,0.33,,,,,,,,
60,"[225, 69, 67, 89]",0.45,0.0,0.06,0.12,0.12,0.0,0.25,,,,,,,,
61,"[222, 68, 70, 90]",0.2,0.0,0.06,0.22,0.28,0.0,0.23,,,,,,,,
62,"[198, 69, 71, 87]",0.13,0.0,0.01,0.0,0.4,0.0,0.46,,,,,,,,
63,"[199, 66, 70, 85]",0.44,0.0,0.17,0.01,0.18,0.0,0.21,,,,,,,,
64,"[198, 69, 67, 83]",0.13,0.0,0.04,0.01,0.38,0.0,0.43,,,,,,,,
65,"[214, 68, 69, 88]",0.18,0.0,0.1,0.02,0.06,0.01,0.64,,,,,,,,
66,"[215, 63, 65, 82]",0.22,0.0,0.11,0.0,0.16,0.0,0.51,,,,,,,,
67,"[232, 68, 68, 86]",0.48,0.0,0.08,0.03,0.1,0.01,0.31,,,,,,,,
