,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[600, 0, 59, 54]",0.08,0.0,0.01,0.02,0.59,0.0,0.29
1,"[600, 132, 134, 176]",0.4,0.27,0.07,0.01,0.22,0.0,0.03
2,"[563, 143, 136, 177]",0.77,0.07,0.02,0.0,0.11,0.0,0.02
3,"[608, 120, 125, 185]",0.6,0.01,0.11,0.13,0.09,0.04,0.01
4,"[557, 127, 133, 175]",0.69,0.1,0.07,0.0,0.13,0.0,0.01
5,"[613, 120, 135, 199]",0.92,0.0,0.03,0.01,0.03,0.01,0.0
6,"[582, 133, 134, 172]",0.63,0.13,0.04,0.0,0.19,0.0,0.02
7,"[583, 130, 129, 169]",0.09,0.01,0.04,0.62,0.18,0.0,0.05
8,"[596, 140, 126, 168]",0.68,0.02,0.13,0.03,0.12,0.0,0.01
9,"[603, 130, 134, 171]",0.85,0.0,0.07,0.0,0.05,0.02,0.01
10,"[605, 133, 128, 181]",0.45,0.0,0.07,0.26,0.17,0.01,0.04
11,"[609, 143, 125, 168]",0.83,0.02,0.05,0.01,0.07,0.0,0.02
12,"[551, 142, 130, 164]",0.89,0.01,0.02,0.0,0.07,0.0,0.01
13,"[610, 141, 123, 160]",0.96,0.01,0.01,0.0,0.01,0.0,0.0
14,"[653, 141, 127, 169]",0.38,0.3,0.11,0.01,0.18,0.0,0.03
15,"[592, 137, 134, 172]",0.37,0.16,0.05,0.07,0.21,0.0,0.14
16,"[603, 131, 132, 185]",0.78,0.0,0.04,0.05,0.11,0.0,0.02
17,"[590, 128, 132, 175]",0.13,0.01,0.21,0.03,0.6,0.0,0.03
18,"[640, 135, 129, 176]",0.84,0.0,0.05,0.02,0.07,0.0,0.02
19,"[565, 131, 132, 172]",0.61,0.15,0.04,0.04,0.1,0.0,0.05
20,"[632, 133, 136, 189]",0.91,0.0,0.02,0.03,0.02,0.0,0.02
21,"[619, 135, 134, 178]",0.89,0.01,0.04,0.01,0.04,0.0,0.0
22,"[608, 129, 130, 175]",0.8,0.11,0.05,0.0,0.04,0.0,0.0
23,"[620, 133, 131, 176]",0.77,0.01,0.04,0.09,0.08,0.0,0.01
24,"[606, 136, 128, 175]",0.39,0.17,0.24,0.01,0.14,0.05,0.01
25,"[570, 169, 90, 112]",0.13,0.01,0.19,0.06,0.33,0.25,0.02
26,"[631, 126, 133, 174]",0.67,0.06,0.13,0.02,0.09,0.01,0.02
27,"[634, 136, 129, 173]",0.36,0.06,0.13,0.13,0.31,0.0,0.01
28,"[588, 132, 137, 175]",0.29,0.07,0.18,0.04,0.38,0.04,0.01
29,"[621, 129, 134, 174]",0.55,0.08,0.08,0.01,0.23,0.0,0.05
30,"[605, 121, 142, 201]",0.84,0.0,0.0,0.12,0.01,0.0,0.02
31,"[635, 135, 130, 181]",0.87,0.01,0.05,0.02,0.04,0.0,0.01
32,"[625, 135, 134, 176]",0.91,0.01,0.03,0.0,0.04,0.0,0.0
33,"[612, 131, 129, 175]",0.79,0.03,0.04,0.04,0.08,0.0,0.02
34,"[595, 138, 137, 174]",0.38,0.01,0.11,0.04,0.41,0.0,0.06
35,"[625, 124, 138, 196]",0.86,0.0,0.01,0.11,0.01,0.0,0.01
36,"[596, 134, 131, 169]",0.39,0.18,0.09,0.03,0.27,0.0,0.02
37,"[622, 123, 130, 171]",0.15,0.02,0.17,0.02,0.63,0.0,0.01
38,"[627, 130, 141, 193]",0.97,0.0,0.01,0.01,0.01,0.0,0.0
39,"[629, 134, 139, 193]",0.95,0.0,0.01,0.01,0.03,0.0,0.01
40,"[630, 134, 136, 192]",0.81,0.0,0.04,0.07,0.06,0.0,0.02
41,"[625, 126, 135, 189]",0.9,0.0,0.03,0.04,0.02,0.0,0.01
42,"[624, 131, 136, 192]",0.84,0.0,0.04,0.02,0.07,0.01,0.02
43,"[630, 125, 135, 196]",0.94,0.0,0.01,0.02,0.02,0.0,0.01
44,"[601, 125, 124, 170]",0.23,0.01,0.1,0.47,0.16,0.0,0.03
45,"[632, 135, 132, 188]",0.52,0.0,0.02,0.41,0.02,0.0,0.02
46,"[631, 127, 137, 184]",0.69,0.0,0.02,0.22,0.06,0.0,0.0
47,"[533, 140, 118, 151]",0.5,0.0,0.05,0.01,0.08,0.34,0.01
48,"[584, 129, 132, 169]",0.23,0.14,0.16,0.11,0.29,0.0,0.07
49,"[619, 128, 142, 192]",0.86,0.0,0.02,0.07,0.04,0.0,0.01
50,"[550, 138, 135, 173]",0.62,0.01,0.08,0.04,0.23,0.0,0.01
51,"[617, 136, 133, 179]",0.74,0.03,0.06,0.06,0.09,0.0,0.02
52,"[625, 130, 125, 181]",0.74,0.01,0.07,0.1,0.05,0.01,0.03
