,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[284, 120, 198, 244]",0.17,0.0,0.02,0.11,0.57,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,
1,"[241, 116, 196, 263]",0.44,0.0,0.04,0.0,0.36,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,
2,"[308, 111, 200, 279]",0.89,0.0,0.03,0.0,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,"[313, 121, 185, 245]",0.64,0.02,0.08,0.01,0.16,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,
4,"[331, 118, 179, 235]",0.66,0.04,0.15,0.0,0.07,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,
5,"[286, 105, 181, 238]",0.38,0.0,0.25,0.06,0.21,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,
6,"[258, 112, 193, 262]",0.32,0.01,0.08,0.0,0.48,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,
7,"[250, 111, 205, 256]",0.62,0.01,0.06,0.0,0.15,0.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,
8,"[294, 109, 200, 263]",0.13,0.0,0.25,0.03,0.49,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,
9,"[328, 111, 197, 260]",0.5,0.03,0.08,0.11,0.15,0.11,0.03,,,,,,,,,,,,,,,,,,,,,,,,
10,"[299, 110, 207, 262]",0.43,0.01,0.34,0.04,0.15,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,
11,"[272, 105, 206, 260]",0.57,0.01,0.34,0.0,0.07,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
12,"[251, 118, 190, 263]",0.67,0.04,0.04,0.0,0.13,0.07,0.05,,,,,,,,,,,,,,,,,,,,,,,,
13,"[272, 112, 192, 266]",0.77,0.01,0.04,0.0,0.12,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,
14,"[289, 117, 189, 240]",0.12,0.0,0.25,0.01,0.52,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,
15,"[306, 123, 174, 242]",0.4,0.0,0.15,0.06,0.21,0.06,0.13,,,,,,,,,,,,,,,,,,,,,,,,
16,"[301, 116, 185, 250]",0.57,0.01,0.18,0.01,0.16,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,
17,"[265, 101, 196, 237]",0.23,0.0,0.1,0.06,0.35,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,
18,"[240, 119, 196, 258]",0.4,0.0,0.04,0.0,0.37,0.01,0.19,,,,,,,,,,,,,,,,,,,,,,,,
19,"[289, 125, 194, 268]",0.96,0.0,0.01,0.0,0.02,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
20,"[323, 124, 177, 244]",0.52,0.01,0.14,0.13,0.1,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,
21,"[298, 127, 187, 239]",0.51,0.0,0.1,0.07,0.18,0.01,0.12,,,,,,,,,,,,,,,,,,,,,,,,
22,"[300, 126, 186, 245]",0.23,0.0,0.35,0.01,0.35,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,
23,"[291, 122, 188, 247]",0.35,0.0,0.32,0.01,0.21,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,
24,"[262, 130, 196, 255]",0.92,0.01,0.04,0.0,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
25,"[276, 90, 241, 298]",0.53,0.0,0.12,0.15,0.14,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,
26,"[288, 277, 38, 48]",0.53,0.0,0.19,0.06,0.12,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,
27,"[286, 278, 39, 50]",0.56,0.0,0.2,0.03,0.13,0.01,0.07,"[510, 340, 19, 24]",0.3,0.05,0.18,0.15,0.24,0.05,0.04,,,,,,,,,,,,,,,,
28,"[206, 176, 53, 75]",0.21,0.0,0.15,0.05,0.33,0.0,0.25,"[486, 177, 50, 66]",0.5,0.0,0.02,0.0,0.07,0.01,0.39,,,,,,,,,,,,,,,,
29,"[262, 115, 197, 271]",0.71,0.01,0.03,0.0,0.15,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,
30,"[290, 108, 195, 256]",0.55,0.0,0.16,0.01,0.25,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
31,"[319, 90, 199, 255]",0.29,0.06,0.28,0.1,0.19,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,
32,"[293, 107, 186, 239]",0.16,0.0,0.45,0.02,0.25,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,
33,"[310, 97, 203, 268]",0.95,0.0,0.01,0.0,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
34,"[272, 121, 191, 264]",0.85,0.0,0.02,0.0,0.1,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
35,"[271, 104, 194, 256]",0.2,0.0,0.06,0.06,0.56,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,
36,"[329, 114, 185, 248]",0.25,0.0,0.3,0.01,0.14,0.18,0.11,,,,,,,,,,,,,,,,,,,,,,,,
37,"[310, 118, 183, 237]",0.36,0.0,0.18,0.0,0.18,0.03,0.25,,,,,,,,,,,,,,,,,,,,,,,,
38,"[267, 112, 204, 250]",0.14,0.0,0.15,0.0,0.69,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
39,"[259, 121, 192, 254]",0.46,0.01,0.08,0.0,0.41,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,
40,"[274, 111, 194, 252]",0.23,0.0,0.06,0.0,0.56,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,
41,"[306, 108, 179, 244]",0.49,0.0,0.13,0.12,0.14,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,
42,"[319, 120, 187, 250]",0.54,0.0,0.13,0.03,0.15,0.02,0.12,,,,,,,,,,,,,,,,,,,,,,,,
43,"[293, 114, 199, 251]",0.56,0.0,0.05,0.02,0.23,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,
44,"[260, 114, 193, 255]",0.56,0.0,0.01,0.0,0.19,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,
45,"[287, 120, 197, 264]",0.88,0.0,0.01,0.0,0.08,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,
46,"[327, 125, 174, 237]",0.35,0.0,0.26,0.15,0.11,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,
47,"[207, 541, 10, 11]",0.2,0.0,0.34,0.02,0.35,0.06,0.04,"[129, 439, 53, 70]",0.05,0.0,0.07,0.01,0.67,0.02,0.19,,,,,,,,,,,,,,,,
48,"[328, 132, 196, 256]",0.19,0.03,0.12,0.06,0.49,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,
49,"[292, 120, 188, 248]",0.48,0.0,0.13,0.0,0.32,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,
50,"[279, 123, 197, 268]",0.85,0.02,0.04,0.0,0.09,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
51,"[285, 113, 194, 263]",0.53,0.0,0.05,0.0,0.34,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,
52,"[321, 109, 191, 236]",0.59,0.0,0.08,0.01,0.28,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,
53,"[299, 96, 195, 251]",0.59,0.01,0.02,0.0,0.35,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,
54,"[330, 291, 38, 47]",0.77,0.0,0.03,0.0,0.1,0.0,0.09,"[591, 203, 64, 80]",0.75,0.0,0.06,0.01,0.05,0.01,0.12,"[94, 375, 16, 20]",0.12,0.0,0.18,0.22,0.3,0.11,0.07,"[206, 317, 28, 39]",0.2,0.01,0.32,0.13,0.27,0.01,0.06
55,"[311, 106, 184, 236]",0.15,0.05,0.42,0.04,0.27,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,
56,"[292, 112, 188, 244]",0.41,0.0,0.2,0.01,0.3,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,
57,"[286, 95, 194, 255]",0.02,0.02,0.24,0.0,0.69,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,
58,"[246, 110, 195, 263]",0.31,0.04,0.27,0.0,0.34,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
59,"[297, 110, 187, 244]",0.1,0.0,0.09,0.04,0.39,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,
60,"[330, 120, 181, 249]",0.13,0.0,0.27,0.06,0.39,0.03,0.11,,,,,,,,,,,,,,,,,,,,,,,,
61,"[315, 109, 192, 253]",0.6,0.05,0.05,0.0,0.25,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,
62,"[273, 103, 196, 257]",0.72,0.0,0.04,0.0,0.14,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,
63,"[275, 118, 192, 251]",0.13,0.08,0.35,0.03,0.29,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,
64,"[316, 111, 181, 246]",0.12,0.01,0.36,0.03,0.24,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,
65,"[340, 113, 184, 248]",0.16,0.01,0.35,0.03,0.19,0.02,0.23,,,,,,,,,,,,,,,,,,,,,,,,
66,"[293, 138, 179, 229]",0.43,0.01,0.2,0.01,0.29,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,
67,"[280, 118, 191, 262]",0.67,0.0,0.09,0.0,0.21,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,
