,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17
113,"[494, 174, 131, 175]",0.01,0.0,0.01,0.87,0.0,0.09,0.01,"[152, 430, 44, 57]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"[157, 425, 44, 56]",0.04,0.0,0.03,0.48,0.03,0.06,0.35,"[494, 125, 137, 190]",0.03,0.0,0.0,0.93,0.03,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"[128, 248, 21, 26]",0.32,0.0,0.03,0.22,0.35,0.0,0.08,"[177, 428, 43, 57]",0.02,0.0,0.0,0.4,0.01,0.01,0.56,"[436, 255, 19, 25]",0.06,0.0,0.1,0.06,0.5,0.01,0.28,"[216, 254, 20, 26]",0.13,0.0,0.03,0.05,0.72,0.01,0.06,"[340, 280, 22, 32]",0.03,0.0,0.05,0.05,0.85,0.01,0.01,"[9, 225, 16, 22]",0.15,0.0,0.03,0.31,0.45,0.0,0.06,"[817, 306, 27, 39]",0.09,0.0,0.13,0.53,0.19,0.03,0.04,"[82, 237, 18, 23]",0.11,0.0,0.03,0.09,0.7,0.01,0.06,"[1037, 272, 26, 33]",0.1,0.0,0.02,0.66,0.14,0.0,0.08,"[870, 256, 24, 31]",0.33,0.0,0.05,0.43,0.15,0.01,0.04,"[638, 220, 18, 23]",0.27,0.0,0.09,0.16,0.43,0.01,0.03,"[1111, 239, 19, 23]",0.19,0.0,0.07,0.02,0.67,0.01,0.04,"[286, 225, 19, 24]",0.65,0.0,0.02,0.12,0.11,0.01,0.09,"[518, 354, 32, 48]",0.05,0.0,0.05,0.08,0.79,0.0,0.03,"[670, 276, 20, 28]",0.22,0.0,0.05,0.19,0.35,0.02,0.17,"[768, 252, 24, 28]",0.22,0.0,0.13,0.11,0.5,0.01,0.03,"[411, 216, 16, 20]",0.22,0.0,0.04,0.06,0.62,0.05,0.02,"[467, 350, 24, 29]",0.37,0.0,0.12,0.28,0.14,0.02,0.08
116,"[128, 248, 20, 26]",0.48,0.0,0.02,0.17,0.3,0.0,0.02,"[218, 252, 21, 27]",0.16,0.0,0.06,0.04,0.64,0.01,0.1,"[162, 425, 44, 57]",0.09,0.0,0.07,0.34,0.31,0.0,0.18,"[930, 215, 30, 39]",0.07,0.0,0.03,0.32,0.54,0.02,0.03,"[82, 238, 18, 23]",0.09,0.0,0.02,0.01,0.82,0.0,0.05,"[8, 224, 17, 23]",0.25,0.0,0.03,0.25,0.4,0.0,0.06,"[340, 281, 21, 30]",0.07,0.0,0.04,0.09,0.76,0.01,0.03,"[1044, 274, 28, 34]",0.13,0.0,0.01,0.76,0.07,0.0,0.03,"[433, 255, 20, 24]",0.11,0.0,0.11,0.08,0.57,0.01,0.12,"[868, 257, 22, 28]",0.09,0.0,0.15,0.45,0.24,0.02,0.05,"[1111, 239, 18, 22]",0.16,0.0,0.07,0.03,0.69,0.01,0.04,"[639, 221, 18, 22]",0.27,0.0,0.09,0.08,0.48,0.01,0.06,"[286, 226, 17, 23]",0.54,0.0,0.02,0.06,0.25,0.0,0.13,"[519, 355, 32, 45]",0.12,0.01,0.06,0.11,0.67,0.0,0.03,"[670, 275, 22, 30]",0.23,0.0,0.05,0.33,0.26,0.07,0.05,"[897, 337, 28, 41]",0.26,0.0,0.15,0.19,0.36,0.02,0.02,"[221, 341, 17, 22]",0.11,0.0,0.04,0.01,0.55,0.0,0.28,"[1011, 232, 20, 21]",0.07,0.0,0.04,0.0,0.88,0.0,0.01
117,"[513, 149, 134, 182]",0.0,0.0,0.0,0.97,0.0,0.02,0.0,"[176, 425, 45, 58]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"[528, 140, 139, 187]",0.13,0.0,0.03,0.28,0.09,0.0,0.47,"[172, 422, 44, 54]",0.24,0.0,0.14,0.05,0.12,0.01,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"[484, 160, 140, 183]",0.02,0.0,0.03,0.07,0.01,0.85,0.03,"[158, 425, 43, 57]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"[487, 168, 127, 179]",0.02,0.0,0.03,0.85,0.03,0.05,0.02,"[163, 424, 45, 57]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"[177, 420, 44, 56]",0.13,0.0,0.08,0.6,0.03,0.02,0.15,"[486, 187, 126, 173]",0.1,0.0,0.24,0.4,0.15,0.1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"[173, 422, 43, 51]",0.06,0.0,0.03,0.48,0.08,0.01,0.35,"[483, 131, 129, 181]",0.02,0.0,0.09,0.03,0.08,0.75,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
