,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17
143,"[495, 151, 136, 188]",0.0,0.0,0.0,0.99,0.0,0.01,0.0,"[165, 418, 47, 55]",0.08,0.0,0.03,0.59,0.01,0.02,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"[502, 141, 120, 175]",0.0,0.0,0.02,0.88,0.03,0.01,0.05,"[169, 427, 41, 50]",0.01,0.0,0.0,0.77,0.01,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"[493, 150, 137, 185]",0.03,0.0,0.02,0.89,0.01,0.02,0.03,"[163, 425, 45, 55]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"[489, 140, 138, 177]",0.02,0.0,0.06,0.55,0.1,0.01,0.26,"[161, 425, 44, 54]",0.34,0.0,0.18,0.02,0.09,0.05,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"[161, 431, 45, 58]",0.02,0.0,0.02,0.77,0.05,0.01,0.14,"[504, 137, 136, 187]",0.12,0.0,0.2,0.04,0.11,0.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"[158, 427, 45, 52]",0.33,0.0,0.07,0.07,0.08,0.01,0.44,"[497, 153, 128, 180]",0.13,0.0,0.13,0.11,0.43,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"[497, 167, 128, 174]",0.02,0.0,0.01,0.23,0.0,0.71,0.04,"[170, 441, 40, 56]",0.01,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"[170, 420, 44, 56]",0.12,0.0,0.23,0.12,0.02,0.17,0.33,"[480, 149, 136, 180]",0.11,0.0,0.08,0.35,0.07,0.13,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"[475, 149, 135, 179]",0.02,0.0,0.01,0.54,0.0,0.36,0.07,"[161, 429, 48, 58]",0.01,0.0,0.01,0.93,0.0,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"[165, 425, 48, 60]",0.07,0.0,0.01,0.58,0.03,0.01,0.3,"[468, 141, 136, 180]",0.05,0.0,0.24,0.0,0.02,0.67,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"[171, 453, 45, 54]",0.02,0.0,0.05,0.79,0.09,0.03,0.01,"[473, 159, 138, 197]",0.12,0.0,0.16,0.05,0.01,0.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"[171, 424, 45, 57]",0.06,0.0,0.02,0.85,0.0,0.03,0.03,"[485, 151, 133, 182]",0.06,0.0,0.02,0.76,0.14,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"[166, 427, 45, 56]",0.01,0.0,0.03,0.37,0.02,0.03,0.55,"[490, 147, 137, 187]",0.32,0.0,0.04,0.5,0.02,0.12,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"[505, 150, 137, 177]",0.08,0.0,0.03,0.55,0.05,0.02,0.27,"[163, 427, 47, 61]",0.05,0.0,0.15,0.01,0.01,0.56,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"[500, 143, 127, 178]",0.01,0.0,0.15,0.42,0.0,0.41,0.0,"[165, 421, 45, 59]",0.05,0.0,0.06,0.06,0.01,0.35,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"[511, 145, 134, 184]",0.6,0.0,0.21,0.07,0.08,0.04,0.0,"[156, 428, 42, 57]",0.14,0.0,0.03,0.03,0.14,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"[519, 148, 135, 172]",0.15,0.0,0.36,0.01,0.29,0.01,0.17,"[145, 422, 44, 56]",0.36,0.0,0.27,0.01,0.06,0.15,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"[502, 138, 138, 181]",0.03,0.0,0.12,0.7,0.06,0.05,0.04,"[191, 426, 43, 57]",0.35,0.0,0.05,0.02,0.17,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"[500, 125, 140, 183]",0.1,0.0,0.11,0.01,0.3,0.0,0.49,"[182, 418, 45, 60]",0.1,0.0,0.09,0.14,0.03,0.11,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"[509, 135, 134, 176]",0.26,0.0,0.29,0.02,0.34,0.04,0.06,"[131, 425, 41, 50]",0.1,0.0,0.26,0.19,0.24,0.02,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"[530, 145, 138, 177]",0.22,0.0,0.27,0.01,0.41,0.01,0.08,"[136, 432, 44, 57]",0.12,0.0,0.03,0.01,0.12,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"[500, 135, 131, 187]",0.2,0.0,0.44,0.04,0.22,0.02,0.08,"[137, 432, 46, 62]",0.36,0.0,0.08,0.04,0.06,0.07,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"[511, 138, 138, 185]",0.14,0.0,0.13,0.51,0.12,0.04,0.06,"[177, 443, 45, 58]",0.22,0.0,0.12,0.01,0.02,0.62,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"[509, 141, 137, 182]",0.09,0.0,0.37,0.08,0.07,0.21,0.17,"[175, 421, 43, 51]",0.29,0.0,0.05,0.02,0.33,0.01,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"[515, 145, 135, 180]",0.13,0.0,0.27,0.1,0.4,0.04,0.06,"[163, 422, 46, 61]",0.19,0.0,0.07,0.08,0.11,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"[517, 138, 129, 174]",0.07,0.0,0.32,0.01,0.48,0.01,0.11,"[152, 428, 45, 56]",0.03,0.0,0.12,0.1,0.11,0.02,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"[173, 425, 46, 60]",0.3,0.0,0.23,0.01,0.06,0.25,0.16,"[514, 144, 136, 182]",0.04,0.0,0.06,0.39,0.03,0.12,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"[517, 139, 136, 179]",0.22,0.0,0.37,0.13,0.18,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"[500, 141, 135, 181]",0.11,0.0,0.07,0.63,0.05,0.11,0.04,"[158, 417, 46, 56]",0.02,0.0,0.11,0.74,0.01,0.11,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"[496, 143, 136, 174]",0.24,0.0,0.23,0.04,0.36,0.06,0.06,"[144, 421, 44, 54]",0.04,0.0,0.1,0.41,0.02,0.05,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"[499, 140, 136, 174]",0.29,0.0,0.27,0.03,0.26,0.02,0.13,"[149, 424, 44, 58]",0.01,0.0,0.01,0.85,0.0,0.12,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"[493, 138, 140, 186]",0.21,0.0,0.25,0.32,0.02,0.19,0.01,"[173, 426, 46, 58]",0.05,0.0,0.02,0.55,0.01,0.13,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"[179, 423, 43, 48]",0.09,0.0,0.14,0.46,0.15,0.0,0.16,"[499, 138, 135, 182]",0.05,0.0,0.02,0.26,0.06,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"[595, 151, 159, 206]",0.09,0.0,0.03,0.36,0.13,0.0,0.39,"[162, 432, 44, 52]",0.07,0.0,0.02,0.59,0.06,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"[595, 138, 162, 217]",0.22,0.0,0.02,0.12,0.15,0.0,0.48,"[162, 438, 44, 57]",0.62,0.01,0.02,0.03,0.03,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"[572, 135, 173, 228]",0.19,0.0,0.04,0.25,0.19,0.01,0.34,"[173, 423, 42, 54]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"[587, 141, 158, 204]",0.0,0.0,0.0,0.8,0.01,0.0,0.19,"[161, 423, 45, 58]",0.12,0.0,0.0,0.85,0.0,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"[229, 290, 28, 39]",0.07,0.0,0.07,0.31,0.37,0.02,0.17,"[462, 149, 29, 41]",0.09,0.0,0.04,0.33,0.2,0.02,0.33,"[151, 433, 45, 62]",0.01,0.0,0.0,0.72,0.0,0.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"[123, 443, 44, 60]",0.27,0.0,0.08,0.12,0.19,0.03,0.3,"[231, 289, 28, 42]",0.05,0.0,0.01,0.79,0.05,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"[149, 422, 43, 53]",0.06,0.0,0.03,0.4,0.02,0.01,0.49,"[498, 143, 137, 189]",0.34,0.0,0.2,0.13,0.07,0.23,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"[500, 135, 139, 178]",0.2,0.0,0.16,0.08,0.32,0.02,0.22,"[169, 431, 43, 57]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"[514, 144, 135, 172]",0.01,0.0,0.29,0.19,0.01,0.41,0.09,"[164, 439, 42, 57]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"[515, 139, 136, 176]",0.08,0.0,0.19,0.38,0.11,0.01,0.22,"[166, 422, 43, 54]",0.02,0.0,0.0,0.94,0.0,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"[496, 134, 138, 182]",0.07,0.0,0.54,0.16,0.05,0.13,0.05,"[106, 459, 36, 47]",0.12,0.0,0.12,0.01,0.36,0.01,0.36,"[157, 431, 44, 57]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"[501, 143, 138, 181]",0.04,0.0,0.15,0.34,0.02,0.31,0.15,"[150, 446, 40, 51]",0.03,0.0,0.04,0.01,0.16,0.08,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"[132, 445, 42, 55]",0.02,0.0,0.04,0.07,0.02,0.41,0.42,"[497, 139, 138, 201]",0.1,0.0,0.32,0.01,0.01,0.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"[505, 138, 135, 177]",0.15,0.0,0.09,0.45,0.28,0.0,0.03,"[177, 440, 43, 55]",0.69,0.0,0.11,0.04,0.02,0.11,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"[509, 152, 130, 167]",0.09,0.0,0.64,0.04,0.05,0.09,0.09,"[156, 442, 42, 53]",0.73,0.0,0.07,0.0,0.07,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"[504, 129, 141, 184]",0.03,0.0,0.25,0.48,0.02,0.11,0.1,"[161, 444, 43, 53]",0.03,0.0,0.01,0.17,0.03,0.02,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"[516, 152, 135, 185]",0.03,0.0,0.09,0.47,0.03,0.16,0.22,"[156, 438, 44, 54]",0.02,0.0,0.0,0.56,0.01,0.04,0.37,"[352, 357, 44, 60]",0.14,0.0,0.24,0.21,0.17,0.02,0.22,"[367, 351, 40, 43]",0.37,0.0,0.12,0.08,0.29,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"[513, 139, 136, 180]",0.01,0.0,0.39,0.0,0.04,0.55,0.01,"[154, 449, 41, 53]",0.0,0.0,0.0,0.97,0.0,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"[508, 144, 133, 177]",0.03,0.0,0.35,0.06,0.24,0.05,0.26,"[156, 439, 41, 53]",0.0,0.0,0.0,0.97,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"[154, 443, 42, 55]",0.06,0.0,0.05,0.31,0.02,0.44,0.12,"[505, 164, 134, 181]",0.14,0.0,0.08,0.47,0.15,0.06,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"[504, 166, 133, 178]",0.01,0.0,0.02,0.0,0.0,0.95,0.02,"[156, 438, 43, 55]",0.08,0.0,0.07,0.12,0.28,0.01,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"[500, 172, 137, 186]",0.0,0.0,0.0,0.92,0.0,0.07,0.0,"[169, 441, 41, 53]",0.04,0.0,0.03,0.11,0.13,0.01,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"[158, 444, 45, 58]",0.03,0.0,0.06,0.0,0.01,0.89,0.0,"[496, 171, 134, 184]",0.11,0.0,0.02,0.41,0.01,0.42,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"[148, 436, 42, 53]",0.44,0.0,0.23,0.03,0.09,0.03,0.16,"[501, 146, 131, 176]",0.08,0.0,0.03,0.08,0.06,0.08,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"[491, 132, 138, 196]",0.01,0.0,0.07,0.0,0.01,0.89,0.02,"[153, 441, 44, 60]",0.0,0.0,0.0,0.09,0.0,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"[132, 449, 42, 57]",0.0,0.0,0.04,0.0,0.01,0.94,0.01,"[509, 145, 133, 180]",0.03,0.0,0.08,0.44,0.07,0.04,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"[513, 153, 137, 181]",0.01,0.0,0.0,0.86,0.0,0.01,0.11,"[150, 439, 41, 50]",0.3,0.0,0.15,0.09,0.05,0.05,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"[500, 143, 135, 184]",0.09,0.0,0.45,0.1,0.08,0.25,0.04,"[148, 448, 42, 56]",0.0,0.0,0.01,0.0,0.0,0.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"[165, 447, 43, 55]",0.06,0.02,0.09,0.05,0.09,0.04,0.65,"[499, 143, 136, 179]",0.17,0.0,0.15,0.15,0.29,0.05,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
