,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[160, 61, 18, 26]",0.06,0.0,0.07,0.3,0.04,0.13,0.4,,,,,,,,
1,"[160, 61, 18, 26]",0.06,0.0,0.09,0.3,0.04,0.14,0.37,,,,,,,,
2,"[284, 132, 78, 91]",0.09,0.0,0.02,0.02,0.23,0.0,0.65,,,,,,,,
3,"[290, 93, 75, 91]",0.07,0.01,0.32,0.03,0.3,0.21,0.07,"[267, 118, 19, 25]",0.05,0.0,0.08,0.3,0.5,0.0,0.07
4,"[293, 87, 77, 98]",0.08,0.0,0.29,0.02,0.21,0.26,0.14,,,,,,,,
5,"[290, 92, 79, 97]",0.06,0.0,0.12,0.01,0.26,0.0,0.55,,,,,,,,
6,"[282, 84, 76, 96]",0.21,0.0,0.2,0.0,0.31,0.18,0.09,,,,,,,,
7,"[259, 89, 80, 99]",0.13,0.0,0.35,0.03,0.07,0.06,0.35,,,,,,,,
8,"[256, 88, 76, 93]",0.11,0.0,0.04,0.13,0.41,0.0,0.3,,,,,,,,
9,"[295, 84, 75, 95]",0.31,0.01,0.09,0.0,0.52,0.0,0.06,,,,,,,,
10,"[262, 108, 82, 96]",0.12,0.0,0.06,0.04,0.26,0.0,0.52,,,,,,,,
11,"[266, 94, 76, 94]",0.14,0.0,0.2,0.14,0.33,0.04,0.14,,,,,,,,
12,"[262, 87, 77, 97]",0.16,0.0,0.13,0.06,0.28,0.01,0.35,,,,,,,,
13,"[327, 98, 68, 93]",0.11,0.02,0.52,0.0,0.27,0.06,0.02,,,,,,,,
14,"[290, 96, 78, 94]",0.55,0.02,0.2,0.01,0.15,0.02,0.04,,,,,,,,
15,"[276, 81, 75, 95]",0.19,0.0,0.23,0.07,0.12,0.32,0.07,,,,,,,,
16,"[264, 109, 78, 96]",0.07,0.0,0.06,0.08,0.19,0.0,0.6,,,,,,,,
17,"[340, 107, 79, 95]",0.19,0.0,0.05,0.01,0.43,0.0,0.32,,,,,,,,
18,"[309, 83, 80, 98]",0.2,0.0,0.37,0.01,0.19,0.08,0.15,,,,,,,,
19,"[307, 80, 80, 101]",0.46,0.01,0.06,0.16,0.2,0.03,0.08,,,,,,,,
20,"[319, 83, 81, 102]",0.14,0.0,0.04,0.4,0.12,0.01,0.3,,,,,,,,
21,"[311, 95, 78, 96]",0.27,0.0,0.39,0.01,0.09,0.05,0.19,"[329, 167, 57, 72]",0.18,0.0,0.03,0.38,0.1,0.19,0.13
22,"[333, 99, 75, 94]",0.2,0.0,0.06,0.01,0.33,0.03,0.37,"[213, 145, 66, 80]",0.74,0.04,0.02,0.09,0.09,0.0,0.02
