,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
0,"[643, 72, 137, 183]",0.13,0.0,0.09,0.23,0.04,0.01,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[632, 71, 134, 170]",0.16,0.0,0.1,0.05,0.17,0.01,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[623, 64, 141, 186]",0.24,0.0,0.25,0.09,0.07,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[629, 67, 140, 186]",0.27,0.0,0.07,0.05,0.07,0.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[639, 64, 137, 187]",0.21,0.0,0.26,0.08,0.05,0.09,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[651, 74, 126, 176]",0.13,0.0,0.44,0.05,0.05,0.09,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[650, 71, 131, 180]",0.25,0.0,0.28,0.04,0.05,0.06,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[648, 73, 131, 177]",0.23,0.0,0.19,0.1,0.05,0.15,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[654, 74, 123, 171]",0.38,0.0,0.25,0.02,0.07,0.09,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[641, 76, 135, 173]",0.15,0.0,0.33,0.03,0.11,0.1,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[646, 80, 128, 171]",0.15,0.0,0.4,0.03,0.06,0.09,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[642, 73, 129, 169]",0.24,0.0,0.13,0.06,0.09,0.03,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[648, 78, 127, 167]",0.32,0.0,0.13,0.03,0.08,0.01,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[648, 69, 135, 173]",0.2,0.0,0.12,0.06,0.07,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[634, 73, 135, 179]",0.3,0.0,0.06,0.05,0.04,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[643, 74, 130, 174]",0.19,0.0,0.19,0.02,0.11,0.04,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[640, 75, 131, 174]",0.15,0.0,0.33,0.03,0.22,0.06,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[651, 69, 123, 177]",0.18,0.0,0.32,0.03,0.06,0.09,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[649, 81, 130, 168]",0.29,0.0,0.23,0.06,0.09,0.06,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[654, 80, 125, 166]",0.19,0.0,0.27,0.03,0.08,0.05,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[653, 80, 126, 167]",0.25,0.0,0.3,0.02,0.1,0.04,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[653, 71, 124, 173]",0.12,0.0,0.13,0.13,0.06,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[651, 75, 126, 176]",0.15,0.0,0.21,0.11,0.05,0.08,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
