,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[527, 143, 205, 268]",0.11,0.0,0.05,0.02,0.13,0.0,0.69,,,,,,,,
1,"[539, 153, 207, 273]",0.03,0.0,0.02,0.04,0.16,0.01,0.73,,,,,,,,
2,"[531, 158, 195, 254]",0.06,0.0,0.04,0.04,0.17,0.05,0.64,,,,,,,,
3,"[514, 169, 199, 263]",0.01,0.0,0.01,0.03,0.03,0.0,0.92,,,,,,,,
4,"[578, 169, 210, 272]",0.03,0.0,0.04,0.17,0.09,0.02,0.66,,,,,,,,
5,"[495, 155, 206, 262]",0.17,0.0,0.01,0.02,0.08,0.0,0.72,,,,,,,,
6,"[489, 148, 220, 288]",0.03,0.0,0.0,0.0,0.02,0.0,0.94,,,,,,,,
7,"[538, 146, 205, 269]",0.13,0.0,0.04,0.12,0.26,0.01,0.44,,,,,,,,
8,"[451, 230, 216, 288]",0.35,0.0,0.06,0.11,0.11,0.01,0.37,,,,,,,,
9,"[554, 162, 209, 277]",0.01,0.0,0.01,0.75,0.08,0.03,0.12,,,,,,,,
10,"[463, 150, 219, 278]",0.14,0.0,0.02,0.69,0.09,0.01,0.06,,,,,,,,
11,"[510, 148, 213, 272]",0.27,0.0,0.05,0.05,0.16,0.0,0.46,,,,,,,,
12,"[491, 140, 212, 268]",0.25,0.0,0.02,0.02,0.02,0.01,0.68,,,,,,,,
13,"[490, 152, 213, 268]",0.15,0.0,0.02,0.0,0.05,0.0,0.77,,,,,,,,
14,"[499, 180, 228, 296]",0.49,0.0,0.13,0.0,0.18,0.06,0.14,,,,,,,,
15,"[573, 172, 204, 274]",0.06,0.0,0.4,0.01,0.36,0.05,0.13,"[631, 309, 243, 333]",0.03,0.0,0.31,0.11,0.45,0.03,0.07
16,"[507, 141, 223, 289]",0.09,0.0,0.03,0.01,0.11,0.0,0.76,,,,,,,,
17,"[507, 143, 224, 281]",0.12,0.0,0.02,0.01,0.09,0.0,0.76,,,,,,,,
18,"[486, 140, 228, 292]",0.59,0.0,0.08,0.0,0.13,0.0,0.2,,,,,,,,
19,"[500, 158, 209, 261]",0.24,0.0,0.1,0.04,0.1,0.01,0.51,,,,,,,,
20,"[545, 151, 209, 277]",0.19,0.0,0.08,0.0,0.12,0.03,0.58,,,,,,,,
21,"[538, 135, 206, 278]",0.34,0.0,0.07,0.0,0.19,0.01,0.39,,,,,,,,
22,"[546, 154, 209, 278]",0.14,0.0,0.02,0.02,0.04,0.01,0.77,,,,,,,,
23,"[548, 152, 210, 278]",0.01,0.0,0.01,0.78,0.03,0.02,0.16,,,,,,,,
24,"[523, 124, 209, 272]",0.15,0.0,0.14,0.02,0.1,0.02,0.57,,,,,,,,
25,"[517, 116, 222, 285]",0.48,0.0,0.14,0.0,0.13,0.01,0.24,,,,,,,,
26,"[522, 176, 212, 283]",0.33,0.0,0.2,0.0,0.03,0.42,0.02,,,,,,,,
27,"[528, 155, 217, 273]",0.12,0.0,0.04,0.04,0.12,0.01,0.67,,,,,,,,
28,"[511, 152, 213, 272]",0.17,0.0,0.01,0.01,0.02,0.01,0.78,,,,,,,,
29,"[522, 119, 219, 285]",0.18,0.0,0.02,0.09,0.05,0.0,0.66,,,,,,,,
30,"[527, 161, 216, 282]",0.51,0.0,0.05,0.01,0.37,0.01,0.06,,,,,,,,
31,"[512, 148, 218, 276]",0.45,0.0,0.04,0.01,0.15,0.0,0.35,,,,,,,,
32,"[529, 159, 215, 284]",0.32,0.0,0.07,0.08,0.44,0.0,0.09,,,,,,,,
33,"[557, 140, 212, 280]",0.03,0.0,0.01,0.04,0.04,0.0,0.88,,,,,,,,
34,"[540, 145, 211, 287]",0.05,0.0,0.03,0.05,0.07,0.02,0.79,,,,,,,,
35,"[534, 138, 212, 286]",0.13,0.0,0.02,0.01,0.11,0.01,0.72,,,,,,,,
36,"[556, 140, 202, 273]",0.02,0.0,0.01,0.04,0.04,0.01,0.87,,,,,,,,
37,"[524, 135, 212, 278]",0.37,0.0,0.04,0.03,0.12,0.01,0.43,,,,,,,,
38,"[505, 147, 217, 286]",0.49,0.0,0.07,0.02,0.39,0.01,0.03,,,,,,,,
39,"[511, 144, 216, 278]",0.19,0.0,0.04,0.08,0.04,0.01,0.64,,,,,,,,
40,"[535, 152, 216, 282]",0.27,0.0,0.19,0.02,0.19,0.09,0.24,,,,,,,,
41,"[539, 135, 215, 275]",0.2,0.0,0.03,0.02,0.07,0.01,0.68,,,,,,,,
42,"[515, 142, 211, 269]",0.5,0.0,0.15,0.0,0.15,0.01,0.19,,,,,,,,
43,"[479, 158, 229, 296]",0.24,0.0,0.06,0.05,0.07,0.01,0.56,,,,,,,,
44,"[489, 141, 224, 293]",0.55,0.0,0.09,0.04,0.25,0.01,0.06,,,,,,,,
45,"[491, 117, 209, 253]",0.36,0.0,0.07,0.02,0.11,0.02,0.43,,,,,,,,
46,"[499, 139, 212, 269]",0.01,0.0,0.01,0.83,0.01,0.04,0.09,,,,,,,,
47,"[510, 129, 220, 282]",0.31,0.0,0.08,0.04,0.04,0.05,0.49,,,,,,,,
48,"[516, 146, 213, 274]",0.01,0.0,0.03,0.66,0.04,0.06,0.2,,,,,,,,
49,"[534, 142, 200, 272]",0.04,0.0,0.07,0.53,0.09,0.05,0.2,,,,,,,,
50,"[521, 143, 216, 284]",0.17,0.0,0.12,0.01,0.11,0.03,0.56,,,,,,,,
51,"[520, 159, 217, 280]",0.25,0.0,0.12,0.12,0.15,0.02,0.34,,,,,,,,
52,"[456, 159, 222, 278]",0.32,0.0,0.07,0.05,0.1,0.01,0.45,,,,,,,,
53,"[475, 147, 215, 272]",0.06,0.0,0.01,0.13,0.02,0.0,0.78,,,,,,,,
54,"[489, 153, 215, 270]",0.03,0.0,0.01,0.06,0.08,0.0,0.82,,,,,,,,
55,"[491, 157, 225, 287]",0.07,0.0,0.05,0.28,0.13,0.01,0.47,,,,,,,,
56,"[501, 149, 218, 284]",0.13,0.0,0.07,0.13,0.09,0.04,0.54,,,,,,,,
57,"[484, 128, 220, 285]",0.36,0.0,0.1,0.12,0.1,0.09,0.24,,,,,,,,
58,"[472, 138, 225, 284]",0.14,0.0,0.05,0.21,0.15,0.01,0.43,,,,,,,,
59,"[463, 126, 215, 271]",0.5,0.0,0.1,0.02,0.16,0.05,0.16,,,,,,,,
60,"[521, 130, 211, 284]",0.29,0.0,0.08,0.02,0.43,0.03,0.14,,,,,,,,
61,"[500, 125, 217, 281]",0.07,0.0,0.02,0.08,0.01,0.01,0.81,,,,,,,,
62,"[512, 121, 207, 277]",0.11,0.0,0.04,0.13,0.1,0.09,0.53,,,,,,,,
63,"[536, 113, 215, 293]",0.41,0.0,0.08,0.21,0.22,0.04,0.03,,,,,,,,
64,"[534, 124, 211, 281]",0.06,0.0,0.01,0.01,0.04,0.01,0.88,,,,,,,,
65,"[528, 122, 208, 270]",0.25,0.0,0.42,0.0,0.23,0.05,0.05,,,,,,,,
66,"[496, 143, 219, 278]",0.28,0.0,0.06,0.02,0.06,0.01,0.56,,,,,,,,
67,"[500, 139, 221, 273]",0.36,0.0,0.04,0.01,0.03,0.03,0.53,,,,,,,,
68,"[525, 141, 214, 291]",0.06,0.0,0.02,0.07,0.41,0.01,0.41,,,,,,,,
69,"[540, 159, 210, 279]",0.01,0.0,0.0,0.11,0.03,0.0,0.84,,,,,,,,
70,"[521, 128, 218, 290]",0.08,0.0,0.01,0.16,0.06,0.17,0.52,,,,,,,,
