,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[300, 92, 62, 76]",0.07,0.0,0.04,0.02,0.08,0.01,0.78,"[542, 228, 51, 61]",0.31,0.0,0.04,0.03,0.29,0.0,0.32,,,,,,,,,,,,,,,,
1,"[274, 60, 69, 85]",0.39,0.0,0.01,0.06,0.1,0.0,0.44,"[544, 232, 49, 59]",0.29,0.0,0.03,0.03,0.36,0.01,0.27,,,,,,,,,,,,,,,,
2,"[271, 60, 65, 80]",0.41,0.0,0.02,0.18,0.05,0.01,0.34,"[542, 227, 51, 64]",0.25,0.0,0.04,0.05,0.31,0.0,0.35,,,,,,,,,,,,,,,,
3,"[539, 229, 53, 65]",0.28,0.0,0.05,0.04,0.28,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,
4,"[298, 102, 63, 75]",0.06,0.0,0.04,0.04,0.58,0.01,0.28,"[541, 230, 51, 64]",0.32,0.0,0.05,0.01,0.43,0.0,0.19,,,,,,,,,,,,,,,,
5,"[293, 101, 65, 79]",0.07,0.0,0.03,0.06,0.51,0.01,0.32,"[539, 229, 51, 62]",0.57,0.0,0.03,0.04,0.15,0.0,0.21,,,,,,,,,,,,,,,,
6,"[295, 104, 62, 75]",0.06,0.0,0.05,0.34,0.3,0.03,0.22,"[539, 228, 49, 62]",0.24,0.0,0.05,0.02,0.29,0.0,0.4,,,,,,,,,,,,,,,,
7,"[290, 94, 66, 77]",0.03,0.0,0.02,0.12,0.28,0.0,0.55,"[538, 227, 52, 64]",0.15,0.0,0.04,0.03,0.4,0.0,0.37,,,,,,,,,,,,,,,,
8,"[295, 94, 64, 78]",0.04,0.0,0.02,0.09,0.42,0.0,0.41,"[539, 227, 52, 64]",0.35,0.0,0.04,0.03,0.26,0.0,0.32,,,,,,,,,,,,,,,,
9,"[289, 91, 64, 78]",0.04,0.0,0.02,0.08,0.43,0.0,0.43,"[539, 227, 51, 63]",0.28,0.0,0.02,0.06,0.31,0.0,0.32,,,,,,,,,,,,,,,,
