,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9
0,"[1097, 459, 47, 58]",0.23,0.0,0.11,0.0,0.58,0.0,0.08,"[502, 164, 160, 210]",0.04,0.0,0.07,0.17,0.08,0.01,0.64,"[195, 587, 49, 58]",0.01,0.0,0.0,0.9,0.02,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[488, 128, 147, 199]",0.49,0.0,0.22,0.02,0.22,0.0,0.04,"[1094, 471, 46, 56]",0.1,0.0,0.06,0.04,0.68,0.0,0.12,"[195, 587, 50, 58]",0.0,0.0,0.0,0.86,0.02,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[1092, 459, 47, 57]",0.36,0.0,0.03,0.01,0.13,0.0,0.47,"[485, 136, 152, 206]",0.23,0.0,0.25,0.02,0.44,0.01,0.05,"[195, 587, 49, 58]",0.0,0.0,0.0,0.89,0.02,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[1088, 464, 46, 57]",0.52,0.0,0.06,0.0,0.38,0.01,0.03,"[546, 216, 150, 189]",0.04,0.0,0.07,0.0,0.87,0.0,0.01,"[193, 588, 51, 58]",0.0,0.0,0.0,0.93,0.01,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[1099, 457, 44, 54]",0.19,0.0,0.14,0.01,0.53,0.02,0.11,"[491, 116, 155, 207]",0.12,0.0,0.52,0.0,0.26,0.0,0.1,"[196, 588, 48, 57]",0.0,0.0,0.0,0.91,0.01,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[1094, 462, 46, 58]",0.18,0.01,0.08,0.01,0.29,0.0,0.43,"[502, 128, 148, 197]",0.07,0.0,0.13,0.0,0.53,0.0,0.26,"[195, 588, 49, 57]",0.0,0.0,0.0,0.95,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[1090, 466, 45, 56]",0.54,0.01,0.03,0.0,0.35,0.0,0.06,"[511, 184, 151, 179]",0.08,0.0,0.04,0.0,0.87,0.0,0.01,"[195, 588, 50, 58]",0.0,0.0,0.0,0.96,0.01,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[1094, 460, 44, 54]",0.12,0.01,0.19,0.0,0.53,0.0,0.14,"[533, 131, 142, 192]",0.68,0.0,0.1,0.0,0.11,0.08,0.03,"[197, 588, 47, 56]",0.0,0.0,0.0,0.95,0.01,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[1090, 461, 46, 55]",0.52,0.0,0.02,0.0,0.21,0.0,0.24,"[521, 94, 156, 211]",0.59,0.0,0.25,0.0,0.15,0.0,0.02,"[195, 587, 50, 59]",0.0,0.0,0.0,0.95,0.01,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[1076, 461, 48, 62]",0.23,0.03,0.14,0.01,0.34,0.2,0.05,"[559, 116, 146, 196]",0.12,0.0,0.22,0.0,0.29,0.0,0.37,"[195, 588, 50, 58]",0.0,0.0,0.0,0.94,0.01,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[1091, 462, 47, 59]",0.1,0.01,0.04,0.02,0.41,0.01,0.42,"[196, 588, 49, 57]",0.0,0.0,0.0,0.89,0.01,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[1092, 470, 45, 59]",0.51,0.0,0.07,0.0,0.29,0.02,0.11,"[196, 587, 49, 58]",0.0,0.0,0.0,0.87,0.02,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[1090, 465, 45, 57]",0.19,0.0,0.02,0.0,0.4,0.0,0.39,"[559, 104, 160, 219]",0.56,0.0,0.15,0.05,0.16,0.0,0.07,"[194, 588, 51, 59]",0.0,0.0,0.0,0.96,0.01,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
