,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[483, 124, 238, 314]",0.18,0.0,0.03,0.02,0.71,0.0,0.07,,,,,,,,
1,"[489, 132, 228, 306]",0.07,0.0,0.02,0.01,0.44,0.0,0.46,,,,,,,,
2,"[488, 134, 242, 312]",0.24,0.0,0.03,0.01,0.66,0.0,0.05,,,,,,,,
3,"[484, 139, 232, 307]",0.06,0.0,0.02,0.02,0.2,0.0,0.71,,,,,,,,
4,"[483, 123, 233, 308]",0.17,0.0,0.13,0.01,0.64,0.01,0.03,,,,,,,,
5,"[482, 122, 241, 322]",0.19,0.0,0.02,0.01,0.76,0.0,0.02,,,,,,,,
6,"[479, 153, 234, 308]",0.06,0.0,0.01,0.02,0.09,0.0,0.82,,,,,,,,
7,"[490, 127, 232, 305]",0.2,0.0,0.02,0.01,0.69,0.0,0.08,,,,,,,,
8,"[501, 147, 229, 297]",0.12,0.0,0.06,0.04,0.67,0.0,0.12,,,,,,,,
9,"[497, 128, 235, 310]",0.34,0.0,0.03,0.01,0.54,0.0,0.08,,,,,,,,
10,"[472, 129, 238, 314]",0.3,0.0,0.04,0.01,0.56,0.0,0.08,,,,,,,,
11,"[480, 151, 236, 301]",0.3,0.0,0.01,0.01,0.51,0.0,0.17,,,,,,,,
12,"[486, 131, 233, 310]",0.14,0.0,0.03,0.0,0.78,0.0,0.04,,,,,,,,
13,"[483, 143, 248, 322]",0.33,0.0,0.02,0.01,0.51,0.0,0.12,,,,,,,,
14,"[480, 129, 251, 323]",0.67,0.0,0.03,0.0,0.23,0.0,0.07,,,,,,,,
15,"[464, 135, 232, 306]",0.19,0.0,0.04,0.1,0.65,0.01,0.02,,,,,,,,
16,"[466, 122, 232, 297]",0.2,0.0,0.08,0.04,0.19,0.29,0.2,,,,,,,,
17,"[482, 140, 229, 306]",0.05,0.0,0.01,0.08,0.14,0.0,0.71,,,,,,,,
