,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
252,"[638, 178, 169, 221]",0.38,0.02,0.2,0.0,0.36,0.0,0.03,,,,,,,,,,,,,,,,
253,"[543, 168, 184, 246]",0.27,0.0,0.14,0.0,0.48,0.0,0.1,"[698, 93, 271, 373]",0.11,0.0,0.17,0.49,0.04,0.01,0.19,,,,,,,,
254,"[674, 173, 170, 227]",0.25,0.03,0.38,0.0,0.33,0.01,0.01,,,,,,,,,,,,,,,,
255,"[584, 152, 178, 238]",0.06,0.01,0.23,0.0,0.68,0.0,0.02,"[12, 370, 32, 36]",0.26,0.0,0.23,0.09,0.36,0.01,0.04,"[692, 103, 284, 373]",0.22,0.0,0.33,0.07,0.18,0.01,0.2
256,"[542, 162, 184, 243]",0.5,0.0,0.27,0.0,0.21,0.0,0.02,"[701, 97, 269, 365]",0.08,0.0,0.33,0.32,0.07,0.01,0.19,,,,,,,,
257,"[639, 151, 171, 244]",0.55,0.02,0.15,0.01,0.23,0.02,0.03,"[702, 114, 260, 335]",0.41,0.03,0.18,0.04,0.24,0.01,0.1,"[9, 371, 29, 33]",0.37,0.0,0.18,0.09,0.32,0.01,0.03
258,"[601, 163, 179, 236]",0.12,0.04,0.31,0.0,0.5,0.0,0.04,"[10, 370, 30, 34]",0.3,0.0,0.16,0.17,0.34,0.01,0.03,,,,,,,,
259,"[612, 123, 176, 235]",0.57,0.0,0.19,0.0,0.21,0.01,0.02,"[12, 370, 31, 35]",0.37,0.0,0.19,0.1,0.29,0.0,0.04,,,,,,,,
260,"[654, 191, 173, 230]",0.27,0.02,0.37,0.0,0.31,0.0,0.02,"[9, 368, 35, 40]",0.23,0.0,0.19,0.06,0.48,0.0,0.04,,,,,,,,
261,"[544, 156, 186, 240]",0.89,0.0,0.06,0.0,0.05,0.0,0.0,"[708, 98, 268, 366]",0.1,0.0,0.22,0.37,0.06,0.01,0.25,,,,,,,,
262,"[577, 162, 181, 227]",0.06,0.02,0.28,0.0,0.6,0.0,0.03,"[685, 105, 286, 366]",0.2,0.0,0.26,0.06,0.21,0.02,0.25,,,,,,,,
263,"[700, 95, 276, 370]",0.04,0.0,0.06,0.68,0.04,0.01,0.18,,,,,,,,,,,,,,,,
264,"[703, 95, 269, 362]",0.14,0.0,0.27,0.14,0.11,0.0,0.34,"[532, 166, 189, 248]",0.82,0.0,0.11,0.0,0.07,0.0,0.0,,,,,,,,
265,"[567, 157, 187, 244]",0.1,0.08,0.13,0.0,0.65,0.0,0.03,"[695, 100, 280, 363]",0.26,0.0,0.25,0.05,0.23,0.0,0.2,"[11, 369, 33, 36]",0.3,0.0,0.13,0.12,0.39,0.01,0.05
266,"[631, 173, 179, 242]",0.47,0.01,0.25,0.09,0.17,0.0,0.01,"[13, 369, 35, 39]",0.36,0.0,0.19,0.08,0.3,0.01,0.05,,,,,,,,
267,"[548, 180, 183, 237]",0.47,0.01,0.18,0.0,0.33,0.0,0.01,"[695, 99, 273, 363]",0.06,0.0,0.14,0.63,0.03,0.02,0.13,"[13, 370, 30, 34]",0.35,0.0,0.2,0.08,0.33,0.0,0.03
268,"[544, 165, 189, 251]",0.49,0.0,0.34,0.0,0.15,0.0,0.02,"[699, 93, 272, 373]",0.09,0.0,0.12,0.52,0.05,0.01,0.21,,,,,,,,
