,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[614, 228, 56, 70]",0.03,0.0,0.0,0.04,0.03,0.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,
1,"[1247, 386, 36, 45]",0.16,0.0,0.1,0.37,0.23,0.0,0.14,"[1142, 395, 28, 37]",0.08,0.0,0.03,0.44,0.31,0.0,0.13,"[628, 237, 28, 36]",0.42,0.0,0.04,0.11,0.05,0.0,0.37,,,,,,,,
2,"[628, 231, 24, 29]",0.46,0.0,0.04,0.26,0.08,0.0,0.16,"[1047, 361, 20, 27]",0.08,0.0,0.07,0.12,0.41,0.0,0.31,,,,,,,,,,,,,,,,
3,"[1126, 355, 28, 33]",0.27,0.0,0.08,0.27,0.28,0.0,0.09,"[627, 231, 24, 30]",0.49,0.0,0.03,0.17,0.13,0.0,0.17,"[1047, 360, 22, 29]",0.13,0.0,0.09,0.18,0.33,0.0,0.27,"[1255, 370, 21, 25]",0.25,0.0,0.05,0.14,0.43,0.0,0.13
4,"[1215, 364, 28, 35]",0.18,0.0,0.1,0.09,0.26,0.0,0.37,"[1043, 359, 23, 31]",0.07,0.0,0.02,0.31,0.4,0.0,0.2,"[641, 231, 22, 28]",0.71,0.0,0.03,0.05,0.13,0.0,0.09,"[1251, 370, 21, 29]",0.09,0.0,0.04,0.25,0.2,0.0,0.42
5,"[618, 229, 31, 39]",0.36,0.0,0.02,0.05,0.16,0.0,0.4,"[1171, 398, 29, 39]",0.23,0.0,0.11,0.33,0.28,0.0,0.06,,,,,,,,,,,,,,,,
6,"[593, 189, 79, 102]",0.22,0.0,0.03,0.02,0.1,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,
7,"[547, 80, 146, 188]",0.23,0.0,0.01,0.01,0.55,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,
8,"[539, 115, 196, 252]",0.07,0.0,0.01,0.01,0.04,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,
9,"[496, 156, 220, 292]",0.32,0.0,0.11,0.01,0.37,0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,
10,"[486, 154, 220, 289]",0.26,0.0,0.1,0.01,0.35,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,
11,"[493, 159, 227, 296]",0.13,0.0,0.14,0.01,0.44,0.01,0.27,,,,,,,,,,,,,,,,,,,,,,,,
12,"[489, 154, 224, 297]",0.28,0.0,0.05,0.03,0.27,0.01,0.35,,,,,,,,,,,,,,,,,,,,,,,,
13,"[495, 167, 227, 294]",0.36,0.0,0.07,0.01,0.28,0.01,0.26,,,,,,,,,,,,,,,,,,,,,,,,
14,"[447, 164, 230, 285]",0.06,0.0,0.01,0.01,0.16,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
15,"[494, 168, 231, 288]",0.04,0.0,0.01,0.0,0.09,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,
16,"[481, 175, 232, 291]",0.13,0.0,0.02,0.0,0.19,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,
17,"[479, 182, 233, 299]",0.35,0.0,0.05,0.02,0.22,0.01,0.36,,,,,,,,,,,,,,,,,,,,,,,,
18,"[487, 154, 224, 289]",0.47,0.0,0.06,0.01,0.32,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,
19,"[533, 160, 229, 299]",0.24,0.0,0.04,0.01,0.29,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,
20,"[551, 173, 227, 283]",0.07,0.0,0.01,0.0,0.16,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,
21,"[555, 148, 231, 285]",0.07,0.0,0.01,0.01,0.19,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,
22,"[502, 169, 229, 285]",0.15,0.0,0.01,0.03,0.34,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,
23,"[493, 163, 228, 297]",0.19,0.0,0.04,0.03,0.3,0.02,0.42,,,,,,,,,,,,,,,,,,,,,,,,
