,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17,box18,angry18,disgust18,fear18,happy18,sad18,surprise18,neutral18,box19,angry19,disgust19,fear19,happy19,sad19,surprise19,neutral19,box20,angry20,disgust20,fear20,happy20,sad20,surprise20,neutral20,box21,angry21,disgust21,fear21,happy21,sad21,surprise21,neutral21,box22,angry22,disgust22,fear22,happy22,sad22,surprise22,neutral22,box23,angry23,disgust23,fear23,happy23,sad23,surprise23,neutral23,box24,angry24,disgust24,fear24,happy24,sad24,surprise24,neutral24,box25,angry25,disgust25,fear25,happy25,sad25,surprise25,neutral25
10,"[576, 91, 116, 153]",0.16,0.0,0.05,0.0,0.14,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[574, 91, 116, 157]",0.31,0.0,0.06,0.01,0.32,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[578, 86, 118, 165]",0.83,0.0,0.02,0.0,0.12,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[337, 162, 92, 118]",0.45,0.0,0.04,0.0,0.27,0.0,0.23,"[1076, 199, 119, 140]",0.13,0.0,0.13,0.11,0.25,0.01,0.38,"[587, 194, 96, 119]",0.15,0.0,0.05,0.0,0.2,0.0,0.59,"[11, 154, 75, 87]",0.59,0.0,0.19,0.02,0.12,0.01,0.08,"[787, 145, 96, 116]",0.04,0.0,0.0,0.07,0.03,0.0,0.85,"[1181, 99, 70, 95]",0.13,0.0,0.05,0.54,0.03,0.04,0.22,"[967, 107, 79, 99]",0.47,0.0,0.1,0.0,0.14,0.08,0.2,"[1095, 61, 72, 94]",0.07,0.0,0.02,0.55,0.27,0.01,0.08,"[106, 91, 57, 73]",0.55,0.0,0.03,0.36,0.02,0.04,0.0,"[0, 215, 83, 128]",0.13,0.0,0.13,0.04,0.25,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[585, 204, 91, 116]",0.26,0.0,0.1,0.0,0.17,0.05,0.42,"[61, 170, 72, 82]",0.34,0.0,0.34,0.01,0.12,0.01,0.18,"[369, 188, 94, 120]",0.19,0.0,0.01,0.01,0.63,0.0,0.16,"[767, 169, 85, 110]",0.09,0.0,0.07,0.36,0.18,0.01,0.3,"[1139, 122, 64, 86]",0.21,0.0,0.17,0.36,0.08,0.03,0.16,"[1038, 211, 110, 128]",0.06,0.0,0.08,0.02,0.36,0.0,0.48,"[23, 229, 99, 120]",0.08,0.0,0.09,0.01,0.36,0.0,0.47,"[943, 128, 73, 93]",0.58,0.0,0.08,0.01,0.15,0.03,0.15,"[149, 109, 54, 73]",0.37,0.0,0.05,0.45,0.08,0.03,0.01,"[1066, 91, 57, 77]",0.02,0.0,0.03,0.57,0.22,0.02,0.13,"[1011, 89, 69, 87]",0.15,0.0,0.03,0.23,0.23,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[586, 223, 80, 103]",0.18,0.0,0.3,0.0,0.04,0.43,0.05,"[389, 211, 82, 103]",0.25,0.0,0.01,0.13,0.32,0.0,0.28,"[1002, 231, 94, 115]",0.16,0.0,0.14,0.02,0.41,0.01,0.26,"[120, 188, 67, 76]",0.25,0.0,0.33,0.01,0.19,0.01,0.22,"[756, 183, 80, 100]",0.05,0.0,0.01,0.02,0.09,0.0,0.84,"[89, 246, 86, 105]",0.1,0.0,0.06,0.0,0.33,0.0,0.5,"[1198, 127, 51, 61]",0.51,0.0,0.1,0.13,0.11,0.02,0.12,"[909, 153, 66, 84]",0.23,0.0,0.1,0.0,0.28,0.04,0.35,"[1086, 146, 56, 76]",0.33,0.0,0.25,0.1,0.13,0.03,0.16,"[800, 6, 37, 47]",0.04,0.0,0.08,0.15,0.59,0.0,0.14,"[200, 138, 48, 64]",0.58,0.0,0.08,0.15,0.14,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[585, 217, 73, 91]",0.6,0.0,0.02,0.0,0.11,0.05,0.21,"[180, 186, 56, 67]",0.28,0.0,0.23,0.02,0.24,0.03,0.21,"[420, 210, 65, 85]",0.23,0.0,0.01,0.03,0.26,0.0,0.48,"[995, 220, 79, 112]",0.03,0.0,0.03,0.04,0.16,0.01,0.73,"[795, 25, 32, 41]",0.02,0.0,0.06,0.21,0.5,0.01,0.2,"[747, 183, 69, 88]",0.02,0.0,0.0,0.04,0.04,0.0,0.9,"[1180, 172, 59, 76]",0.05,0.0,0.03,0.06,0.04,0.01,0.82,"[146, 236, 79, 99]",0.1,0.0,0.04,0.0,0.24,0.0,0.62,"[1041, 151, 49, 68]",0.27,0.0,0.13,0.13,0.09,0.04,0.35,"[891, 154, 60, 75]",0.34,0.0,0.02,0.0,0.19,0.02,0.43,"[92, 157, 37, 45]",0.33,0.0,0.04,0.1,0.35,0.02,0.15,"[246, 140, 43, 58]",0.27,0.0,0.08,0.36,0.22,0.01,0.05,"[1081, 219, 71, 89]",0.25,0.0,0.08,0.03,0.24,0.07,0.34,"[445, 377, 156, 181]",0.86,0.0,0.0,0.12,0.0,0.0,0.02,"[1088, 132, 41, 53]",0.27,0.0,0.1,0.09,0.42,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[592, 224, 62, 77]",0.33,0.0,0.1,0.0,0.33,0.01,0.23,"[1120, 180, 54, 68]",0.03,0.0,0.02,0.04,0.07,0.0,0.84,"[775, 50, 30, 38]",0.03,0.0,0.1,0.44,0.29,0.03,0.11,"[201, 238, 71, 87]",0.11,0.0,0.04,0.0,0.16,0.0,0.68,"[923, 232, 79, 97]",0.14,0.0,0.01,0.0,0.41,0.0,0.44,"[438, 211, 61, 82]",0.21,0.0,0.01,0.05,0.44,0.0,0.29,"[1114, 388, 128, 163]",0.25,0.0,0.06,0.26,0.3,0.0,0.13,"[234, 195, 49, 59]",0.14,0.0,0.38,0.01,0.16,0.12,0.2,"[725, 203, 64, 76]",0.06,0.0,0.02,0.14,0.11,0.01,0.67,"[860, 164, 51, 67]",0.21,0.0,0.02,0.01,0.16,0.02,0.59,"[290, 154, 38, 50]",0.47,0.0,0.08,0.27,0.11,0.02,0.04,"[145, 159, 35, 47]",0.12,0.0,0.14,0.07,0.48,0.04,0.16,"[448, 329, 146, 171]",0.16,0.02,0.22,0.11,0.2,0.02,0.28,"[755, 150, 42, 50]",0.15,0.0,0.08,0.03,0.72,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[562, 72, 122, 162]",0.07,0.0,0.03,0.01,0.03,0.01,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[616, 112, 122, 157]",0.49,0.12,0.02,0.0,0.3,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
