,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[305, 412, 51, 61]",0.32,0.0,0.03,0.05,0.53,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[282, 228, 28, 34]",0.32,0.02,0.03,0.11,0.4,0.0,0.11,"[463, 202, 34, 49]",0.2,0.0,0.41,0.01,0.33,0.02,0.03,"[408, 218, 18, 22]",0.43,0.0,0.16,0.02,0.27,0.0,0.11,,,,,,,,,,,,,,,,
2,"[410, 72, 411, 552]",0.0,0.0,0.0,0.98,0.0,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[687, 128, 123, 161]",0.12,0.0,0.09,0.19,0.03,0.33,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[580, 120, 128, 166]",0.57,0.0,0.07,0.14,0.08,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[482, 115, 178, 230]",0.46,0.0,0.13,0.11,0.18,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[561, 140, 183, 230]",0.03,0.0,0.0,0.5,0.06,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[520, 124, 169, 225]",0.29,0.01,0.07,0.39,0.12,0.06,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[530, 142, 164, 218]",0.45,0.03,0.1,0.15,0.23,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[537, 140, 167, 214]",0.2,0.01,0.05,0.4,0.3,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[512, 130, 178, 237]",0.05,0.0,0.0,0.58,0.06,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[561, 186, 163, 214]",0.04,0.0,0.06,0.71,0.14,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[587, 175, 171, 225]",0.06,0.0,0.0,0.78,0.1,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[511, 191, 169, 215]",0.03,0.0,0.02,0.87,0.04,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[411, 180, 177, 229]",0.02,0.0,0.01,0.86,0.04,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[509, 190, 166, 206]",0.01,0.0,0.0,0.97,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[675, 160, 119, 155]",0.03,0.0,0.02,0.79,0.05,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[549, 167, 119, 156]",0.01,0.0,0.01,0.81,0.02,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[629, 161, 126, 158]",0.06,0.0,0.07,0.68,0.06,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[630, 149, 126, 161]",0.03,0.0,0.03,0.71,0.02,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[633, 137, 129, 162]",0.15,0.0,0.04,0.57,0.09,0.03,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[623, 163, 121, 155]",0.03,0.0,0.04,0.56,0.08,0.02,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[623, 155, 124, 157]",0.04,0.0,0.03,0.46,0.1,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[644, 139, 129, 168]",0.68,0.0,0.04,0.14,0.04,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[628, 167, 120, 151]",0.05,0.0,0.02,0.51,0.13,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[465, 159, 178, 234]",0.13,0.0,0.09,0.6,0.12,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[353, 178, 174, 230]",0.04,0.0,0.02,0.81,0.06,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[514, 149, 187, 255]",0.29,0.1,0.13,0.08,0.32,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[621, 128, 124, 158]",0.34,0.0,0.09,0.09,0.07,0.11,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[615, 138, 127, 165]",0.15,0.0,0.01,0.7,0.06,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[606, 142, 115, 151]",0.13,0.0,0.11,0.48,0.04,0.19,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[1222, 203, 42, 52]",0.13,0.01,0.0,0.71,0.08,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[462, 124, 188, 239]",0.41,0.01,0.01,0.2,0.23,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[498, 140, 187, 263]",0.65,0.01,0.01,0.18,0.06,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[127, 344, 20, 28]",0.16,0.0,0.09,0.21,0.33,0.04,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
