,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
242,"[601, 148, 162, 201]",0.13,0.0,0.03,0.0,0.24,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,
243,"[610, 146, 167, 204]",0.05,0.0,0.1,0.0,0.32,0.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,
244,"[612, 147, 160, 196]",0.06,0.0,0.13,0.01,0.24,0.01,0.55,,,,,,,,,,,,,,,,,,,,,,,,
245,"[597, 145, 157, 199]",0.19,0.0,0.18,0.01,0.27,0.05,0.3,,,,,,,,,,,,,,,,,,,,,,,,
246,"[604, 144, 168, 204]",0.04,0.0,0.11,0.02,0.15,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,
247,"[623, 139, 158, 194]",0.15,0.0,0.18,0.0,0.25,0.01,0.41,,,,,,,,,,,,,,,,,,,,,,,,
248,"[596, 144, 155, 200]",0.25,0.0,0.03,0.0,0.24,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,
249,"[555, 119, 153, 194]",0.52,0.0,0.11,0.0,0.07,0.2,0.09,,,,,,,,,,,,,,,,,,,,,,,,
250,"[533, 145, 159, 189]",0.24,0.0,0.03,0.0,0.08,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,
251,"[602, 120, 152, 196]",0.18,0.0,0.03,0.01,0.17,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,
252,"[607, 116, 146, 183]",0.21,0.0,0.04,0.01,0.19,0.21,0.33,,,,,,,,,,,,,,,,,,,,,,,,
253,"[576, 135, 152, 193]",0.04,0.0,0.08,0.01,0.28,0.01,0.59,,,,,,,,,,,,,,,,,,,,,,,,
254,"[554, 128, 160, 196]",0.1,0.0,0.03,0.0,0.08,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,
255,"[593, 140, 158, 198]",0.29,0.0,0.04,0.0,0.22,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,
256,"[623, 128, 153, 193]",0.16,0.0,0.04,0.03,0.15,0.02,0.61,,,,,,,,,,,,,,,,,,,,,,,,
257,"[560, 137, 157, 192]",0.39,0.0,0.03,0.0,0.25,0.01,0.32,,,,,,,,,,,,,,,,,,,,,,,,
258,"[565, 115, 153, 194]",0.12,0.0,0.24,0.01,0.33,0.08,0.22,"[406, 384, 52, 77]",0.26,0.01,0.12,0.29,0.2,0.01,0.11,,,,,,,,,,,,,,,,
259,"[524, 121, 161, 198]",0.4,0.0,0.05,0.01,0.23,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,
260,"[544, 126, 155, 185]",0.09,0.0,0.05,0.11,0.24,0.01,0.5,,,,,,,,,,,,,,,,,,,,,,,,
261,"[494, 121, 155, 207]",0.27,0.0,0.23,0.0,0.08,0.26,0.16,,,,,,,,,,,,,,,,,,,,,,,,
262,"[517, 120, 153, 195]",0.07,0.0,0.02,0.0,0.06,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,
263,"[596, 135, 156, 196]",0.09,0.0,0.06,0.08,0.12,0.01,0.65,,,,,,,,,,,,,,,,,,,,,,,,
264,"[645, 149, 160, 196]",0.11,0.0,0.03,0.01,0.14,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,
265,"[572, 174, 152, 195]",0.65,0.01,0.02,0.01,0.14,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,
266,"[544, 124, 156, 198]",0.26,0.0,0.26,0.02,0.36,0.07,0.03,"[620, 369, 27, 33]",0.31,0.0,0.1,0.02,0.36,0.01,0.21,,,,,,,,,,,,,,,,
267,"[574, 162, 150, 193]",0.46,0.02,0.07,0.0,0.28,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,
268,"[569, 179, 148, 192]",0.76,0.0,0.12,0.0,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
269,"[540, 114, 159, 189]",0.35,0.0,0.02,0.01,0.09,0.01,0.52,,,,,,,,,,,,,,,,,,,,,,,,
270,"[547, 115, 165, 197]",0.29,0.0,0.02,0.01,0.09,0.01,0.59,,,,,,,,,,,,,,,,,,,,,,,,
271,"[600, 99, 164, 207]",0.16,0.0,0.06,0.01,0.17,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,
272,"[595, 101, 156, 192]",0.2,0.0,0.13,0.01,0.37,0.03,0.26,,,,,,,,,,,,,,,,,,,,,,,,
273,"[562, 155, 155, 196]",0.15,0.0,0.1,0.01,0.37,0.01,0.37,,,,,,,,,,,,,,,,,,,,,,,,
274,"[544, 125, 160, 203]",0.24,0.0,0.04,0.03,0.48,0.01,0.19,,,,,,,,,,,,,,,,,,,,,,,,
275,"[551, 119, 160, 200]",0.14,0.0,0.26,0.02,0.21,0.19,0.17,,,,,,,,,,,,,,,,,,,,,,,,
276,"[604, 116, 151, 193]",0.44,0.0,0.07,0.0,0.14,0.01,0.33,,,,,,,,,,,,,,,,,,,,,,,,
277,"[605, 160, 162, 196]",0.25,0.04,0.13,0.02,0.32,0.02,0.22,,,,,,,,,,,,,,,,,,,,,,,,
278,"[542, 160, 143, 181]",0.28,0.02,0.15,0.01,0.27,0.04,0.24,,,,,,,,,,,,,,,,,,,,,,,,
279,"[594, 123, 152, 196]",0.43,0.0,0.08,0.0,0.29,0.07,0.13,,,,,,,,,,,,,,,,,,,,,,,,
280,"[587, 151, 158, 198]",0.24,0.0,0.05,0.0,0.27,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,
281,"[599, 146, 156, 205]",0.05,0.0,0.05,0.01,0.14,0.01,0.74,,,,,,,,,,,,,,,,,,,,,,,,
282,"[605, 147, 151, 196]",0.4,0.0,0.2,0.01,0.18,0.06,0.15,,,,,,,,,,,,,,,,,,,,,,,,
283,"[558, 117, 156, 199]",0.32,0.0,0.29,0.0,0.1,0.12,0.17,,,,,,,,,,,,,,,,,,,,,,,,
284,"[611, 155, 157, 199]",0.38,0.01,0.07,0.0,0.14,0.01,0.37,,,,,,,,,,,,,,,,,,,,,,,,
285,"[665, 128, 153, 178]",0.33,0.0,0.15,0.01,0.36,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,
286,"[624, 128, 159, 201]",0.13,0.0,0.07,0.0,0.67,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,
287,"[535, 139, 166, 208]",0.06,0.0,0.03,0.0,0.44,0.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,
288,"[635, 130, 155, 201]",0.11,0.0,0.05,0.0,0.41,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,
289,"[603, 138, 154, 206]",0.13,0.0,0.05,0.0,0.36,0.02,0.44,,,,,,,,,,,,,,,,,,,,,,,,
290,"[580, 129, 152, 193]",0.16,0.0,0.09,0.0,0.39,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,
291,"[570, 134, 155, 197]",0.05,0.0,0.01,0.0,0.15,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,
292,"[618, 147, 150, 200]",0.24,0.0,0.12,0.0,0.49,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,
293,"[596, 142, 152, 205]",0.27,0.0,0.02,0.0,0.13,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,
294,"[559, 136, 162, 199]",0.26,0.0,0.06,0.0,0.58,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,
295,"[610, 135, 153, 196]",0.07,0.0,0.03,0.0,0.16,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
296,"[598, 127, 158, 201]",0.17,0.0,0.1,0.0,0.49,0.01,0.23,,,,,,,,,,,,,,,,,,,,,,,,
297,"[590, 114, 159, 203]",0.29,0.0,0.31,0.0,0.24,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,
298,"[573, 132, 152, 194]",0.25,0.0,0.1,0.0,0.49,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,
299,"[641, 103, 150, 188]",0.16,0.0,0.37,0.0,0.37,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,
300,"[640, 118, 153, 194]",0.34,0.0,0.08,0.01,0.11,0.01,0.45,,,,,,,,,,,,,,,,,,,,,,,,
301,"[623, 142, 157, 197]",0.11,0.0,0.07,0.02,0.14,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,
302,"[606, 134, 155, 194]",0.2,0.0,0.02,0.0,0.12,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,
303,"[602, 118, 157, 197]",0.1,0.0,0.17,0.0,0.6,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,
304,"[632, 139, 162, 207]",0.09,0.0,0.03,0.0,0.21,0.01,0.66,,,,,,,,,,,,,,,,,,,,,,,,
305,"[374, 643, 52, 58]",0.42,0.0,0.16,0.04,0.35,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,
306,"[620, 139, 163, 206]",0.12,0.0,0.02,0.01,0.23,0.0,0.62,"[373, 646, 49, 54]",0.39,0.0,0.14,0.03,0.41,0.02,0.02,,,,,,,,,,,,,,,,
307,"[561, 153, 161, 200]",0.65,0.0,0.15,0.0,0.13,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,
308,"[605, 144, 164, 202]",0.3,0.0,0.21,0.0,0.2,0.02,0.26,,,,,,,,,,,,,,,,,,,,,,,,
309,"[550, 155, 164, 200]",0.44,0.0,0.2,0.0,0.21,0.05,0.09,"[623, 384, 43, 51]",0.21,0.0,0.2,0.19,0.28,0.04,0.08,,,,,,,,,,,,,,,,
310,"[602, 122, 156, 196]",0.23,0.0,0.2,0.0,0.21,0.1,0.26,,,,,,,,,,,,,,,,,,,,,,,,
311,"[594, 135, 161, 203]",0.11,0.0,0.05,0.0,0.14,0.01,0.69,,,,,,,,,,,,,,,,,,,,,,,,
