,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
0,"[1247, 408, 23, 25]",0.16,0.0,0.14,0.21,0.23,0.02,0.24,"[1040, 419, 20, 23]",0.02,0.0,0.01,0.35,0.19,0.0,0.43,"[1183, 410, 17, 20]",0.11,0.0,0.18,0.01,0.59,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[398, 31, 270, 344]",0.2,0.0,0.06,0.04,0.24,0.02,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[969, 160, 170, 220]",0.07,0.0,0.02,0.03,0.65,0.04,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[1047, 113, 211, 269]",0.05,0.0,0.03,0.06,0.51,0.03,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[916, 117, 105, 132]",0.01,0.0,0.0,0.02,0.01,0.97,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[799, 531, 78, 93]",0.0,0.0,0.0,0.0,0.0,0.99,0.0,"[1152, 308, 61, 72]",0.05,0.0,0.01,0.03,0.75,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[172, 57, 24, 33]",0.21,0.0,0.03,0.25,0.18,0.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[572, 171, 161, 209]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[890, 144, 56, 74]",0.14,0.0,0.14,0.05,0.59,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[742, 107, 104, 129]",0.19,0.0,0.08,0.5,0.1,0.07,0.06,"[67, 154, 96, 147]",0.04,0.0,0.09,0.3,0.32,0.03,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[479, 418, 77, 82]",0.39,0.0,0.07,0.43,0.02,0.09,0.01,"[944, 287, 125, 167]",0.11,0.0,0.07,0.04,0.22,0.01,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[737, 100, 97, 120]",0.2,0.0,0.14,0.26,0.28,0.01,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[570, 212, 46, 59]",0.13,0.0,0.07,0.28,0.25,0.04,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[333, 188, 35, 46]",0.32,0.01,0.07,0.42,0.15,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[515, 104, 52, 70]",0.07,0.0,0.02,0.84,0.03,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[589, 84, 47, 64]",0.2,0.0,0.03,0.62,0.05,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[388, 191, 108, 145]",0.06,0.0,0.02,0.1,0.06,0.01,0.76,"[673, 312, 61, 78]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[964, 265, 77, 99]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[804, 346, 28, 35]",0.56,0.0,0.0,0.01,0.06,0.01,0.37,"[239, 253, 34, 40]",0.25,0.0,0.12,0.13,0.38,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,
17,"[978, 102, 105, 135]",0.05,0.0,0.05,0.0,0.18,0.01,0.7,"[435, 108, 140, 181]",0.0,0.0,0.0,0.95,0.01,0.02,0.01,"[270, 90, 94, 113]",0.42,0.0,0.13,0.0,0.32,0.01,0.12,"[83, 155, 132, 166]",0.03,0.0,0.0,0.8,0.01,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[603, 307, 44, 57]",0.18,0.0,0.02,0.73,0.03,0.01,0.04,"[1228, 302, 47, 58]",0.04,0.0,0.13,0.04,0.75,0.0,0.03,"[254, 437, 65, 80]",0.07,0.0,0.07,0.47,0.22,0.01,0.16,"[426, 337, 53, 65]",0.01,0.0,0.02,0.7,0.08,0.0,0.19,"[452, 256, 32, 37]",0.64,0.0,0.11,0.1,0.07,0.01,0.06,"[337, 288, 26, 30]",0.75,0.0,0.05,0.03,0.13,0.0,0.04,"[479, 351, 39, 44]",0.37,0.0,0.05,0.38,0.13,0.0,0.06,"[399, 257, 34, 39]",0.11,0.0,0.15,0.44,0.17,0.0,0.12
19,"[486, 397, 41, 53]",0.05,0.0,0.04,0.3,0.22,0.12,0.26,"[606, 420, 37, 45]",0.29,0.0,0.11,0.14,0.36,0.01,0.08,"[656, 71, 97, 119]",0.12,0.0,0.14,0.42,0.13,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[171, 0, 65, 70]",0.0,0.0,0.01,0.95,0.01,0.0,0.03,"[270, 82, 49, 62]",0.13,0.0,0.06,0.02,0.34,0.08,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[567, 255, 59, 74]",0.06,0.0,0.0,0.56,0.03,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[442, 252, 69, 85]",0.01,0.0,0.0,0.42,0.01,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[489, 278, 81, 100]",0.23,0.0,0.01,0.64,0.07,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[560, 215, 106, 139]",0.21,0.0,0.03,0.01,0.56,0.02,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[468, 178, 120, 156]",0.34,0.0,0.09,0.0,0.09,0.46,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[440, 200, 122, 154]",0.15,0.01,0.01,0.55,0.15,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[479, 201, 134, 175]",0.32,0.0,0.02,0.2,0.36,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[425, 161, 144, 182]",0.09,0.0,0.01,0.15,0.07,0.01,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[500, 133, 157, 211]",0.15,0.0,0.09,0.04,0.31,0.03,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[477, 152, 167, 209]",0.47,0.0,0.14,0.04,0.16,0.14,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[486, 227, 154, 198]",0.47,0.0,0.02,0.09,0.3,0.02,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[480, 213, 154, 195]",0.14,0.01,0.06,0.18,0.43,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[413, 139, 158, 211]",0.31,0.0,0.22,0.11,0.07,0.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[458, 222, 147, 190]",0.2,0.02,0.05,0.07,0.45,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[457, 136, 164, 203]",0.51,0.0,0.21,0.05,0.14,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[471, 147, 152, 200]",0.08,0.0,0.03,0.37,0.03,0.02,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[534, 160, 155, 205]",0.23,0.0,0.09,0.16,0.23,0.12,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[534, 196, 166, 210]",0.44,0.0,0.03,0.27,0.17,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[530, 206, 151, 194]",0.31,0.01,0.03,0.39,0.2,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[522, 136, 162, 205]",0.02,0.0,0.01,0.72,0.02,0.04,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[443, 138, 157, 201]",0.07,0.0,0.22,0.29,0.05,0.08,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[604, 190, 154, 203]",0.22,0.0,0.3,0.03,0.24,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[618, 242, 138, 175]",0.28,0.01,0.06,0.21,0.29,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[524, 153, 163, 204]",0.19,0.0,0.21,0.02,0.08,0.3,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[558, 168, 156, 208]",0.17,0.0,0.09,0.11,0.41,0.02,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[552, 186, 152, 201]",0.51,0.0,0.06,0.07,0.24,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[567, 195, 149, 191]",0.31,0.01,0.1,0.01,0.4,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[541, 146, 163, 208]",0.1,0.0,0.08,0.52,0.09,0.09,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[551, 141, 157, 207]",0.23,0.0,0.24,0.11,0.22,0.03,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[557, 179, 151, 201]",0.3,0.0,0.03,0.08,0.34,0.03,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[565, 160, 157, 203]",0.21,0.0,0.03,0.13,0.07,0.1,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[594, 168, 157, 213]",0.31,0.0,0.11,0.29,0.1,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"[568, 137, 162, 205]",0.39,0.0,0.11,0.02,0.12,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"[576, 138, 159, 218]",0.28,0.0,0.22,0.04,0.03,0.38,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"[595, 246, 145, 184]",0.19,0.01,0.04,0.59,0.12,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"[556, 193, 154, 199]",0.26,0.0,0.11,0.01,0.38,0.08,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"[605, 206, 149, 190]",0.21,0.0,0.15,0.2,0.27,0.02,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"[577, 149, 160, 209]",0.38,0.0,0.04,0.01,0.03,0.39,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"[545, 133, 160, 226]",0.0,0.0,0.0,0.97,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"[585, 146, 161, 212]",0.18,0.0,0.08,0.05,0.05,0.51,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"[568, 205, 149, 196]",0.34,0.0,0.03,0.23,0.31,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"[573, 225, 139, 180]",0.1,0.0,0.05,0.06,0.3,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"[562, 146, 158, 198]",0.2,0.0,0.35,0.04,0.05,0.33,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"[559, 196, 146, 188]",0.42,0.01,0.05,0.23,0.21,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"[541, 194, 150, 195]",0.41,0.01,0.06,0.05,0.31,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"[544, 142, 158, 207]",0.23,0.0,0.11,0.06,0.08,0.16,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"[553, 152, 158, 195]",0.29,0.0,0.06,0.06,0.12,0.06,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"[594, 193, 151, 202]",0.37,0.0,0.05,0.13,0.34,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"[565, 122, 156, 215]",0.49,0.0,0.1,0.16,0.14,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"[590, 203, 146, 195]",0.53,0.0,0.02,0.23,0.19,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"[587, 129, 159, 210]",0.1,0.0,0.09,0.14,0.15,0.38,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"[550, 142, 155, 212]",0.07,0.0,0.03,0.7,0.04,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"[583, 214, 142, 178]",0.18,0.0,0.07,0.1,0.47,0.03,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"[548, 148, 162, 211]",0.22,0.0,0.08,0.25,0.4,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"[559, 125, 162, 219]",0.35,0.0,0.18,0.23,0.13,0.09,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"[546, 123, 155, 212]",0.04,0.0,0.01,0.89,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"[540, 150, 163, 201]",0.09,0.0,0.13,0.36,0.13,0.05,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"[475, 173, 157, 211]",0.06,0.0,0.04,0.55,0.03,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"[532, 141, 172, 223]",0.47,0.0,0.06,0.04,0.08,0.13,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"[578, 128, 157, 203]",0.2,0.0,0.22,0.0,0.11,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"[584, 229, 135, 172]",0.22,0.01,0.13,0.09,0.44,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"[542, 145, 161, 203]",0.08,0.0,0.02,0.09,0.03,0.02,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"[542, 139, 162, 209]",0.18,0.0,0.12,0.02,0.1,0.1,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"[544, 144, 157, 213]",0.12,0.0,0.06,0.59,0.14,0.02,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"[581, 127, 164, 219]",0.68,0.0,0.17,0.01,0.04,0.09,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
