,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[529, 124, 147, 196]",0.56,0.0,0.04,0.04,0.11,0.05,0.2
1,"[480, 151, 151, 203]",0.14,0.0,0.02,0.31,0.37,0.0,0.16
2,"[563, 162, 154, 201]",0.06,0.03,0.02,0.39,0.17,0.0,0.33
3,"[559, 165, 153, 203]",0.1,0.07,0.01,0.35,0.22,0.0,0.25
4,"[534, 141, 155, 208]",0.1,0.0,0.01,0.67,0.06,0.0,0.16
5,"[514, 149, 155, 201]",0.03,0.0,0.0,0.34,0.01,0.0,0.61
6,"[532, 139, 153, 201]",0.11,0.0,0.01,0.48,0.09,0.0,0.3
7,"[550, 151, 154, 200]",0.18,0.0,0.03,0.33,0.27,0.01,0.18
8,"[605, 221, 85, 112]",0.18,0.0,0.04,0.14,0.13,0.01,0.5
9,"[611, 234, 84, 111]",0.06,0.0,0.05,0.09,0.22,0.01,0.57
10,"[599, 218, 84, 109]",0.14,0.0,0.04,0.12,0.1,0.01,0.58
11,"[602, 219, 83, 109]",0.11,0.0,0.01,0.14,0.06,0.0,0.68
12,"[588, 215, 80, 110]",0.61,0.0,0.2,0.0,0.06,0.0,0.12
13,"[593, 216, 87, 110]",0.23,0.0,0.04,0.03,0.17,0.01,0.53
14,"[595, 206, 82, 107]",0.28,0.0,0.04,0.02,0.05,0.01,0.6
15,"[599, 214, 78, 106]",0.13,0.0,0.02,0.14,0.15,0.01,0.55
16,"[586, 230, 83, 105]",0.2,0.02,0.03,0.13,0.09,0.0,0.53
17,"[595, 217, 83, 107]",0.04,0.0,0.01,0.55,0.03,0.0,0.37
18,"[575, 223, 88, 109]",0.31,0.07,0.03,0.0,0.16,0.0,0.42
19,"[584, 226, 85, 110]",0.52,0.01,0.04,0.13,0.09,0.0,0.21
20,"[595, 223, 87, 113]",0.01,0.0,0.0,0.89,0.02,0.0,0.08
21,"[634, 210, 85, 110]",0.04,0.0,0.0,0.76,0.02,0.0,0.16
22,"[628, 224, 82, 107]",0.1,0.09,0.01,0.35,0.05,0.0,0.41
23,"[613, 226, 83, 106]",0.17,0.19,0.01,0.08,0.08,0.0,0.47
24,"[615, 221, 83, 109]",0.3,0.0,0.03,0.1,0.14,0.0,0.42
25,"[618, 229, 85, 111]",0.3,0.03,0.05,0.03,0.24,0.0,0.34
26,"[608, 220, 85, 108]",0.27,0.0,0.01,0.11,0.1,0.0,0.49
27,"[617, 223, 84, 106]",0.28,0.0,0.04,0.08,0.09,0.0,0.51
28,"[607, 219, 83, 108]",0.12,0.0,0.02,0.01,0.13,0.0,0.72
29,"[623, 223, 84, 108]",0.14,0.0,0.03,0.06,0.11,0.01,0.64
30,"[450, 154, 153, 205]",0.28,0.0,0.03,0.34,0.09,0.01,0.26
31,"[500, 136, 158, 199]",0.23,0.0,0.01,0.25,0.08,0.0,0.42
32,"[536, 123, 153, 205]",0.13,0.0,0.02,0.65,0.08,0.0,0.12
33,"[548, 122, 152, 195]",0.18,0.0,0.01,0.4,0.03,0.01,0.37
34,"[530, 147, 153, 202]",0.1,0.03,0.01,0.29,0.08,0.0,0.49
35,"[534, 146, 155, 199]",0.0,0.0,0.0,0.96,0.0,0.0,0.03
36,"[559, 132, 150, 197]",0.39,0.0,0.02,0.04,0.17,0.01,0.37
37,"[495, 133, 152, 206]",0.15,0.0,0.02,0.41,0.09,0.01,0.33
38,"[594, 132, 149, 202]",0.57,0.0,0.14,0.05,0.02,0.08,0.12
39,"[589, 139, 151, 193]",0.42,0.0,0.02,0.01,0.12,0.0,0.43
40,"[622, 222, 83, 109]",0.09,0.01,0.01,0.55,0.04,0.0,0.3
41,"[607, 218, 84, 109]",0.01,0.0,0.0,0.86,0.01,0.0,0.11
42,"[618, 219, 84, 109]",0.21,0.0,0.05,0.11,0.19,0.01,0.43
43,"[608, 213, 83, 106]",0.25,0.0,0.11,0.0,0.18,0.01,0.44
44,"[600, 218, 86, 113]",0.12,0.01,0.04,0.11,0.09,0.0,0.62
