,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[275, 46, 109, 125]",0.06,0.0,0.3,0.21,0.18,0.03,0.21
1,"[295, 71, 110, 139]",0.14,0.01,0.37,0.15,0.2,0.02,0.11
2,"[353, 107, 37, 44]",0.12,0.0,0.33,0.03,0.31,0.15,0.06
3,"[311, 68, 88, 115]",0.1,0.0,0.19,0.01,0.21,0.14,0.35
4,"[329, 65, 91, 112]",0.08,0.0,0.01,0.67,0.02,0.0,0.22
5,"[314, 70, 85, 105]",0.1,0.0,0.06,0.07,0.16,0.01,0.6
6,"[332, 57, 87, 108]",0.12,0.0,0.17,0.09,0.12,0.03,0.47
7,"[325, 51, 88, 109]",0.39,0.0,0.05,0.02,0.08,0.02,0.45
8,"[288, 68, 89, 110]",0.43,0.01,0.12,0.02,0.18,0.03,0.21
9,"[323, 81, 88, 116]",0.19,0.0,0.05,0.18,0.05,0.01,0.52
10,"[304, 64, 86, 106]",0.11,0.0,0.06,0.01,0.06,0.05,0.71
11,"[306, 70, 86, 106]",0.01,0.0,0.0,0.9,0.0,0.0,0.08
12,"[285, 69, 86, 103]",0.12,0.0,0.03,0.64,0.04,0.0,0.18
13,"[291, 66, 87, 109]",0.57,0.01,0.08,0.11,0.05,0.06,0.12
14,"[318, 53, 86, 111]",0.11,0.0,0.03,0.11,0.04,0.01,0.7
15,"[303, 59, 84, 102]",0.18,0.0,0.06,0.01,0.08,0.09,0.59
16,"[291, 52, 89, 108]",0.19,0.0,0.16,0.07,0.03,0.03,0.52
17,"[275, 54, 92, 112]",0.11,0.0,0.16,0.01,0.22,0.01,0.49
18,"[270, 72, 85, 103]",0.07,0.0,0.21,0.02,0.1,0.04,0.55
19,"[331, 69, 88, 109]",0.15,0.0,0.18,0.2,0.05,0.21,0.2
20,"[284, 68, 87, 110]",0.14,0.0,0.04,0.01,0.08,0.01,0.72
21,"[282, 73, 90, 112]",0.28,0.01,0.09,0.09,0.11,0.02,0.41
22,"[291, 80, 83, 101]",0.44,0.01,0.03,0.0,0.32,0.02,0.17
23,"[295, 67, 85, 110]",0.13,0.0,0.02,0.01,0.03,0.02,0.79
24,"[297, 66, 84, 104]",0.15,0.0,0.12,0.1,0.07,0.02,0.53
25,"[284, 64, 87, 116]",0.61,0.01,0.06,0.02,0.06,0.01,0.24
26,"[300, 57, 90, 109]",0.22,0.0,0.36,0.08,0.11,0.04,0.19
27,"[290, 58, 88, 109]",0.16,0.0,0.17,0.05,0.18,0.05,0.4
28,"[308, 55, 91, 110]",0.04,0.0,0.06,0.73,0.02,0.02,0.13
29,"[323, 68, 88, 112]",0.3,0.0,0.03,0.16,0.06,0.01,0.44
30,"[274, 67, 89, 108]",0.37,0.0,0.05,0.15,0.08,0.01,0.33
31,"[271, 56, 93, 118]",0.32,0.01,0.26,0.09,0.09,0.0,0.23
32,"[300, 54, 90, 109]",0.26,0.0,0.05,0.01,0.12,0.01,0.56
33,"[318, 64, 90, 110]",0.04,0.0,0.06,0.12,0.02,0.14,0.62
34,"[297, 64, 82, 104]",0.32,0.0,0.06,0.0,0.18,0.05,0.39
35,"[283, 63, 87, 107]",0.06,0.0,0.1,0.28,0.11,0.01,0.44
36,"[289, 65, 84, 108]",0.28,0.0,0.06,0.01,0.17,0.02,0.45
37,"[305, 63, 88, 110]",0.05,0.0,0.01,0.67,0.01,0.01,0.25
38,"[274, 52, 92, 113]",0.15,0.0,0.2,0.02,0.16,0.0,0.46
39,"[284, 57, 87, 110]",0.12,0.0,0.53,0.06,0.1,0.07,0.12
40,"[291, 62, 89, 110]",0.13,0.0,0.03,0.17,0.06,0.01,0.59
41,"[299, 62, 85, 107]",0.05,0.0,0.39,0.18,0.04,0.18,0.16
42,"[296, 66, 83, 106]",0.12,0.0,0.12,0.03,0.14,0.02,0.57
43,"[314, 66, 87, 107]",0.27,0.0,0.06,0.2,0.03,0.02,0.41
44,"[273, 69, 85, 106]",0.03,0.0,0.01,0.89,0.01,0.01,0.05
45,"[310, 48, 88, 109]",0.14,0.0,0.36,0.02,0.09,0.01,0.38
46,"[291, 61, 86, 109]",0.21,0.0,0.12,0.2,0.05,0.05,0.37
47,"[289, 57, 86, 110]",0.45,0.0,0.15,0.22,0.03,0.01,0.13
48,"[288, 58, 86, 111]",0.56,0.0,0.04,0.16,0.03,0.01,0.19
49,"[301, 59, 88, 106]",0.22,0.0,0.09,0.0,0.12,0.01,0.54
50,"[317, 65, 88, 109]",0.17,0.0,0.03,0.55,0.01,0.04,0.21
51,"[274, 60, 90, 112]",0.05,0.0,0.03,0.26,0.05,0.0,0.62
52,"[325, 66, 90, 113]",0.23,0.0,0.14,0.17,0.07,0.04,0.35
53,"[268, 49, 93, 115]",0.1,0.0,0.29,0.12,0.16,0.01,0.31
54,"[279, 71, 88, 111]",0.22,0.0,0.02,0.38,0.02,0.01,0.35
55,"[310, 31, 93, 111]",0.11,0.0,0.48,0.01,0.04,0.02,0.34
56,"[299, 26, 93, 116]",0.17,0.0,0.09,0.04,0.08,0.04,0.58
57,"[296, 51, 87, 108]",0.19,0.0,0.4,0.07,0.06,0.04,0.23
58,"[283, 64, 87, 108]",0.11,0.0,0.37,0.12,0.1,0.01,0.29
59,"[322, 70, 89, 112]",0.08,0.0,0.01,0.57,0.02,0.01,0.31
60,"[318, 72, 88, 108]",0.21,0.0,0.05,0.04,0.08,0.08,0.54
61,"[259, 64, 90, 113]",0.43,0.01,0.05,0.34,0.04,0.01,0.12
62,"[270, 56, 89, 114]",0.42,0.0,0.08,0.03,0.09,0.01,0.38
63,"[286, 63, 88, 109]",0.16,0.0,0.1,0.43,0.05,0.03,0.22
64,"[279, 58, 86, 110]",0.38,0.0,0.08,0.03,0.19,0.05,0.27
65,"[329, 73, 86, 108]",0.08,0.0,0.05,0.43,0.06,0.02,0.36
66,"[275, 53, 88, 108]",0.33,0.0,0.3,0.0,0.14,0.02,0.21
67,"[277, 58, 87, 109]",0.73,0.01,0.06,0.0,0.12,0.01,0.07
68,"[284, 60, 84, 106]",0.39,0.0,0.25,0.03,0.08,0.02,0.23
69,"[289, 67, 84, 104]",0.21,0.0,0.2,0.01,0.1,0.23,0.24
70,"[271, 66, 86, 108]",0.2,0.01,0.1,0.37,0.03,0.06,0.23
71,"[284, 58, 91, 113]",0.2,0.0,0.3,0.01,0.03,0.25,0.22
72,"[266, 66, 84, 105]",0.28,0.0,0.09,0.0,0.11,0.02,0.51
73,"[258, 65, 86, 107]",0.28,0.0,0.13,0.05,0.12,0.02,0.4
74,"[258, 68, 85, 105]",0.09,0.0,0.04,0.49,0.07,0.01,0.3
75,"[272, 64, 86, 105]",0.3,0.0,0.11,0.0,0.19,0.06,0.33
76,"[282, 49, 90, 109]",0.21,0.0,0.25,0.02,0.1,0.04,0.39
77,"[306, 64, 86, 105]",0.28,0.0,0.03,0.17,0.05,0.01,0.45
78,"[277, 67, 86, 108]",0.41,0.0,0.11,0.06,0.08,0.03,0.3
79,"[287, 25, 87, 103]",0.13,0.0,0.1,0.01,0.08,0.11,0.57
80,"[282, 49, 88, 108]",0.04,0.0,0.13,0.18,0.08,0.09,0.48
81,"[291, 73, 87, 107]",0.25,0.0,0.03,0.08,0.06,0.03,0.54
82,"[274, 66, 87, 111]",0.19,0.0,0.1,0.04,0.19,0.01,0.46
83,"[276, 62, 88, 108]",0.06,0.0,0.12,0.55,0.04,0.0,0.23
84,"[276, 47, 92, 116]",0.14,0.0,0.09,0.08,0.12,0.06,0.5
85,"[260, 62, 84, 103]",0.21,0.0,0.07,0.02,0.14,0.01,0.55
86,"[252, 75, 89, 111]",0.04,0.0,0.02,0.2,0.05,0.0,0.69
87,"[293, 43, 92, 110]",0.06,0.0,0.07,0.37,0.03,0.02,0.47
88,"[270, 66, 86, 106]",0.21,0.0,0.3,0.06,0.11,0.03,0.28
89,"[258, 68, 86, 109]",0.24,0.0,0.13,0.04,0.12,0.03,0.43
90,"[305, 63, 87, 110]",0.21,0.0,0.24,0.18,0.12,0.07,0.18
91,"[320, 59, 90, 108]",0.7,0.0,0.02,0.0,0.13,0.01,0.13
92,"[318, 72, 86, 109]",0.74,0.0,0.02,0.02,0.11,0.01,0.09
93,"[286, 43, 89, 111]",0.52,0.0,0.08,0.01,0.11,0.01,0.28
94,"[262, 78, 87, 107]",0.31,0.0,0.09,0.04,0.18,0.01,0.37
95,"[267, 75, 86, 106]",0.34,0.02,0.08,0.22,0.09,0.01,0.24
96,"[289, 85, 86, 108]",0.16,0.0,0.04,0.23,0.12,0.01,0.44
97,"[325, 76, 89, 114]",0.58,0.0,0.02,0.21,0.04,0.01,0.13
98,"[270, 62, 89, 110]",0.38,0.0,0.07,0.01,0.07,0.02,0.44
99,"[268, 68, 87, 109]",0.17,0.0,0.17,0.06,0.24,0.01,0.34
100,"[271, 74, 85, 105]",0.26,0.02,0.16,0.11,0.13,0.02,0.3
101,"[315, 64, 89, 111]",0.46,0.0,0.11,0.08,0.06,0.04,0.24
102,"[320, 66, 89, 114]",0.57,0.0,0.05,0.17,0.03,0.01,0.16
103,"[266, 72, 88, 108]",0.43,0.01,0.04,0.11,0.06,0.0,0.35
104,"[273, 76, 85, 109]",0.42,0.01,0.11,0.11,0.1,0.01,0.24
105,"[303, 59, 91, 117]",0.07,0.0,0.0,0.7,0.0,0.0,0.22
106,"[317, 76, 86, 111]",0.31,0.0,0.02,0.1,0.03,0.13,0.4
107,"[269, 78, 85, 107]",0.31,0.02,0.05,0.25,0.12,0.0,0.26
108,"[304, 67, 88, 108]",0.18,0.0,0.04,0.13,0.06,0.04,0.56
109,"[282, 78, 86, 109]",0.65,0.0,0.07,0.05,0.05,0.02,0.15
110,"[302, 67, 86, 107]",0.39,0.0,0.03,0.02,0.11,0.01,0.44
111,"[310, 89, 87, 106]",0.16,0.0,0.02,0.37,0.05,0.02,0.37
112,"[309, 86, 86, 109]",0.05,0.0,0.01,0.55,0.02,0.01,0.37
113,"[247, 77, 50, 61]",0.04,0.0,0.33,0.01,0.02,0.21,0.38
114,"[302, 54, 89, 111]",0.45,0.0,0.14,0.01,0.1,0.06,0.24
115,"[301, 81, 88, 115]",0.49,0.0,0.03,0.03,0.1,0.05,0.29
116,"[294, 86, 86, 109]",0.13,0.0,0.04,0.09,0.08,0.01,0.64
117,"[317, 95, 87, 107]",0.13,0.0,0.01,0.56,0.01,0.04,0.24
118,"[255, 78, 87, 108]",0.21,0.01,0.1,0.38,0.07,0.02,0.2
119,"[289, 67, 87, 108]",0.51,0.0,0.15,0.01,0.09,0.01,0.23
120,"[321, 72, 87, 109]",0.49,0.01,0.1,0.04,0.07,0.07,0.23
121,"[320, 70, 88, 110]",0.26,0.0,0.06,0.16,0.05,0.06,0.42
122,"[266, 76, 88, 109]",0.41,0.0,0.07,0.08,0.07,0.01,0.36
123,"[317, 93, 89, 109]",0.16,0.0,0.01,0.39,0.02,0.01,0.41
124,"[293, 87, 92, 114]",0.01,0.0,0.02,0.73,0.01,0.04,0.18
125,"[284, 88, 87, 110]",0.3,0.0,0.06,0.03,0.18,0.02,0.4
126,"[298, 75, 85, 106]",0.19,0.0,0.07,0.06,0.06,0.05,0.58
127,"[283, 88, 90, 111]",0.09,0.0,0.02,0.25,0.06,0.0,0.57
128,"[269, 81, 86, 106]",0.22,0.0,0.31,0.02,0.1,0.02,0.33
129,"[321, 75, 87, 110]",0.33,0.0,0.1,0.19,0.07,0.03,0.27
130,"[325, 77, 89, 114]",0.07,0.0,0.03,0.23,0.03,0.01,0.63
131,"[301, 75, 84, 106]",0.54,0.0,0.06,0.0,0.11,0.05,0.24
132,"[261, 80, 88, 111]",0.23,0.0,0.29,0.13,0.12,0.0,0.22
133,"[309, 72, 89, 111]",0.16,0.0,0.04,0.15,0.01,0.03,0.6
134,"[308, 75, 90, 110]",0.35,0.0,0.03,0.37,0.01,0.04,0.19
135,"[316, 86, 87, 108]",0.42,0.0,0.03,0.05,0.13,0.05,0.31
136,"[277, 82, 86, 107]",0.34,0.0,0.04,0.46,0.05,0.0,0.1
137,"[317, 61, 88, 108]",0.48,0.0,0.15,0.03,0.05,0.06,0.24
138,"[305, 69, 90, 112]",0.09,0.0,0.19,0.16,0.03,0.05,0.48
139,"[275, 74, 91, 111]",0.08,0.0,0.04,0.01,0.12,0.01,0.74
140,"[282, 74, 90, 105]",0.04,0.0,0.02,0.23,0.07,0.0,0.64
141,"[303, 67, 89, 108]",0.33,0.0,0.21,0.03,0.11,0.08,0.24
142,"[307, 66, 89, 115]",0.31,0.0,0.03,0.23,0.05,0.03,0.34
143,"[322, 80, 88, 113]",0.14,0.0,0.01,0.29,0.02,0.02,0.52
144,"[270, 75, 88, 108]",0.18,0.0,0.05,0.28,0.04,0.02,0.42
145,"[309, 89, 86, 110]",0.22,0.0,0.04,0.06,0.05,0.01,0.61
146,"[323, 66, 91, 113]",0.2,0.0,0.05,0.25,0.1,0.01,0.38
147,"[298, 73, 89, 112]",0.06,0.0,0.08,0.13,0.02,0.04,0.68
148,"[317, 73, 90, 111]",0.07,0.0,0.1,0.39,0.01,0.06,0.37
149,"[319, 70, 91, 114]",0.1,0.0,0.03,0.57,0.01,0.06,0.23
150,"[289, 93, 91, 116]",0.06,0.0,0.04,0.47,0.04,0.04,0.34
