,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[543, 122, 242, 326]",0.03,0.0,0.02,0.07,0.11,0.0,0.76,,,,,,,,
1,"[529, 120, 249, 332]",0.05,0.0,0.01,0.25,0.02,0.02,0.63,"[1116, 386, 98, 107]",0.06,0.12,0.07,0.02,0.28,0.01,0.44
2,"[509, 116, 242, 327]",0.12,0.0,0.03,0.26,0.06,0.04,0.49,,,,,,,,
3,"[505, 111, 243, 325]",0.1,0.0,0.02,0.18,0.12,0.02,0.56,,,,,,,,
4,"[498, 115, 243, 321]",0.01,0.0,0.0,0.74,0.01,0.02,0.22,,,,,,,,
5,"[489, 117, 246, 322]",0.01,0.0,0.01,0.08,0.02,0.0,0.88,,,,,,,,
6,"[498, 113, 251, 338]",0.1,0.0,0.02,0.1,0.05,0.03,0.71,,,,,,,,
7,"[497, 129, 244, 314]",0.06,0.0,0.02,0.04,0.09,0.0,0.79,,,,,,,,
8,"[488, 127, 252, 328]",0.03,0.0,0.01,0.01,0.07,0.0,0.87,,,,,,,,
9,"[501, 127, 246, 324]",0.05,0.0,0.02,0.03,0.12,0.0,0.77,,,,,,,,
10,"[491, 137, 247, 324]",0.06,0.0,0.03,0.05,0.15,0.0,0.7,,,,,,,,
11,"[496, 127, 247, 330]",0.06,0.0,0.02,0.07,0.14,0.01,0.71,,,,,,,,
12,"[508, 126, 246, 328]",0.09,0.0,0.05,0.09,0.12,0.02,0.62,,,,,,,,
13,"[501, 122, 244, 328]",0.03,0.0,0.01,0.47,0.02,0.02,0.44,,,,,,,,
14,"[496, 121, 248, 327]",0.04,0.0,0.02,0.03,0.07,0.01,0.83,,,,,,,,
15,"[490, 132, 249, 328]",0.09,0.0,0.02,0.01,0.1,0.01,0.76,,,,,,,,
16,"[502, 156, 245, 305]",0.07,0.0,0.01,0.02,0.08,0.0,0.82,,,,,,,,
17,"[448, 93, 324, 430]",0.07,0.0,0.02,0.26,0.14,0.03,0.48,,,,,,,,
18,"[451, 88, 326, 427]",0.07,0.0,0.08,0.05,0.25,0.0,0.54,,,,,,,,
19,"[453, 104, 327, 424]",0.03,0.0,0.03,0.04,0.08,0.01,0.82,,,,,,,,
20,"[452, 111, 316, 412]",0.19,0.0,0.12,0.06,0.13,0.04,0.46,,,,,,,,
21,"[454, 110, 327, 431]",0.03,0.0,0.03,0.02,0.08,0.02,0.82,,,,,,,,
22,"[445, 108, 331, 440]",0.03,0.0,0.0,0.01,0.02,0.0,0.93,,,,,,,,
23,"[459, 91, 324, 425]",0.14,0.0,0.03,0.02,0.12,0.0,0.69,,,,,,,,
24,"[450, 96, 324, 420]",0.11,0.0,0.03,0.01,0.36,0.0,0.49,,,,,,,,
25,"[449, 109, 321, 415]",0.07,0.0,0.02,0.03,0.15,0.01,0.72,,,,,,,,
26,"[443, 87, 325, 435]",0.1,0.0,0.1,0.13,0.2,0.05,0.42,,,,,,,,
27,"[448, 101, 330, 432]",0.06,0.0,0.03,0.04,0.11,0.02,0.75,,,,,,,,
