,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17,box18,angry18,disgust18,fear18,happy18,sad18,surprise18,neutral18,box19,angry19,disgust19,fear19,happy19,sad19,surprise19,neutral19,box20,angry20,disgust20,fear20,happy20,sad20,surprise20,neutral20,box21,angry21,disgust21,fear21,happy21,sad21,surprise21,neutral21,box22,angry22,disgust22,fear22,happy22,sad22,surprise22,neutral22,box23,angry23,disgust23,fear23,happy23,sad23,surprise23,neutral23,box24,angry24,disgust24,fear24,happy24,sad24,surprise24,neutral24
10,"[572, 92, 122, 161]",0.48,0.0,0.08,0.04,0.23,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[580, 86, 118, 165]",0.6,0.0,0.05,0.01,0.18,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[576, 92, 117, 158]",0.55,0.0,0.06,0.0,0.13,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[575, 89, 118, 160]",0.56,0.0,0.02,0.02,0.3,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[558, 92, 122, 168]",0.38,0.0,0.03,0.09,0.16,0.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[1041, 213, 113, 130]",0.09,0.0,0.16,0.06,0.3,0.0,0.38,"[587, 206, 89, 111]",0.25,0.0,0.04,0.0,0.19,0.01,0.5,"[52, 168, 71, 82]",0.62,0.0,0.21,0.0,0.06,0.0,0.1,"[366, 184, 95, 123]",0.14,0.0,0.02,0.03,0.67,0.0,0.14,"[13, 228, 101, 121]",0.07,0.0,0.06,0.01,0.25,0.0,0.61,"[770, 164, 89, 110]",0.04,0.0,0.05,0.11,0.24,0.0,0.56,"[945, 124, 75, 93]",0.45,0.0,0.07,0.0,0.15,0.06,0.27,"[1145, 115, 65, 87]",0.17,0.0,0.15,0.2,0.03,0.19,0.27,"[140, 111, 50, 64]",0.43,0.0,0.05,0.44,0.04,0.04,0.0,"[1070, 87, 59, 79]",0.03,0.0,0.04,0.61,0.17,0.03,0.13,"[1013, 83, 75, 87]",0.17,0.0,0.04,0.11,0.28,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[583, 217, 83, 107]",0.39,0.0,0.07,0.0,0.15,0.08,0.3,"[1097, 145, 60, 74]",0.1,0.0,0.19,0.3,0.13,0.03,0.25,"[105, 184, 67, 79]",0.31,0.0,0.28,0.0,0.2,0.01,0.2,"[1002, 151, 63, 74]",0.72,0.0,0.03,0.03,0.22,0.0,0.0,"[385, 206, 79, 102]",0.31,0.0,0.01,0.03,0.33,0.0,0.31,"[70, 241, 91, 111]",0.07,0.0,0.07,0.01,0.33,0.0,0.53,"[760, 178, 77, 101]",0.03,0.0,0.0,0.03,0.06,0.0,0.88,"[1002, 222, 106, 124]",0.09,0.0,0.09,0.04,0.52,0.01,0.25,"[917, 146, 68, 86]",0.53,0.0,0.05,0.0,0.11,0.06,0.24,"[185, 131, 50, 66]",0.57,0.0,0.09,0.22,0.09,0.02,0.01,"[795, 0, 39, 44]",0.06,0.0,0.1,0.08,0.65,0.0,0.11,"[1216, 118, 54, 64]",0.41,0.0,0.12,0.17,0.14,0.02,0.12,"[1060, 364, 101, 142]",0.14,0.06,0.19,0.1,0.23,0.04,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[590, 222, 75, 93]",0.52,0.0,0.01,0.0,0.14,0.01,0.32,"[1207, 173, 62, 78]",0.17,0.0,0.07,0.06,0.17,0.01,0.52,"[877, 154, 65, 78]",0.27,0.0,0.04,0.01,0.13,0.02,0.53,"[800, 20, 34, 42]",0.06,0.0,0.14,0.21,0.43,0.01,0.15,"[37, 126, 43, 54]",0.2,0.0,0.21,0.05,0.39,0.03,0.13,"[969, 226, 93, 111]",0.18,0.0,0.07,0.01,0.55,0.0,0.19,"[159, 190, 62, 71]",0.09,0.0,0.24,0.01,0.52,0.0,0.13,"[128, 242, 81, 99]",0.06,0.0,0.05,0.0,0.28,0.0,0.61,"[405, 209, 77, 97]",0.22,0.0,0.01,0.08,0.38,0.0,0.32,"[750, 183, 75, 94]",0.05,0.0,0.0,0.06,0.07,0.0,0.8,"[1057, 149, 53, 74]",0.42,0.0,0.11,0.07,0.09,0.03,0.28,"[230, 140, 45, 61]",0.52,0.0,0.08,0.14,0.21,0.01,0.04,"[476, 156, 42, 49]",0.45,0.0,0.14,0.16,0.21,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[588, 220, 68, 83]",0.49,0.0,0.02,0.0,0.1,0.05,0.34,"[1147, 175, 55, 71]",0.04,0.0,0.04,0.01,0.09,0.0,0.82,"[959, 222, 79, 103]",0.12,0.0,0.07,0.02,0.1,0.01,0.69,"[430, 208, 63, 83]",0.17,0.0,0.01,0.1,0.25,0.0,0.47,"[176, 235, 72, 90]",0.13,0.0,0.07,0.01,0.22,0.0,0.58,"[730, 198, 67, 80]",0.03,0.0,0.0,0.04,0.2,0.0,0.72,"[433, 319, 140, 168]",0.11,0.01,0.09,0.34,0.23,0.0,0.22,"[870, 158, 55, 69]",0.31,0.0,0.03,0.01,0.24,0.05,0.35,"[777, 38, 28, 38]",0.03,0.0,0.1,0.13,0.38,0.01,0.34,"[209, 189, 54, 65]",0.13,0.0,0.34,0.01,0.3,0.03,0.19,"[1133, 382, 135, 182]",0.23,0.0,0.03,0.37,0.27,0.0,0.1,"[270, 145, 42, 53]",0.39,0.0,0.06,0.32,0.2,0.01,0.02,"[1053, 219, 65, 83]",0.19,0.0,0.08,0.01,0.23,0.15,0.35,"[999, 29, 31, 44]",0.18,0.0,0.25,0.08,0.43,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[590, 224, 61, 76]",0.15,0.0,0.05,0.02,0.09,0.04,0.64,"[1094, 187, 49, 63]",0.05,0.0,0.15,0.06,0.08,0.01,0.64,"[444, 208, 56, 73]",0.42,0.0,0.02,0.03,0.27,0.0,0.25,"[255, 201, 46, 56]",0.13,0.0,0.47,0.01,0.23,0.02,0.15,"[222, 241, 66, 82]",0.19,0.0,0.09,0.02,0.17,0.01,0.52,"[728, 199, 58, 75]",0.03,0.0,0.0,0.03,0.07,0.0,0.87,"[1086, 375, 127, 164]",0.16,0.0,0.04,0.18,0.52,0.0,0.1,"[845, 174, 50, 64]",0.36,0.0,0.02,0.06,0.12,0.03,0.42,"[768, 64, 27, 34]",0.06,0.0,0.11,0.26,0.36,0.02,0.19,"[1192, 205, 72, 91]",0.2,0.0,0.14,0.2,0.13,0.0,0.33,"[904, 234, 76, 92]",0.06,0.0,0.05,0.01,0.45,0.0,0.43,"[171, 164, 37, 49]",0.24,0.0,0.14,0.12,0.35,0.03,0.12,"[457, 326, 147, 173]",0.12,0.04,0.12,0.06,0.33,0.02,0.31,"[309, 161, 34, 47]",0.39,0.0,0.11,0.28,0.14,0.02,0.06,"[1016, 224, 62, 74]",0.12,0.0,0.22,0.02,0.34,0.02,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
