,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[694, 101, 102, 135]",0.35,0.0,0.04,0.06,0.04,0.01,0.51,,,,,,,,
1,"[717, 112, 103, 131]",0.12,0.0,0.06,0.0,0.3,0.0,0.52,,,,,,,,
2,"[693, 105, 107, 135]",0.33,0.0,0.05,0.05,0.19,0.01,0.37,,,,,,,,
3,"[698, 104, 105, 134]",0.07,0.0,0.04,0.01,0.25,0.0,0.64,,,,,,,,
4,"[676, 106, 110, 135]",0.36,0.0,0.01,0.03,0.14,0.01,0.44,,,,,,,,
5,"[701, 90, 111, 142]",0.18,0.0,0.03,0.04,0.02,0.0,0.72,,,,,,,,
6,"[713, 105, 102, 132]",0.15,0.0,0.15,0.02,0.15,0.01,0.52,,,,,,,,
7,"[695, 106, 107, 139]",0.1,0.0,0.1,0.01,0.28,0.01,0.51,,,,,,,,
8,"[703, 115, 105, 138]",0.05,0.0,0.1,0.02,0.21,0.0,0.62,,,,,,,,
9,"[702, 109, 105, 133]",0.09,0.0,0.06,0.0,0.31,0.0,0.54,"[1007, 551, 28, 34]",0.24,0.0,0.07,0.26,0.39,0.0,0.03
10,"[707, 93, 108, 143]",0.18,0.0,0.03,0.03,0.07,0.01,0.67,,,,,,,,
11,"[697, 104, 105, 134]",0.06,0.0,0.03,0.01,0.27,0.0,0.62,,,,,,,,
12,"[711, 109, 106, 137]",0.11,0.0,0.11,0.01,0.3,0.0,0.47,,,,,,,,
13,"[723, 87, 107, 143]",0.44,0.0,0.08,0.0,0.18,0.0,0.29,,,,,,,,
14,"[677, 110, 105, 136]",0.24,0.0,0.07,0.01,0.37,0.0,0.3,,,,,,,,
15,"[697, 115, 106, 136]",0.12,0.0,0.1,0.02,0.34,0.01,0.41,,,,,,,,
16,"[694, 99, 106, 135]",0.25,0.0,0.02,0.01,0.09,0.0,0.63,,,,,,,,
17,"[698, 124, 102, 127]",0.17,0.0,0.09,0.06,0.31,0.0,0.36,,,,,,,,
18,"[703, 102, 106, 139]",0.21,0.0,0.01,0.24,0.02,0.02,0.49,"[537, 440, 73, 85]",0.19,0.0,0.16,0.09,0.32,0.06,0.19
19,"[685, 100, 106, 131]",0.18,0.0,0.05,0.02,0.14,0.04,0.57,,,,,,,,
20,"[710, 99, 98, 131]",0.52,0.0,0.03,0.05,0.04,0.03,0.32,,,,,,,,
21,"[683, 101, 108, 137]",0.4,0.0,0.02,0.1,0.1,0.03,0.35,,,,,,,,
22,"[698, 106, 106, 138]",0.25,0.0,0.02,0.07,0.06,0.0,0.6,,,,,,,,
23,"[722, 117, 99, 127]",0.04,0.0,0.03,0.45,0.12,0.02,0.34,,,,,,,,
24,"[707, 111, 104, 135]",0.02,0.0,0.03,0.18,0.08,0.01,0.67,,,,,,,,
25,"[707, 119, 100, 127]",0.1,0.0,0.06,0.02,0.23,0.0,0.6,,,,,,,,
26,"[688, 92, 106, 133]",0.15,0.0,0.02,0.01,0.23,0.01,0.58,,,,,,,,
27,"[694, 108, 106, 137]",0.18,0.0,0.02,0.03,0.1,0.0,0.66,,,,,,,,
28,"[703, 96, 103, 142]",0.43,0.0,0.01,0.06,0.02,0.01,0.47,,,,,,,,
29,"[698, 100, 106, 136]",0.16,0.0,0.06,0.0,0.23,0.0,0.53,,,,,,,,
30,"[692, 91, 109, 140]",0.08,0.0,0.02,0.12,0.03,0.03,0.73,,,,,,,,
31,"[722, 116, 107, 136]",0.11,0.01,0.05,0.07,0.46,0.02,0.28,,,,,,,,
32,"[710, 100, 107, 143]",0.5,0.0,0.02,0.01,0.03,0.01,0.43,,,,,,,,
