,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[208, 57, 116, 150]",0.03,0.0,0.02,0.01,0.13,0.0,0.81,,,,,,,,
1,"[214, 56, 114, 151]",0.02,0.0,0.04,0.04,0.05,0.0,0.85,,,,,,,,
2,"[215, 58, 113, 141]",0.1,0.0,0.02,0.02,0.16,0.0,0.7,,,,,,,,
3,"[215, 58, 117, 146]",0.14,0.0,0.03,0.02,0.13,0.0,0.68,,,,,,,,
4,"[215, 53, 117, 148]",0.06,0.0,0.01,0.09,0.05,0.0,0.79,,,,,,,,
5,"[218, 59, 116, 154]",0.01,0.0,0.01,0.02,0.04,0.0,0.92,,,,,,,,
6,"[217, 54, 114, 150]",0.15,0.0,0.01,0.03,0.18,0.0,0.63,,,,,,,,
7,"[215, 59, 118, 156]",0.01,0.0,0.01,0.14,0.02,0.0,0.82,,,,,,,,
8,"[217, 58, 113, 149]",0.06,0.0,0.01,0.0,0.1,0.0,0.82,,,,,,,,
9,"[218, 62, 116, 152]",0.04,0.0,0.06,0.02,0.3,0.0,0.59,,,,,,,,
10,"[219, 61, 117, 155]",0.02,0.0,0.02,0.03,0.04,0.0,0.9,,,,,,,,
11,"[220, 58, 114, 152]",0.02,0.0,0.0,0.0,0.03,0.0,0.94,,,,,,,,
12,"[222, 59, 114, 151]",0.07,0.0,0.01,0.0,0.02,0.0,0.9,,,,,,,,
13,"[217, 61, 118, 156]",0.02,0.0,0.0,0.01,0.03,0.0,0.94,,,,,,,,
14,"[217, 62, 117, 157]",0.01,0.0,0.01,0.04,0.03,0.0,0.91,,,,,,,,
15,"[221, 59, 118, 156]",0.15,0.0,0.01,0.01,0.1,0.0,0.73,,,,,,,,
16,"[220, 65, 119, 162]",0.02,0.0,0.02,0.02,0.09,0.0,0.85,,,,,,,,
17,"[219, 60, 115, 148]",0.06,0.0,0.0,0.01,0.06,0.0,0.87,,,,,,,,
18,"[215, 65, 118, 155]",0.02,0.0,0.02,0.01,0.07,0.0,0.89,,,,,,,,
19,"[218, 61, 112, 153]",0.15,0.0,0.02,0.03,0.13,0.0,0.67,,,,,,,,
20,"[217, 62, 115, 152]",0.08,0.0,0.01,0.01,0.07,0.0,0.82,,,,,,,,
21,"[212, 58, 115, 155]",0.05,0.0,0.01,0.0,0.13,0.0,0.81,,,,,,,,
22,"[211, 52, 114, 151]",0.08,0.0,0.02,0.01,0.05,0.0,0.82,,,,,,,,
23,"[215, 59, 118, 152]",0.05,0.0,0.0,0.01,0.06,0.0,0.88,,,,,,,,
24,"[216, 59, 114, 151]",0.08,0.0,0.01,0.06,0.17,0.0,0.67,,,,,,,,
25,"[216, 60, 115, 149]",0.09,0.0,0.01,0.03,0.24,0.0,0.63,,,,,,,,
26,"[218, 60, 112, 150]",0.07,0.0,0.01,0.02,0.12,0.0,0.78,,,,,,,,
27,"[217, 60, 114, 148]",0.07,0.0,0.01,0.02,0.09,0.0,0.81,,,,,,,,
28,"[215, 59, 117, 150]",0.12,0.0,0.04,0.0,0.22,0.0,0.62,,,,,,,,
29,"[217, 60, 116, 153]",0.07,0.0,0.02,0.0,0.07,0.0,0.85,,,,,,,,
30,"[221, 63, 113, 153]",0.03,0.0,0.01,0.0,0.1,0.0,0.85,,,,,,,,
31,"[218, 63, 115, 152]",0.08,0.0,0.04,0.0,0.25,0.0,0.63,,,,,,,,
32,"[220, 60, 115, 152]",0.05,0.0,0.01,0.01,0.08,0.0,0.85,,,,,,,,
33,"[218, 58, 113, 150]",0.1,0.0,0.01,0.01,0.08,0.0,0.8,,,,,,,,
34,"[218, 60, 113, 152]",0.07,0.0,0.02,0.01,0.1,0.0,0.8,,,,,,,,
