,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[499, 169, 135, 166]",0.11,0.0,0.01,0.0,0.8,0.0,0.07,"[1120, 76, 29, 34]",0.11,0.0,0.09,0.13,0.55,0.0,0.12,,,,,,,,
1,"[565, 99, 141, 175]",0.19,0.0,0.26,0.0,0.53,0.01,0.02,,,,,,,,,,,,,,,,
2,"[537, 156, 136, 168]",0.16,0.0,0.04,0.0,0.63,0.0,0.16,,,,,,,,,,,,,,,,
3,"[524, 123, 145, 178]",0.43,0.0,0.02,0.0,0.13,0.01,0.41,,,,,,,,,,,,,,,,
4,"[504, 97, 143, 171]",0.28,0.0,0.31,0.0,0.1,0.01,0.3,,,,,,,,,,,,,,,,
5,"[535, 154, 141, 176]",0.06,0.0,0.09,0.0,0.23,0.03,0.6,,,,,,,,,,,,,,,,
6,"[583, 119, 135, 178]",0.52,0.0,0.08,0.0,0.19,0.0,0.2,,,,,,,,,,,,,,,,
7,"[523, 156, 139, 175]",0.09,0.0,0.03,0.0,0.84,0.0,0.03,,,,,,,,,,,,,,,,
8,"[572, 102, 142, 173]",0.83,0.0,0.06,0.0,0.1,0.0,0.01,,,,,,,,,,,,,,,,
9,"[496, 84, 147, 176]",0.48,0.0,0.07,0.0,0.33,0.02,0.1,,,,,,,,,,,,,,,,
10,"[485, 90, 140, 189]",0.53,0.0,0.16,0.0,0.16,0.03,0.13,,,,,,,,,,,,,,,,
11,"[566, 137, 141, 171]",0.49,0.01,0.05,0.0,0.39,0.0,0.06,,,,,,,,,,,,,,,,
12,"[540, 89, 156, 188]",0.41,0.0,0.31,0.0,0.17,0.05,0.06,,,,,,,,,,,,,,,,
13,"[483, 119, 145, 177]",0.08,0.0,0.01,0.0,0.07,0.0,0.84,,,,,,,,,,,,,,,,
14,"[469, 137, 139, 169]",0.5,0.0,0.14,0.0,0.2,0.0,0.15,,,,,,,,,,,,,,,,
