,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
25,"[593, 112, 120, 152]",0.26,0.0,0.24,0.18,0.04,0.1,0.19,"[1084, 94, 52, 67]",0.14,0.0,0.06,0.26,0.43,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[595, 117, 120, 148]",0.16,0.0,0.23,0.11,0.13,0.1,0.28,"[1084, 94, 52, 67]",0.13,0.0,0.06,0.27,0.42,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[590, 117, 119, 148]",0.6,0.0,0.13,0.16,0.04,0.03,0.03,"[1084, 94, 52, 67]",0.13,0.0,0.06,0.27,0.43,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[581, 114, 121, 154]",0.16,0.0,0.16,0.45,0.12,0.03,0.09,"[1083, 96, 54, 66]",0.16,0.0,0.11,0.34,0.28,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[572, 111, 127, 161]",0.21,0.0,0.34,0.24,0.08,0.05,0.09,"[1083, 96, 54, 66]",0.16,0.0,0.11,0.34,0.28,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[574, 118, 121, 157]",0.21,0.0,0.2,0.33,0.08,0.02,0.17,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.55,0.17,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[576, 125, 118, 151]",0.24,0.0,0.41,0.22,0.06,0.04,0.03,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.57,0.16,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[577, 123, 119, 152]",0.41,0.0,0.25,0.16,0.06,0.04,0.07,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.57,0.16,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[577, 121, 124, 152]",0.17,0.0,0.12,0.54,0.04,0.1,0.02,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.58,0.15,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[587, 123, 118, 149]",0.17,0.0,0.26,0.19,0.16,0.2,0.01,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.59,0.14,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
