,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[73, 228, 21, 27]",0.05,0.0,0.01,0.38,0.44,0.0,0.11,"[189, 73, 11, 14]",0.07,0.0,0.09,0.04,0.73,0.01,0.06,,,,,,,,,,,,,,,,
1,"[73, 229, 21, 26]",0.07,0.0,0.02,0.2,0.64,0.0,0.07,"[184, 72, 11, 15]",0.13,0.0,0.14,0.27,0.3,0.03,0.12,,,,,,,,,,,,,,,,
2,"[73, 226, 21, 26]",0.11,0.0,0.04,0.18,0.41,0.0,0.26,"[180, 72, 11, 15]",0.13,0.0,0.12,0.21,0.45,0.0,0.07,"[7, 11, 35, 45]",0.08,0.0,0.09,0.03,0.57,0.03,0.2,,,,,,,,
3,"[76, 227, 20, 26]",0.1,0.0,0.04,0.02,0.67,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,
4,"[304, 52, 67, 92]",0.31,0.0,0.17,0.06,0.04,0.06,0.35,"[75, 227, 22, 27]",0.04,0.0,0.01,0.31,0.49,0.0,0.15,,,,,,,,,,,,,,,,
5,"[292, 56, 54, 76]",0.2,0.0,0.04,0.06,0.08,0.01,0.62,"[75, 227, 21, 26]",0.03,0.0,0.02,0.41,0.32,0.0,0.22,,,,,,,,,,,,,,,,
6,"[297, 47, 53, 74]",0.18,0.0,0.04,0.01,0.08,0.01,0.68,"[79, 227, 21, 26]",0.18,0.0,0.02,0.07,0.65,0.0,0.08,,,,,,,,,,,,,,,,
7,"[294, 51, 52, 76]",0.28,0.0,0.2,0.2,0.13,0.01,0.18,"[74, 227, 20, 24]",0.22,0.0,0.02,0.12,0.38,0.0,0.26,,,,,,,,,,,,,,,,
8,"[281, 48, 56, 74]",0.03,0.0,0.02,0.03,0.02,0.03,0.87,"[66, 228, 21, 27]",0.11,0.0,0.16,0.18,0.44,0.01,0.1,,,,,,,,,,,,,,,,
9,"[305, 50, 54, 75]",0.2,0.0,0.05,0.01,0.07,0.02,0.66,"[74, 226, 22, 26]",0.01,0.0,0.02,0.77,0.11,0.0,0.08,,,,,,,,,,,,,,,,
10,"[315, 48, 52, 75]",0.1,0.0,0.06,0.17,0.06,0.06,0.55,"[77, 227, 21, 25]",0.02,0.0,0.01,0.62,0.28,0.0,0.07,"[158, 161, 53, 77]",0.29,0.0,0.25,0.21,0.21,0.0,0.04,,,,,,,,
