,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[1072, 185, 92, 112]",0.05,0.0,0.02,0.0,0.12,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,
1,"[547, 117, 104, 130]",0.0,0.0,0.0,0.97,0.0,0.01,0.01,"[943, 676, 33, 44]",0.22,0.01,0.12,0.02,0.49,0.01,0.14,,,,,,,,,,,,,,,,
2,"[1072, 186, 93, 115]",0.02,0.0,0.01,0.0,0.16,0.0,0.82,"[549, 128, 102, 135]",0.02,0.0,0.01,0.81,0.01,0.01,0.13,,,,,,,,,,,,,,,,
3,"[1072, 185, 95, 112]",0.04,0.0,0.02,0.0,0.11,0.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,
4,"[1073, 185, 94, 115]",0.03,0.0,0.01,0.0,0.12,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,
5,"[1075, 187, 95, 114]",0.03,0.0,0.01,0.0,0.15,0.0,0.82,"[552, 125, 102, 133]",0.01,0.0,0.0,0.97,0.0,0.0,0.02,,,,,,,,,,,,,,,,
6,"[1075, 187, 94, 114]",0.02,0.0,0.01,0.0,0.11,0.0,0.86,"[540, 116, 105, 139]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,,,,,,,,,,,,,,,,
7,"[1072, 185, 96, 116]",0.02,0.0,0.01,0.0,0.17,0.0,0.8,"[601, 281, 31, 36]",0.18,0.0,0.55,0.11,0.1,0.02,0.05,,,,,,,,,,,,,,,,
8,"[1071, 186, 97, 116]",0.03,0.0,0.01,0.0,0.33,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,
9,"[1073, 185, 95, 117]",0.04,0.0,0.01,0.0,0.16,0.0,0.8,"[547, 117, 106, 139]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
10,"[1071, 188, 95, 115]",0.02,0.0,0.01,0.0,0.14,0.0,0.83,"[551, 113, 108, 144]",0.02,0.0,0.0,0.94,0.0,0.02,0.01,,,,,,,,,,,,,,,,
11,"[1075, 187, 94, 114]",0.05,0.0,0.02,0.0,0.46,0.0,0.46,"[537, 132, 100, 130]",0.05,0.0,0.0,0.8,0.02,0.0,0.11,,,,,,,,,,,,,,,,
12,"[565, 112, 105, 136]",0.09,0.0,0.05,0.46,0.02,0.03,0.35,"[1074, 184, 96, 116]",0.08,0.0,0.03,0.0,0.17,0.0,0.71,,,,,,,,,,,,,,,,
13,"[1070, 187, 97, 116]",0.04,0.0,0.01,0.0,0.33,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,
14,"[1070, 187, 96, 115]",0.03,0.0,0.01,0.0,0.21,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,
