,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
62,"[452, 113, 155, 210]",0.43,0.0,0.04,0.04,0.04,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"[405, 100, 157, 212]",0.3,0.0,0.06,0.03,0.1,0.01,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"[1015, 574, 116, 151]",0.21,0.0,0.03,0.1,0.1,0.01,0.54,"[283, 90, 124, 179]",0.52,0.0,0.07,0.12,0.12,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"[276, 98, 119, 164]",0.1,0.0,0.01,0.07,0.1,0.0,0.72,"[1016, 574, 119, 150]",0.28,0.0,0.04,0.05,0.21,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"[1017, 576, 115, 160]",0.32,0.0,0.11,0.04,0.4,0.02,0.1,"[290, 87, 126, 184]",0.48,0.0,0.32,0.03,0.04,0.11,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"[265, 88, 120, 170]",0.27,0.0,0.08,0.12,0.33,0.02,0.18,"[1005, 572, 116, 160]",0.36,0.0,0.08,0.24,0.15,0.04,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"[1026, 591, 103, 139]",0.13,0.0,0.06,0.0,0.69,0.05,0.06,"[259, 88, 121, 171]",0.11,0.0,0.01,0.04,0.13,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"[1020, 586, 108, 141]",0.16,0.0,0.02,0.04,0.14,0.01,0.62,"[256, 87, 125, 178]",0.32,0.0,0.16,0.1,0.13,0.21,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"[1012, 580, 117, 152]",0.11,0.0,0.05,0.11,0.23,0.01,0.49,"[282, 124, 128, 178]",0.12,0.0,0.06,0.36,0.23,0.02,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"[276, 93, 120, 169]",0.17,0.0,0.06,0.1,0.16,0.02,0.48,"[1009, 586, 118, 147]",0.12,0.0,0.1,0.02,0.52,0.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
