,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16
56,"[92, 236, 19, 23]",0.01,0.0,0.01,0.09,0.25,0.02,0.62,"[884, 234, 23, 34]",0.7,0.0,0.01,0.0,0.2,0.0,0.09,"[212, 233, 20, 26]",0.81,0.0,0.05,0.05,0.06,0.0,0.03,"[153, 237, 21, 26]",0.26,0.0,0.01,0.55,0.12,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"[883, 236, 24, 32]",0.75,0.0,0.01,0.01,0.08,0.0,0.16,"[152, 237, 19, 22]",0.69,0.0,0.01,0.08,0.1,0.0,0.12,"[92, 239, 19, 22]",0.11,0.0,0.06,0.06,0.53,0.01,0.23,"[987, 254, 19, 24]",0.22,0.0,0.01,0.53,0.18,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"[631, 110, 128, 162]",0.97,0.0,0.01,0.01,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"[593, 124, 122, 154]",0.87,0.02,0.06,0.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"[627, 117, 123, 157]",0.23,0.0,0.02,0.03,0.2,0.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"[597, 107, 128, 167]",0.31,0.03,0.29,0.0,0.35,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"[597, 134, 123, 159]",0.47,0.0,0.44,0.0,0.08,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"[523, 85, 130, 166]",0.61,0.01,0.21,0.01,0.11,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"[645, 83, 131, 162]",0.39,0.0,0.33,0.01,0.15,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"[480, 100, 133, 155]",0.54,0.0,0.25,0.01,0.08,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"[472, 116, 132, 155]",0.58,0.11,0.16,0.01,0.1,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"[517, 142, 122, 152]",0.92,0.0,0.03,0.01,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"[592, 103, 125, 147]",0.18,0.03,0.4,0.01,0.32,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"[492, 91, 125, 161]",0.7,0.0,0.2,0.04,0.04,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"[523, 104, 124, 158]",0.23,0.01,0.29,0.01,0.39,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"[539, 103, 122, 160]",0.3,0.02,0.33,0.0,0.3,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"[537, 100, 134, 173]",0.61,0.0,0.06,0.2,0.12,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"[145, 232, 20, 26]",0.34,0.0,0.09,0.15,0.27,0.01,0.14,"[883, 237, 23, 33]",0.88,0.0,0.0,0.07,0.03,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"[799, 242, 26, 31]",0.05,0.0,0.0,0.87,0.02,0.01,0.04,"[93, 235, 19, 24]",0.01,0.0,0.0,0.98,0.0,0.0,0.01,"[145, 234, 20, 26]",0.42,0.0,0.1,0.14,0.25,0.02,0.08,"[960, 258, 23, 29]",0.09,0.0,0.02,0.75,0.07,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"[205, 235, 24, 31]",0.81,0.0,0.01,0.11,0.04,0.0,0.02,"[138, 234, 21, 27]",0.19,0.0,0.08,0.15,0.28,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"[599, 64, 140, 185]",0.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"[481, 108, 107, 141]",0.55,0.01,0.06,0.05,0.09,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"[520, 108, 123, 152]",0.45,0.01,0.04,0.12,0.14,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"[566, 87, 125, 149]",0.37,0.03,0.11,0.02,0.34,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"[580, 74, 131, 164]",0.92,0.02,0.02,0.0,0.03,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"[807, 354, 18, 23]",0.32,0.0,0.08,0.1,0.36,0.0,0.12,"[852, 373, 25, 35]",0.13,0.0,0.13,0.01,0.65,0.0,0.08,"[543, 324, 20, 26]",0.18,0.0,0.12,0.19,0.22,0.01,0.28,"[907, 341, 26, 31]",0.21,0.0,0.02,0.54,0.12,0.02,0.09,"[1191, 385, 31, 42]",0.35,0.0,0.16,0.07,0.3,0.01,0.1,"[1175, 360, 19, 25]",0.3,0.0,0.04,0.33,0.2,0.0,0.12,"[1029, 349, 22, 29]",0.69,0.0,0.02,0.05,0.18,0.0,0.05,"[742, 342, 17, 25]",0.12,0.0,0.02,0.25,0.55,0.0,0.05,"[1087, 354, 31, 40]",0.06,0.0,0.25,0.42,0.24,0.0,0.03,"[1116, 485, 46, 55]",0.03,0.0,0.1,0.06,0.34,0.0,0.47,"[1187, 487, 36, 47]",0.07,0.0,0.06,0.2,0.6,0.06,0.02,"[871, 334, 18, 21]",0.18,0.0,0.04,0.29,0.42,0.03,0.05,"[1242, 355, 20, 29]",0.14,0.01,0.18,0.07,0.51,0.03,0.06,"[935, 349, 21, 23]",0.06,0.0,0.14,0.22,0.51,0.0,0.07,"[523, 327, 15, 20]",0.34,0.0,0.07,0.2,0.33,0.0,0.06,,,,,,,,,,,,,,,,
82,"[543, 325, 19, 24]",0.14,0.0,0.03,0.23,0.35,0.0,0.24,"[804, 357, 18, 22]",0.34,0.0,0.18,0.12,0.34,0.0,0.02,"[622, 322, 22, 29]",0.76,0.0,0.05,0.02,0.07,0.01,0.08,"[852, 366, 27, 36]",0.26,0.01,0.04,0.1,0.51,0.02,0.06,"[939, 345, 21, 25]",0.09,0.0,0.11,0.5,0.25,0.0,0.04,"[1030, 350, 21, 28]",0.61,0.0,0.03,0.03,0.31,0.0,0.02,"[504, 326, 14, 17]",0.06,0.0,0.08,0.29,0.47,0.03,0.07,"[1176, 359, 21, 28]",0.07,0.0,0.05,0.35,0.44,0.01,0.09,"[1198, 386, 27, 36]",0.08,0.0,0.07,0.07,0.44,0.0,0.34,"[832, 367, 20, 26]",0.24,0.0,0.14,0.15,0.36,0.01,0.11,"[1244, 356, 19, 27]",0.2,0.0,0.17,0.32,0.22,0.05,0.05,"[762, 341, 17, 23]",0.48,0.0,0.09,0.06,0.28,0.0,0.09,"[907, 382, 27, 37]",0.15,0.01,0.04,0.51,0.18,0.01,0.1,"[1202, 351, 19, 23]",0.42,0.0,0.02,0.16,0.23,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,
83,"[806, 354, 17, 26]",0.15,0.0,0.13,0.29,0.32,0.03,0.08,"[849, 367, 30, 36]",0.15,0.0,0.04,0.06,0.51,0.01,0.22,"[544, 326, 18, 24]",0.28,0.0,0.03,0.32,0.17,0.0,0.2,"[908, 339, 26, 35]",0.05,0.0,0.04,0.48,0.34,0.01,0.08,"[1177, 360, 20, 25]",0.16,0.01,0.1,0.28,0.33,0.01,0.1,"[1184, 385, 35, 48]",0.12,0.0,0.07,0.15,0.53,0.0,0.14,"[766, 340, 16, 21]",0.66,0.07,0.04,0.06,0.1,0.01,0.06,"[501, 325, 14, 19]",0.06,0.0,0.08,0.11,0.71,0.01,0.04,"[744, 345, 20, 26]",0.06,0.0,0.03,0.82,0.06,0.01,0.02,"[521, 328, 16, 21]",0.29,0.0,0.05,0.08,0.44,0.0,0.14,"[1031, 349, 23, 29]",0.62,0.0,0.05,0.1,0.18,0.0,0.05,"[1088, 355, 31, 40]",0.09,0.0,0.05,0.73,0.09,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"[527, 327, 16, 21]",0.64,0.01,0.05,0.04,0.22,0.0,0.04,"[807, 351, 18, 26]",0.17,0.0,0.08,0.18,0.34,0.0,0.23,"[849, 367, 28, 37]",0.19,0.0,0.02,0.25,0.33,0.01,0.2,"[494, 325, 16, 20]",0.12,0.0,0.08,0.21,0.47,0.01,0.11,"[1033, 350, 23, 29]",0.64,0.0,0.05,0.12,0.16,0.01,0.02,"[1178, 362, 20, 25]",0.12,0.0,0.06,0.11,0.65,0.0,0.06,"[543, 326, 19, 25]",0.59,0.0,0.05,0.05,0.27,0.0,0.04,"[873, 336, 19, 22]",0.17,0.0,0.04,0.01,0.75,0.0,0.03,"[1147, 355, 19, 22]",0.52,0.0,0.03,0.16,0.24,0.0,0.04,"[1085, 357, 29, 38]",0.23,0.0,0.13,0.19,0.4,0.0,0.05,"[1186, 381, 31, 43]",0.15,0.0,0.03,0.04,0.65,0.0,0.14,"[932, 347, 20, 25]",0.11,0.0,0.06,0.06,0.63,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"[586, 95, 123, 158]",0.94,0.01,0.01,0.03,0.0,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"[642, 124, 122, 157]",0.11,0.0,0.0,0.83,0.03,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"[645, 124, 117, 150]",0.74,0.02,0.01,0.14,0.04,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"[651, 120, 124, 155]",0.38,0.0,0.0,0.61,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"[584, 143, 123, 158]",0.75,0.0,0.13,0.04,0.03,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"[591, 124, 122, 154]",0.62,0.02,0.12,0.0,0.11,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"[608, 122, 126, 159]",0.85,0.01,0.03,0.0,0.07,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"[635, 113, 124, 155]",0.86,0.01,0.02,0.01,0.02,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"[642, 120, 123, 152]",0.55,0.0,0.13,0.0,0.05,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"[639, 117, 133, 165]",0.91,0.0,0.03,0.03,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"[632, 115, 130, 167]",0.32,0.0,0.04,0.24,0.06,0.01,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"[604, 133, 116, 148]",0.45,0.01,0.15,0.03,0.21,0.03,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"[614, 109, 129, 162]",0.37,0.09,0.09,0.03,0.26,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"[588, 119, 126, 156]",0.64,0.01,0.19,0.0,0.05,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"[601, 131, 116, 146]",0.25,0.0,0.22,0.02,0.19,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"[697, 102, 114, 147]",0.87,0.02,0.03,0.0,0.05,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"[1155, 288, 30, 40]",0.21,0.0,0.0,0.04,0.38,0.0,0.37,"[99, 307, 28, 36]",0.76,0.0,0.02,0.03,0.14,0.01,0.04,"[1007, 297, 28, 38]",0.33,0.01,0.03,0.2,0.23,0.0,0.2,"[569, 180, 35, 43]",0.77,0.0,0.01,0.0,0.12,0.0,0.1,"[67, 614, 23, 24]",0.03,0.0,0.15,0.11,0.53,0.08,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"[1155, 288, 30, 40]",0.27,0.0,0.0,0.04,0.12,0.0,0.56,"[1008, 299, 29, 37]",0.56,0.01,0.04,0.11,0.17,0.0,0.11,"[93, 300, 33, 43]",0.93,0.0,0.02,0.01,0.02,0.01,0.01,"[570, 185, 37, 46]",0.93,0.0,0.0,0.0,0.02,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"[1157, 292, 30, 37]",0.29,0.0,0.0,0.04,0.09,0.0,0.57,"[115, 306, 28, 36]",0.47,0.0,0.05,0.01,0.41,0.0,0.05,"[1008, 301, 29, 37]",0.61,0.0,0.01,0.15,0.13,0.0,0.09,"[548, 193, 36, 44]",0.79,0.02,0.02,0.0,0.11,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"[1162, 294, 31, 38]",0.88,0.0,0.03,0.0,0.06,0.0,0.02,"[96, 308, 29, 37]",0.69,0.0,0.01,0.01,0.26,0.0,0.03,"[560, 187, 37, 45]",0.71,0.04,0.01,0.01,0.1,0.0,0.12,"[67, 613, 23, 26]",0.03,0.0,0.11,0.07,0.41,0.24,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"[1161, 293, 32, 38]",0.76,0.0,0.05,0.0,0.1,0.0,0.07,"[101, 312, 28, 34]",0.66,0.0,0.03,0.01,0.25,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"[547, 135, 123, 155]",0.98,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"[545, 134, 120, 149]",0.8,0.01,0.05,0.01,0.09,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"[497, 127, 125, 166]",0.81,0.0,0.11,0.04,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"[514, 136, 119, 150]",0.32,0.0,0.37,0.04,0.08,0.03,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"[622, 117, 132, 159]",0.08,0.0,0.08,0.43,0.23,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"[469, 91, 129, 156]",0.56,0.01,0.24,0.01,0.12,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"[606, 91, 127, 157]",0.68,0.02,0.08,0.0,0.08,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"[837, 361, 24, 36]",0.47,0.0,0.18,0.02,0.22,0.02,0.1,"[1080, 357, 30, 40]",0.4,0.0,0.18,0.03,0.33,0.0,0.06,"[569, 317, 17, 23]",0.12,0.0,0.04,0.52,0.21,0.02,0.1,"[929, 359, 26, 40]",0.23,0.0,0.08,0.33,0.27,0.01,0.08,"[1190, 400, 45, 61]",0.3,0.01,0.06,0.17,0.37,0.0,0.08,"[410, 294, 15, 18]",0.51,0.0,0.11,0.16,0.17,0.02,0.03,"[677, 306, 12, 18]",0.47,0.0,0.13,0.12,0.24,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"[837, 361, 25, 36]",0.51,0.0,0.14,0.02,0.22,0.01,0.09,"[568, 318, 17, 22]",0.17,0.0,0.05,0.21,0.33,0.04,0.2,"[416, 293, 16, 20]",0.5,0.0,0.17,0.09,0.17,0.01,0.06,"[1074, 356, 28, 40]",0.48,0.0,0.19,0.02,0.28,0.0,0.02,"[1115, 333, 17, 22]",0.48,0.0,0.02,0.38,0.1,0.0,0.02,"[1251, 339, 21, 27]",0.06,0.0,0.12,0.06,0.67,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
