,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[588, 205, 75, 95]",0.12,0.0,0.32,0.27,0.12,0.0,0.17,,,,,,,,
1,"[585, 191, 70, 91]",0.26,0.0,0.01,0.0,0.16,0.0,0.57,,,,,,,,
2,"[511, 156, 195, 261]",0.01,0.0,0.01,0.0,0.02,0.0,0.96,,,,,,,,
3,"[505, 121, 195, 262]",0.0,0.0,0.01,0.0,0.01,0.0,0.97,,,,,,,,
4,"[493, 243, 196, 229]",0.26,0.0,0.19,0.1,0.31,0.01,0.13,,,,,,,,
5,"[514, 119, 200, 265]",0.01,0.0,0.02,0.0,0.03,0.0,0.94,,,,,,,,
6,"[511, 216, 199, 247]",0.27,0.0,0.12,0.04,0.35,0.0,0.21,,,,,,,,
7,"[509, 123, 208, 266]",0.01,0.0,0.03,0.0,0.02,0.0,0.94,,,,,,,,
8,"[502, 248, 191, 227]",0.31,0.0,0.1,0.03,0.17,0.0,0.38,,,,,,,,
9,"[491, 122, 205, 260]",0.0,0.0,0.01,0.0,0.01,0.0,0.97,,,,,,,,
10,"[496, 180, 206, 275]",0.05,0.0,0.09,0.06,0.64,0.0,0.15,,,,,,,,
11,"[489, 246, 200, 232]",0.44,0.02,0.15,0.06,0.14,0.01,0.18,,,,,,,,
12,"[511, 121, 192, 265]",0.02,0.0,0.07,0.0,0.06,0.02,0.83,,,,,,,,
13,"[484, 248, 196, 229]",0.27,0.04,0.21,0.05,0.25,0.0,0.18,,,,,,,,
14,"[512, 136, 203, 264]",0.06,0.0,0.05,0.0,0.09,0.0,0.8,,,,,,,,
15,"[520, 177, 206, 267]",0.11,0.01,0.05,0.02,0.64,0.0,0.17,,,,,,,,
16,"[472, 119, 198, 263]",0.04,0.0,0.06,0.0,0.08,0.0,0.81,,,,,,,,
17,"[480, 126, 201, 259]",0.01,0.0,0.02,0.0,0.02,0.0,0.95,,,,,,,,
18,"[533, 184, 204, 264]",0.09,0.0,0.04,0.07,0.5,0.0,0.3,,,,,,,,
19,"[450, 124, 202, 260]",0.05,0.0,0.3,0.03,0.14,0.05,0.42,,,,,,,,
20,"[530, 113, 194, 267]",0.07,0.0,0.03,0.0,0.06,0.01,0.83,,,,,,,,
21,"[486, 116, 202, 256]",0.01,0.0,0.02,0.0,0.02,0.0,0.95,,,,,,,,
22,"[509, 119, 197, 266]",0.01,0.0,0.02,0.0,0.03,0.0,0.94,,,,,,,,
23,"[500, 166, 210, 278]",0.19,0.01,0.08,0.01,0.49,0.0,0.22,,,,,,,,
24,"[525, 122, 193, 264]",0.02,0.0,0.01,0.0,0.05,0.0,0.93,,,,,,,,
25,"[527, 209, 49, 56]",0.38,0.0,0.13,0.39,0.04,0.02,0.04,,,,,,,,
26,"[541, 123, 195, 248]",0.01,0.0,0.03,0.0,0.03,0.0,0.93,,,,,,,,
27,"[526, 124, 193, 258]",0.03,0.0,0.04,0.0,0.06,0.0,0.87,,,,,,,,
28,"[535, 131, 202, 273]",0.06,0.0,0.05,0.0,0.07,0.0,0.81,,,,,,,,
29,"[474, 183, 207, 267]",0.05,0.0,0.07,0.03,0.52,0.0,0.33,,,,,,,,
30,"[496, 133, 203, 257]",0.02,0.0,0.03,0.0,0.06,0.0,0.9,,,,,,,,
31,"[482, 128, 205, 259]",0.02,0.0,0.01,0.0,0.02,0.0,0.95,,,,,,,,
32,"[476, 124, 207, 266]",0.02,0.0,0.05,0.0,0.05,0.0,0.86,,,,,,,,
33,"[515, 208, 203, 250]",0.05,0.0,0.03,0.04,0.37,0.0,0.5,,,,,,,,
34,"[492, 134, 203, 256]",0.01,0.0,0.02,0.0,0.03,0.0,0.94,,,,,,,,
35,"[505, 134, 205, 265]",0.03,0.0,0.03,0.0,0.05,0.0,0.89,,,,,,,,
36,"[494, 132, 195, 245]",0.01,0.0,0.02,0.0,0.01,0.0,0.95,,,,,,,,
37,"[521, 132, 192, 243]",0.01,0.0,0.01,0.0,0.01,0.0,0.96,,,,,,,,
38,"[502, 130, 200, 260]",0.01,0.0,0.01,0.0,0.03,0.0,0.95,,,,,,,,
