,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[306, 413, 50, 59]",0.36,0.0,0.03,0.01,0.56,0.01,0.02,,,,,,,,,,,,,,,,
1,"[282, 228, 28, 34]",0.34,0.03,0.02,0.11,0.39,0.0,0.11,"[462, 201, 36, 51]",0.22,0.0,0.54,0.01,0.2,0.01,0.02,"[409, 218, 16, 21]",0.6,0.0,0.11,0.02,0.19,0.0,0.07
2,"[409, 79, 412, 543]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,
3,"[687, 129, 123, 161]",0.14,0.0,0.09,0.33,0.04,0.21,0.2,,,,,,,,,,,,,,,,
4,"[578, 119, 132, 169]",0.72,0.0,0.04,0.13,0.03,0.01,0.06,,,,,,,,,,,,,,,,
5,"[481, 114, 181, 233]",0.41,0.0,0.2,0.07,0.14,0.08,0.11,,,,,,,,,,,,,,,,
6,"[561, 141, 184, 228]",0.02,0.0,0.0,0.58,0.04,0.0,0.35,,,,,,,,,,,,,,,,
7,"[521, 127, 168, 220]",0.34,0.01,0.08,0.25,0.2,0.03,0.1,,,,,,,,,,,,,,,,
8,"[509, 130, 183, 235]",0.51,0.01,0.07,0.18,0.19,0.02,0.02,,,,,,,,,,,,,,,,
9,"[538, 142, 166, 214]",0.18,0.0,0.03,0.53,0.18,0.01,0.07,,,,,,,,,,,,,,,,
10,"[517, 135, 173, 229]",0.09,0.0,0.01,0.43,0.06,0.0,0.4,,,,,,,,,,,,,,,,
11,"[567, 191, 157, 204]",0.04,0.0,0.1,0.64,0.19,0.0,0.03,,,,,,,,,,,,,,,,
12,"[590, 175, 169, 223]",0.02,0.0,0.01,0.88,0.06,0.0,0.04,,,,,,,,,,,,,,,,
13,"[511, 192, 169, 214]",0.02,0.0,0.01,0.92,0.02,0.0,0.02,,,,,,,,,,,,,,,,
14,"[421, 197, 166, 213]",0.02,0.0,0.01,0.8,0.07,0.0,0.1,,,,,,,,,,,,,,,,
15,"[508, 187, 168, 210]",0.01,0.0,0.0,0.95,0.02,0.0,0.02,,,,,,,,,,,,,,,,
16,"[675, 161, 118, 153]",0.02,0.0,0.01,0.86,0.04,0.0,0.07,,,,,,,,,,,,,,,,
17,"[549, 167, 121, 156]",0.01,0.0,0.01,0.76,0.02,0.0,0.2,,,,,,,,,,,,,,,,
18,"[632, 172, 115, 150]",0.06,0.0,0.04,0.72,0.06,0.0,0.12,,,,,,,,,,,,,,,,
19,"[630, 148, 127, 162]",0.02,0.0,0.02,0.79,0.01,0.0,0.15,,,,,,,,,,,,,,,,
20,"[628, 138, 129, 161]",0.17,0.0,0.03,0.48,0.06,0.05,0.21,,,,,,,,,,,,,,,,
21,"[624, 164, 121, 153]",0.03,0.0,0.04,0.42,0.07,0.01,0.44,,,,,,,,,,,,,,,,
22,"[622, 155, 126, 157]",0.03,0.0,0.03,0.59,0.08,0.0,0.28,,,,,,,,,,,,,,,,
23,"[644, 139, 130, 169]",0.82,0.0,0.04,0.04,0.04,0.05,0.02,,,,,,,,,,,,,,,,
24,"[629, 169, 119, 148]",0.05,0.0,0.02,0.66,0.11,0.0,0.16,,,,,,,,,,,,,,,,
25,"[465, 159, 180, 235]",0.17,0.0,0.09,0.49,0.16,0.01,0.07,,,,,,,,,,,,,,,,
26,"[362, 194, 169, 217]",0.01,0.0,0.0,0.91,0.02,0.0,0.06,,,,,,,,,,,,,,,,
27,"[524, 163, 182, 238]",0.27,0.05,0.12,0.25,0.21,0.0,0.09,,,,,,,,,,,,,,,,
28,"[607, 119, 139, 175]",0.33,0.0,0.12,0.04,0.08,0.1,0.34,,,,,,,,,,,,,,,,
29,"[620, 128, 124, 156]",0.31,0.0,0.04,0.13,0.09,0.03,0.4,,,,,,,,,,,,,,,,
30,"[615, 139, 127, 164]",0.06,0.0,0.01,0.86,0.03,0.0,0.04,,,,,,,,,,,,,,,,
31,"[606, 141, 115, 152]",0.1,0.0,0.09,0.6,0.03,0.1,0.07,,,,,,,,,,,,,,,,
32,"[1209, 291, 38, 46]",0.34,0.0,0.12,0.1,0.34,0.0,0.09,,,,,,,,,,,,,,,,
33,"[1222, 203, 41, 53]",0.14,0.04,0.01,0.58,0.17,0.0,0.06,,,,,,,,,,,,,,,,
34,"[485, 135, 168, 221]",0.11,0.0,0.02,0.7,0.12,0.0,0.05,,,,,,,,,,,,,,,,
35,"[499, 148, 184, 254]",0.44,0.02,0.03,0.3,0.13,0.0,0.08,,,,,,,,,,,,,,,,
36,"[890, 266, 35, 44]",0.59,0.0,0.08,0.01,0.03,0.0,0.29,,,,,,,,,,,,,,,,
37,"[650, 166, 121, 152]",0.29,0.01,0.06,0.34,0.15,0.03,0.12,,,,,,,,,,,,,,,,
38,"[655, 153, 126, 162]",0.14,0.0,0.03,0.64,0.12,0.01,0.07,,,,,,,,,,,,,,,,
39,"[679, 160, 125, 159]",0.02,0.0,0.01,0.76,0.06,0.0,0.14,,,,,,,,,,,,,,,,
40,"[658, 140, 129, 163]",0.17,0.01,0.02,0.64,0.09,0.02,0.03,,,,,,,,,,,,,,,,
41,"[672, 141, 118, 151]",0.07,0.0,0.0,0.06,0.01,0.0,0.84,,,,,,,,,,,,,,,,
42,"[657, 158, 121, 154]",0.04,0.0,0.01,0.73,0.05,0.0,0.18,,,,,,,,,,,,,,,,
43,"[489, 150, 187, 252]",0.3,0.02,0.08,0.46,0.09,0.0,0.05,,,,,,,,,,,,,,,,
44,"[524, 183, 163, 216]",0.19,0.0,0.23,0.31,0.2,0.01,0.06,,,,,,,,,,,,,,,,
45,"[491, 146, 187, 261]",0.29,0.0,0.05,0.12,0.21,0.0,0.34,,,,,,,,,,,,,,,,
46,"[520, 168, 170, 231]",0.21,0.0,0.22,0.36,0.13,0.01,0.07,,,,,,,,,,,,,,,,
