,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17,box18,angry18,disgust18,fear18,happy18,sad18,surprise18,neutral18,box19,angry19,disgust19,fear19,happy19,sad19,surprise19,neutral19,box20,angry20,disgust20,fear20,happy20,sad20,surprise20,neutral20,box21,angry21,disgust21,fear21,happy21,sad21,surprise21,neutral21,box22,angry22,disgust22,fear22,happy22,sad22,surprise22,neutral22,box23,angry23,disgust23,fear23,happy23,sad23,surprise23,neutral23,box24,angry24,disgust24,fear24,happy24,sad24,surprise24,neutral24,box25,angry25,disgust25,fear25,happy25,sad25,surprise25,neutral25,box26,angry26,disgust26,fear26,happy26,sad26,surprise26,neutral26,box27,angry27,disgust27,fear27,happy27,sad27,surprise27,neutral27,box28,angry28,disgust28,fear28,happy28,sad28,surprise28,neutral28,box29,angry29,disgust29,fear29,happy29,sad29,surprise29,neutral29
10,"[905, 648, 64, 87]",0.25,0.0,0.27,0.11,0.18,0.01,0.18,"[1189, 446, 64, 80]",0.02,0.0,0.09,0.77,0.02,0.01,0.09,"[328, 356, 61, 75]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[361, 293, 58, 71]",0.25,0.0,0.14,0.06,0.46,0.0,0.09,"[412, 207, 58, 70]",0.05,0.0,0.02,0.47,0.24,0.0,0.22,"[447, 8, 56, 71]",0.3,0.0,0.21,0.16,0.19,0.02,0.12,"[221, 82, 52, 61]",0.45,0.0,0.1,0.09,0.22,0.02,0.12,"[348, 629, 18, 20]",0.12,0.0,0.34,0.01,0.43,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[505, 544, 70, 82]",0.12,0.01,0.12,0.58,0.07,0.01,0.1,"[313, 352, 63, 80]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[991, 451, 62, 78]",0.25,0.0,0.05,0.49,0.03,0.0,0.18,"[818, 256, 61, 76]",0.1,0.0,0.37,0.39,0.08,0.03,0.03,"[1194, 445, 60, 77]",0.05,0.0,0.06,0.73,0.08,0.0,0.08,"[1216, 550, 57, 72]",0.24,0.0,0.02,0.02,0.04,0.0,0.69,"[442, 4, 55, 69]",0.21,0.0,0.05,0.33,0.23,0.0,0.18,"[1032, 267, 49, 61]",0.13,0.0,0.04,0.33,0.32,0.0,0.19,"[930, 661, 44, 52]",0.13,0.0,0.09,0.02,0.72,0.0,0.03,"[345, 623, 25, 27]",0.04,0.0,0.27,0.01,0.65,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[1159, 642, 78, 105]",0.79,0.0,0.09,0.01,0.1,0.0,0.02,"[506, 556, 70, 79]",0.06,0.0,0.02,0.82,0.04,0.0,0.05,"[983, 662, 64, 87]",0.58,0.0,0.27,0.04,0.08,0.0,0.03,"[1215, 548, 66, 76]",0.03,0.0,0.02,0.88,0.02,0.0,0.04,"[368, 287, 63, 76]",0.27,0.0,0.03,0.25,0.31,0.0,0.13,"[327, 357, 63, 76]",0.0,0.0,0.0,0.93,0.0,0.0,0.06,"[771, 447, 60, 68]",0.28,0.0,0.13,0.05,0.11,0.03,0.4,"[409, 207, 58, 70]",0.08,0.0,0.08,0.02,0.68,0.0,0.14,"[456, 6, 55, 69]",0.14,0.0,0.05,0.18,0.48,0.0,0.15,"[636, 10, 51, 64]",0.22,0.0,0.11,0.0,0.62,0.01,0.04,"[1034, 387, 49, 59]",0.24,0.0,0.3,0.31,0.11,0.03,0.03,"[353, 626, 23, 25]",0.02,0.0,0.2,0.0,0.76,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[646, 115, 114, 171]",0.14,0.0,0.05,0.05,0.21,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[498, 109, 132, 185]",0.2,0.0,0.45,0.05,0.18,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[531, 110, 131, 175]",0.68,0.0,0.15,0.01,0.06,0.07,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[656, 100, 131, 168]",0.46,0.0,0.28,0.01,0.09,0.04,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[560, 94, 122, 169]",0.12,0.0,0.54,0.0,0.18,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[676, 112, 117, 163]",0.09,0.0,0.24,0.0,0.38,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[570, 91, 145, 208]",0.15,0.0,0.33,0.03,0.17,0.13,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
