,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[602, 76, 108, 137]",0.43,0.01,0.13,0.0,0.39,0.0,0.04
1,"[609, 81, 108, 132]",0.78,0.0,0.09,0.0,0.1,0.01,0.02
2,"[606, 90, 103, 128]",0.45,0.01,0.07,0.0,0.43,0.0,0.04
3,"[635, 93, 102, 131]",0.56,0.03,0.07,0.0,0.2,0.0,0.15
4,"[609, 82, 111, 138]",0.79,0.0,0.08,0.0,0.1,0.0,0.02
5,"[610, 89, 106, 133]",0.68,0.01,0.09,0.0,0.2,0.0,0.02
6,"[612, 96, 106, 134]",0.52,0.0,0.21,0.0,0.25,0.0,0.02
7,"[607, 91, 103, 129]",0.66,0.0,0.08,0.0,0.24,0.0,0.02
8,"[609, 87, 105, 130]",0.8,0.05,0.07,0.0,0.07,0.0,0.01
9,"[606, 94, 110, 138]",0.61,0.0,0.16,0.0,0.17,0.01,0.06
10,"[595, 83, 112, 137]",0.77,0.0,0.08,0.0,0.12,0.01,0.02
11,"[602, 81, 106, 129]",0.65,0.0,0.08,0.0,0.23,0.01,0.02
12,"[541, 65, 146, 187]",0.62,0.0,0.21,0.0,0.15,0.0,0.01
13,"[551, 66, 140, 176]",0.68,0.0,0.18,0.0,0.12,0.0,0.01
14,"[546, 68, 144, 182]",0.33,0.0,0.23,0.0,0.4,0.0,0.03
15,"[613, 93, 103, 129]",0.55,0.01,0.19,0.0,0.23,0.0,0.01
16,"[603, 85, 111, 136]",0.8,0.01,0.03,0.0,0.14,0.0,0.02
17,"[609, 92, 107, 129]",0.72,0.01,0.08,0.0,0.17,0.0,0.03
18,"[616, 81, 107, 137]",0.37,0.0,0.07,0.0,0.43,0.0,0.13
19,"[604, 87, 113, 139]",0.68,0.0,0.14,0.0,0.17,0.0,0.02
20,"[598, 83, 110, 139]",0.36,0.0,0.07,0.02,0.51,0.0,0.04
21,"[607, 87, 107, 135]",0.53,0.0,0.08,0.0,0.35,0.0,0.04
22,"[545, 60, 140, 177]",0.77,0.0,0.1,0.0,0.09,0.0,0.04
23,"[542, 55, 141, 170]",0.63,0.01,0.1,0.0,0.23,0.0,0.02
24,"[532, 47, 142, 175]",0.78,0.0,0.13,0.0,0.07,0.0,0.02
25,"[553, 78, 138, 180]",0.92,0.0,0.04,0.0,0.03,0.0,0.01
26,"[545, 66, 134, 165]",0.74,0.0,0.09,0.0,0.16,0.0,0.01
27,"[547, 55, 142, 176]",0.6,0.0,0.09,0.0,0.27,0.0,0.04
28,"[548, 61, 144, 183]",0.44,0.0,0.25,0.0,0.29,0.0,0.02
29,"[608, 81, 109, 139]",0.58,0.0,0.18,0.0,0.21,0.0,0.02
30,"[609, 90, 103, 130]",0.66,0.0,0.15,0.0,0.18,0.0,0.01
31,"[609, 90, 106, 132]",0.47,0.0,0.26,0.0,0.22,0.01,0.04
32,"[621, 94, 100, 132]",0.65,0.0,0.18,0.0,0.09,0.0,0.06
33,"[608, 78, 119, 148]",0.74,0.0,0.09,0.0,0.13,0.01,0.03
34,"[609, 98, 112, 142]",0.54,0.0,0.09,0.0,0.31,0.0,0.06
35,"[608, 87, 104, 129]",0.6,0.07,0.11,0.0,0.21,0.0,0.01
36,"[610, 92, 107, 134]",0.9,0.0,0.06,0.0,0.05,0.0,0.0
37,"[615, 89, 107, 132]",0.51,0.0,0.08,0.0,0.3,0.0,0.1
38,"[610, 89, 112, 140]",0.56,0.0,0.11,0.0,0.25,0.02,0.07
39,"[612, 92, 108, 134]",0.51,0.0,0.2,0.0,0.26,0.0,0.02
40,"[608, 87, 107, 133]",0.81,0.0,0.03,0.0,0.12,0.0,0.03
41,"[599, 79, 106, 127]",0.61,0.01,0.09,0.0,0.27,0.0,0.03
42,"[609, 87, 114, 140]",0.75,0.0,0.05,0.0,0.09,0.06,0.05
43,"[541, 56, 148, 188]",0.64,0.0,0.24,0.0,0.1,0.01,0.01
44,"[569, 73, 143, 182]",0.46,0.0,0.34,0.0,0.19,0.0,0.01
45,"[562, 66, 140, 175]",0.6,0.01,0.12,0.0,0.25,0.0,0.02
46,"[554, 63, 139, 173]",0.76,0.01,0.15,0.0,0.08,0.0,0.0
47,"[560, 79, 139, 172]",0.85,0.0,0.08,0.0,0.06,0.0,0.0
48,"[561, 68, 136, 170]",0.79,0.01,0.12,0.0,0.08,0.0,0.01
49,"[609, 104, 110, 137]",0.74,0.0,0.17,0.0,0.08,0.0,0.01
50,"[603, 87, 113, 138]",0.57,0.0,0.24,0.0,0.19,0.0,0.01
51,"[604, 91, 106, 131]",0.7,0.0,0.04,0.0,0.23,0.0,0.02
52,"[632, 100, 103, 132]",0.76,0.02,0.05,0.0,0.16,0.0,0.0
53,"[604, 94, 105, 130]",0.9,0.0,0.04,0.0,0.05,0.0,0.0
54,"[601, 85, 112, 140]",0.44,0.0,0.09,0.0,0.45,0.0,0.01
55,"[599, 85, 110, 138]",0.31,0.0,0.04,0.0,0.57,0.0,0.07
56,"[612, 91, 107, 134]",0.63,0.01,0.12,0.0,0.21,0.01,0.03
57,"[628, 94, 102, 131]",0.77,0.0,0.08,0.0,0.14,0.0,0.01
58,"[605, 89, 105, 132]",0.83,0.0,0.05,0.0,0.1,0.0,0.01
59,"[595, 93, 108, 134]",0.55,0.0,0.06,0.0,0.35,0.0,0.04
60,"[596, 84, 114, 142]",0.57,0.0,0.11,0.0,0.23,0.03,0.07
61,"[558, 65, 140, 180]",0.79,0.0,0.15,0.0,0.04,0.01,0.01
62,"[562, 68, 144, 178]",0.93,0.0,0.03,0.0,0.04,0.0,0.0
63,"[548, 60, 144, 185]",0.63,0.0,0.11,0.0,0.23,0.0,0.03
64,"[554, 61, 140, 182]",0.44,0.0,0.3,0.0,0.24,0.0,0.02
65,"[552, 59, 138, 179]",0.8,0.0,0.09,0.0,0.11,0.0,0.0
66,"[612, 85, 105, 133]",0.66,0.01,0.16,0.0,0.14,0.0,0.02
67,"[609, 84, 106, 138]",0.79,0.0,0.06,0.0,0.14,0.0,0.01
68,"[605, 88, 112, 135]",0.2,0.0,0.16,0.11,0.51,0.0,0.01
69,"[601, 86, 104, 129]",0.79,0.0,0.07,0.0,0.11,0.0,0.03
70,"[602, 75, 107, 132]",0.49,0.0,0.14,0.0,0.29,0.0,0.08
71,"[608, 90, 104, 130]",0.74,0.0,0.08,0.0,0.15,0.0,0.02
72,"[606, 90, 109, 134]",0.51,0.0,0.09,0.0,0.23,0.0,0.16
73,"[611, 103, 104, 127]",0.77,0.01,0.07,0.0,0.12,0.0,0.02
74,"[602, 80, 111, 137]",0.47,0.01,0.31,0.0,0.2,0.0,0.01
75,"[607, 91, 112, 139]",0.65,0.0,0.09,0.0,0.25,0.0,0.0
76,"[603, 88, 104, 129]",0.8,0.0,0.07,0.0,0.08,0.0,0.04
77,"[604, 93, 106, 131]",0.68,0.0,0.11,0.0,0.18,0.0,0.02
78,"[600, 91, 104, 130]",0.84,0.0,0.05,0.0,0.1,0.0,0.02
79,"[547, 82, 145, 185]",0.42,0.0,0.16,0.01,0.41,0.0,0.0
80,"[550, 67, 146, 182]",0.81,0.0,0.05,0.0,0.08,0.0,0.06
81,"[549, 64, 139, 180]",0.67,0.0,0.15,0.0,0.17,0.0,0.01
82,"[553, 69, 142, 181]",0.79,0.0,0.11,0.0,0.08,0.02,0.01
83,"[550, 66, 141, 178]",0.79,0.0,0.07,0.0,0.13,0.0,0.01
84,"[543, 67, 147, 182]",0.42,0.0,0.1,0.0,0.43,0.0,0.05
85,"[549, 72, 147, 183]",0.52,0.0,0.14,0.0,0.32,0.0,0.01
86,"[524, 66, 139, 177]",0.75,0.0,0.11,0.0,0.09,0.0,0.04
87,"[552, 69, 141, 177]",0.61,0.01,0.21,0.0,0.13,0.0,0.05
88,"[548, 64, 145, 178]",0.78,0.0,0.06,0.0,0.09,0.0,0.06
