,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[691, 127, 129, 168]",0.22,0.0,0.02,0.01,0.44,0.0,0.32,,,,,,,,,,,,,,,,
1,"[665, 183, 120, 161]",0.34,0.0,0.04,0.0,0.23,0.0,0.39,,,,,,,,,,,,,,,,
2,"[592, 176, 114, 152]",0.19,0.0,0.02,0.17,0.29,0.0,0.32,,,,,,,,,,,,,,,,
3,"[554, 150, 125, 161]",0.18,0.0,0.01,0.02,0.36,0.0,0.43,"[464, 319, 32, 38]",0.22,0.0,0.19,0.09,0.46,0.02,0.03,,,,,,,,
4,"[565, 144, 124, 156]",0.11,0.0,0.0,0.01,0.42,0.0,0.45,,,,,,,,,,,,,,,,
5,"[577, 154, 119, 158]",0.45,0.0,0.02,0.02,0.21,0.0,0.29,,,,,,,,,,,,,,,,
6,"[609, 149, 123, 157]",0.23,0.01,0.01,0.0,0.41,0.0,0.33,"[648, 341, 29, 36]",0.44,0.01,0.13,0.04,0.34,0.01,0.02,,,,,,,,
7,"[566, 146, 126, 162]",0.69,0.0,0.01,0.0,0.17,0.0,0.13,,,,,,,,,,,,,,,,
8,"[600, 151, 120, 161]",0.31,0.0,0.06,0.0,0.37,0.0,0.25,,,,,,,,,,,,,,,,
9,"[591, 159, 122, 153]",0.75,0.0,0.01,0.0,0.15,0.0,0.1,,,,,,,,,,,,,,,,
10,"[591, 120, 128, 160]",0.18,0.0,0.04,0.01,0.64,0.0,0.13,,,,,,,,,,,,,,,,
11,"[580, 142, 116, 145]",0.27,0.0,0.08,0.0,0.62,0.0,0.03,,,,,,,,,,,,,,,,
12,"[589, 147, 126, 164]",0.27,0.09,0.01,0.01,0.46,0.0,0.16,,,,,,,,,,,,,,,,
13,"[605, 131, 128, 173]",0.35,0.0,0.03,0.0,0.49,0.0,0.12,,,,,,,,,,,,,,,,
14,"[606, 108, 132, 169]",0.25,0.0,0.06,0.0,0.65,0.0,0.03,,,,,,,,,,,,,,,,
15,"[595, 125, 135, 184]",0.31,0.0,0.02,0.25,0.25,0.0,0.17,,,,,,,,,,,,,,,,
16,"[75, 486, 133, 160]",0.08,0.0,0.04,0.03,0.13,0.0,0.72,,,,,,,,,,,,,,,,
17,"[594, 136, 136, 184]",0.16,0.0,0.0,0.13,0.66,0.0,0.04,,,,,,,,,,,,,,,,
18,"[575, 162, 131, 168]",0.08,0.0,0.0,0.05,0.29,0.01,0.58,,,,,,,,,,,,,,,,
19,"[544, 138, 126, 166]",0.35,0.0,0.0,0.0,0.3,0.0,0.34,,,,,,,,,,,,,,,,
20,"[575, 148, 126, 173]",0.46,0.02,0.01,0.0,0.36,0.0,0.14,,,,,,,,,,,,,,,,
21,"[587, 136, 137, 180]",0.47,0.01,0.01,0.07,0.26,0.0,0.19,,,,,,,,,,,,,,,,
22,"[586, 108, 139, 181]",0.41,0.01,0.01,0.0,0.17,0.0,0.4,,,,,,,,,,,,,,,,
23,"[627, 161, 121, 166]",0.27,0.01,0.01,0.06,0.4,0.0,0.25,,,,,,,,,,,,,,,,
24,"[0, 608, 120, 136]",0.02,0.0,0.02,0.01,0.02,0.01,0.92,,,,,,,,,,,,,,,,
25,"[89, 541, 118, 140]",0.1,0.0,0.05,0.03,0.21,0.0,0.62,,,,,,,,,,,,,,,,
26,"[83, 558, 115, 137]",0.12,0.0,0.08,0.03,0.2,0.01,0.57,,,,,,,,,,,,,,,,
27,"[28, 562, 120, 141]",0.13,0.0,0.06,0.02,0.18,0.01,0.59,,,,,,,,,,,,,,,,
28,"[597, 141, 125, 158]",0.21,0.0,0.01,0.01,0.16,0.0,0.6,,,,,,,,,,,,,,,,
29,"[561, 133, 127, 160]",0.27,0.0,0.05,0.03,0.36,0.01,0.27,,,,,,,,,,,,,,,,
30,"[646, 146, 123, 165]",0.35,0.02,0.05,0.0,0.52,0.0,0.05,,,,,,,,,,,,,,,,
31,"[624, 135, 117, 158]",0.37,0.0,0.06,0.33,0.2,0.01,0.03,,,,,,,,,,,,,,,,
32,"[505, 147, 131, 179]",0.29,0.01,0.05,0.11,0.52,0.0,0.02,,,,,,,,,,,,,,,,
33,"[488, 156, 139, 180]",0.07,0.0,0.03,0.23,0.25,0.0,0.42,,,,,,,,,,,,,,,,
34,"[556, 127, 128, 163]",0.04,0.0,0.04,0.01,0.86,0.0,0.06,,,,,,,,,,,,,,,,
35,"[598, 163, 123, 160]",0.21,0.09,0.0,0.0,0.13,0.0,0.57,,,,,,,,,,,,,,,,
