,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[581, 161, 137, 165]",0.65,0.0,0.03,0.14,0.1,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[639, 106, 141, 187]",0.01,0.0,0.0,0.0,0.02,0.0,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[596, 132, 146, 191]",0.01,0.0,0.01,0.07,0.01,0.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[603, 144, 161, 219]",0.01,0.0,0.01,0.69,0.03,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[570, 146, 147, 198]",0.12,0.0,0.15,0.01,0.18,0.04,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[632, 144, 142, 188]",0.12,0.0,0.04,0.02,0.06,0.05,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[566, 138, 148, 197]",0.05,0.0,0.05,0.0,0.11,0.05,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[607, 140, 146, 191]",0.02,0.0,0.01,0.05,0.08,0.01,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[562, 141, 149, 191]",0.04,0.0,0.1,0.02,0.21,0.08,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[586, 154, 143, 192]",0.01,0.0,0.08,0.31,0.2,0.11,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[563, 154, 141, 190]",0.0,0.0,0.01,0.16,0.04,0.01,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[614, 141, 139, 187]",0.03,0.0,0.06,0.52,0.03,0.03,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[556, 129, 146, 201]",0.03,0.0,0.07,0.12,0.06,0.11,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[593, 118, 150, 198]",0.08,0.0,0.09,0.02,0.1,0.02,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[582, 170, 144, 187]",0.12,0.01,0.44,0.06,0.15,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[626, 148, 151, 207]",0.4,0.0,0.03,0.01,0.11,0.01,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[553, 142, 146, 189]",0.01,0.0,0.01,0.01,0.06,0.01,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[556, 145, 145, 190]",0.05,0.0,0.02,0.03,0.16,0.2,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[542, 141, 140, 182]",0.07,0.0,0.09,0.06,0.19,0.03,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[546, 162, 141, 180]",0.01,0.0,0.03,0.45,0.05,0.03,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[540, 140, 146, 192]",0.03,0.0,0.02,0.3,0.01,0.02,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[578, 144, 144, 198]",0.36,0.0,0.03,0.05,0.07,0.06,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[557, 133, 143, 193]",0.04,0.0,0.08,0.05,0.07,0.05,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[566, 129, 146, 195]",0.19,0.0,0.16,0.03,0.13,0.14,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[554, 136, 144, 194]",0.09,0.0,0.07,0.16,0.11,0.12,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
