,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[561, 163, 196, 264]",0.02,0.0,0.02,0.01,0.05,0.0,0.9
1,"[565, 168, 201, 268]",0.07,0.0,0.06,0.04,0.11,0.01,0.72
2,"[568, 174, 198, 266]",0.09,0.0,0.09,0.03,0.19,0.0,0.6
3,"[513, 112, 286, 386]",0.04,0.0,0.02,0.01,0.24,0.0,0.69
4,"[566, 170, 202, 269]",0.01,0.0,0.03,0.18,0.17,0.0,0.61
5,"[566, 159, 212, 282]",0.02,0.0,0.03,0.03,0.1,0.0,0.81
6,"[576, 157, 210, 282]",0.07,0.0,0.02,0.0,0.13,0.0,0.78
7,"[572, 156, 221, 299]",0.01,0.0,0.03,0.26,0.09,0.0,0.6
8,"[573, 147, 222, 296]",0.02,0.0,0.02,0.01,0.06,0.0,0.9
9,"[565, 139, 226, 302]",0.06,0.0,0.02,0.01,0.09,0.0,0.82
10,"[564, 136, 235, 312]",0.05,0.0,0.03,0.04,0.08,0.0,0.81
11,"[513, 120, 288, 381]",0.03,0.0,0.03,0.02,0.17,0.0,0.74
12,"[507, 127, 298, 400]",0.13,0.0,0.14,0.02,0.27,0.0,0.45
13,"[508, 120, 294, 397]",0.04,0.0,0.04,0.03,0.09,0.0,0.81
14,"[514, 125, 289, 389]",0.04,0.0,0.05,0.01,0.2,0.0,0.7
15,"[511, 134, 290, 381]",0.02,0.0,0.01,0.02,0.1,0.0,0.84
16,"[512, 117, 291, 400]",0.12,0.0,0.08,0.01,0.27,0.0,0.51
17,"[522, 107, 289, 391]",0.06,0.0,0.02,0.01,0.13,0.0,0.79
18,"[514, 113, 296, 405]",0.05,0.0,0.04,0.02,0.12,0.0,0.77
19,"[507, 117, 292, 385]",0.05,0.0,0.01,0.0,0.1,0.0,0.83
20,"[514, 114, 287, 389]",0.03,0.0,0.01,0.01,0.08,0.0,0.88
21,"[516, 116, 295, 393]",0.04,0.0,0.03,0.01,0.22,0.0,0.7
22,"[515, 108, 295, 400]",0.06,0.0,0.03,0.01,0.15,0.0,0.75
23,"[570, 164, 202, 270]",0.03,0.0,0.02,0.01,0.03,0.0,0.92
24,"[571, 167, 200, 274]",0.11,0.0,0.05,0.0,0.11,0.0,0.73
25,"[571, 172, 203, 276]",0.05,0.0,0.06,0.02,0.1,0.0,0.76
26,"[565, 177, 205, 266]",0.04,0.0,0.04,0.02,0.11,0.0,0.8
27,"[565, 174, 200, 267]",0.17,0.0,0.06,0.01,0.13,0.0,0.62
28,"[571, 166, 197, 262]",0.02,0.0,0.02,0.06,0.06,0.0,0.84
29,"[571, 170, 199, 267]",0.13,0.0,0.03,0.0,0.23,0.0,0.59
30,"[511, 125, 285, 377]",0.03,0.0,0.01,0.0,0.09,0.0,0.87
31,"[517, 128, 288, 382]",0.07,0.0,0.1,0.02,0.44,0.0,0.36
32,"[526, 119, 284, 376]",0.03,0.0,0.01,0.0,0.08,0.0,0.87
33,"[515, 113, 296, 399]",0.04,0.0,0.05,0.01,0.24,0.0,0.67
34,"[510, 121, 293, 390]",0.03,0.0,0.03,0.06,0.18,0.0,0.69
35,"[586, 155, 236, 356]",0.02,0.0,0.12,0.06,0.05,0.0,0.75
36,"[572, 148, 234, 352]",0.04,0.0,0.18,0.03,0.07,0.01,0.67
37,"[551, 152, 233, 353]",0.24,0.0,0.17,0.02,0.23,0.0,0.34
38,"[518, 138, 238, 362]",0.03,0.0,0.07,0.08,0.05,0.0,0.76
39,"[580, 170, 196, 261]",0.06,0.0,0.02,0.0,0.1,0.0,0.81
40,"[572, 171, 206, 275]",0.09,0.0,0.07,0.01,0.1,0.0,0.73
41,"[574, 174, 203, 264]",0.15,0.0,0.11,0.01,0.24,0.0,0.49
42,"[503, 84, 306, 408]",0.03,0.0,0.04,0.0,0.17,0.0,0.76
43,"[504, 91, 295, 398]",0.1,0.0,0.08,0.0,0.28,0.0,0.54
44,"[515, 100, 297, 406]",0.04,0.0,0.05,0.02,0.17,0.0,0.72
45,"[567, 180, 211, 314]",0.02,0.0,0.1,0.04,0.03,0.0,0.81
46,"[553, 196, 206, 306]",0.02,0.0,0.11,0.04,0.08,0.0,0.75
47,"[566, 175, 197, 263]",0.06,0.0,0.06,0.01,0.11,0.0,0.77
48,"[496, 172, 214, 322]",0.03,0.0,0.07,0.0,0.07,0.0,0.82
49,"[494, 172, 215, 313]",0.02,0.0,0.03,0.02,0.05,0.0,0.88
50,"[574, 176, 195, 264]",0.07,0.0,0.08,0.01,0.18,0.0,0.66
51,"[572, 174, 202, 272]",0.03,0.0,0.01,0.01,0.04,0.0,0.91
52,"[572, 176, 209, 274]",0.06,0.0,0.02,0.01,0.07,0.0,0.83
53,"[577, 171, 204, 270]",0.09,0.0,0.05,0.01,0.2,0.0,0.65
54,"[580, 176, 202, 273]",0.12,0.0,0.03,0.0,0.14,0.0,0.71
55,"[571, 169, 202, 269]",0.05,0.0,0.03,0.0,0.08,0.0,0.83
56,"[571, 169, 204, 269]",0.04,0.0,0.01,0.0,0.04,0.0,0.91
57,"[573, 171, 204, 275]",0.07,0.0,0.03,0.01,0.09,0.0,0.81
58,"[547, 164, 211, 286]",0.01,0.0,0.02,0.19,0.05,0.0,0.72
59,"[533, 132, 294, 389]",0.06,0.0,0.07,0.01,0.24,0.0,0.61
60,"[540, 128, 292, 389]",0.03,0.0,0.04,0.04,0.09,0.0,0.8
61,"[534, 114, 301, 400]",0.03,0.0,0.03,0.02,0.09,0.0,0.83
