,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
0,"[641, 314, 40, 55]",0.18,0.0,0.04,0.01,0.37,0.0,0.41,"[88, 350, 35, 47]",0.43,0.0,0.02,0.01,0.46,0.0,0.07,"[176, 317, 32, 45]",0.57,0.0,0.11,0.01,0.25,0.01,0.05,"[290, 330, 24, 34]",0.19,0.0,0.09,0.13,0.3,0.01,0.27,,,,,,,,,,,,,,,,
1,"[316, 328, 40, 53]",0.4,0.0,0.08,0.18,0.1,0.01,0.23,"[644, 315, 40, 50]",0.28,0.0,0.07,0.03,0.18,0.0,0.43,"[178, 324, 34, 43]",0.73,0.0,0.12,0.02,0.12,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,"[619, 300, 54, 70]",0.3,0.0,0.03,0.01,0.22,0.0,0.45,"[380, 363, 51, 61]",0.26,0.0,0.21,0.03,0.43,0.0,0.07,"[282, 352, 48, 64]",0.32,0.01,0.08,0.0,0.47,0.02,0.11,"[12, 320, 42, 50]",0.64,0.0,0.05,0.06,0.23,0.01,0.01,,,,,,,,,,,,,,,,
3,"[615, 180, 181, 238]",0.04,0.0,0.03,0.11,0.22,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[542, 158, 200, 270]",0.11,0.0,0.04,0.01,0.46,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[484, 138, 206, 279]",0.05,0.0,0.05,0.01,0.31,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[511, 133, 225, 296]",0.0,0.0,0.0,0.02,0.01,0.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[508, 128, 218, 284]",0.03,0.0,0.01,0.05,0.11,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[502, 137, 228, 308]",0.01,0.0,0.0,0.05,0.04,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[493, 144, 227, 298]",0.01,0.0,0.0,0.01,0.04,0.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[503, 138, 223, 286]",0.01,0.0,0.0,0.03,0.04,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[506, 136, 223, 283]",0.0,0.0,0.0,0.02,0.02,0.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[516, 139, 224, 291]",0.01,0.0,0.0,0.04,0.03,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[517, 137, 223, 292]",0.01,0.0,0.0,0.02,0.04,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[516, 137, 224, 292]",0.01,0.0,0.0,0.02,0.03,0.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[514, 133, 226, 296]",0.05,0.0,0.02,0.01,0.17,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[496, 137, 228, 306]",0.03,0.0,0.01,0.01,0.18,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[481, 136, 229, 301]",0.04,0.0,0.01,0.01,0.26,0.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[485, 135, 225, 295]",0.06,0.0,0.01,0.01,0.19,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[489, 139, 231, 294]",0.04,0.0,0.01,0.01,0.16,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[491, 138, 230, 297]",0.06,0.0,0.01,0.03,0.19,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[489, 145, 234, 308]",0.03,0.0,0.01,0.0,0.11,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[507, 125, 223, 300]",0.03,0.0,0.0,0.01,0.03,0.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[505, 126, 223, 293]",0.02,0.0,0.0,0.05,0.06,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[507, 128, 226, 296]",0.03,0.0,0.0,0.05,0.03,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[507, 148, 223, 300]",0.04,0.0,0.0,0.01,0.04,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[491, 121, 227, 305]",0.1,0.0,0.02,0.0,0.18,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[505, 139, 228, 308]",0.08,0.0,0.01,0.0,0.13,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[470, 141, 222, 294]",0.03,0.0,0.01,0.01,0.26,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[496, 130, 229, 302]",0.07,0.0,0.01,0.02,0.12,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[510, 130, 223, 295]",0.02,0.0,0.0,0.01,0.06,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[532, 135, 204, 264]",0.01,0.0,0.0,0.01,0.04,0.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[528, 136, 205, 263]",0.01,0.0,0.0,0.01,0.01,0.0,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[529, 140, 220, 294]",0.02,0.0,0.0,0.04,0.05,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[176, 127, 73, 93]",0.1,0.0,0.02,0.07,0.1,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[135, 120, 68, 88]",0.16,0.0,0.02,0.05,0.12,0.0,0.65,"[392, 618, 58, 71]",0.11,0.0,0.19,0.03,0.47,0.01,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[433, 266, 67, 91]",0.4,0.0,0.03,0.01,0.09,0.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[414, 101, 236, 318]",0.12,0.0,0.02,0.0,0.2,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[446, 143, 240, 318]",0.02,0.0,0.0,0.0,0.05,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[434, 133, 237, 314]",0.03,0.0,0.0,0.0,0.05,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[441, 124, 233, 305]",0.07,0.0,0.01,0.01,0.09,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
