,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[747, 154, 145, 184]",0.16,0.02,0.48,0.0,0.17,0.03,0.13,,,,,,,,,,,,,,,,
1,"[617, 131, 144, 190]",0.11,0.0,0.15,0.0,0.04,0.34,0.36,,,,,,,,,,,,,,,,
2,"[622, 139, 144, 184]",0.09,0.0,0.07,0.0,0.15,0.07,0.63,,,,,,,,,,,,,,,,
3,"[542, 119, 147, 198]",0.09,0.0,0.08,0.04,0.07,0.03,0.69,,,,,,,,,,,,,,,,
4,"[480, 105, 155, 188]",0.03,0.0,0.02,0.0,0.11,0.0,0.83,,,,,,,,,,,,,,,,
5,"[472, 170, 146, 185]",0.2,0.01,0.07,0.0,0.14,0.05,0.53,,,,,,,,,,,,,,,,
6,"[527, 168, 147, 190]",0.13,0.0,0.12,0.0,0.14,0.02,0.59,"[536, 74, 58, 69]",0.29,0.0,0.25,0.19,0.18,0.01,0.07,,,,,,,,
7,"[546, 118, 154, 188]",0.03,0.0,0.04,0.0,0.08,0.0,0.85,,,,,,,,,,,,,,,,
8,"[477, 139, 142, 191]",0.05,0.0,0.14,0.0,0.09,0.02,0.7,,,,,,,,,,,,,,,,
9,"[523, 158, 145, 184]",0.04,0.0,0.05,0.0,0.12,0.01,0.78,,,,,,,,,,,,,,,,
10,"[544, 157, 152, 192]",0.06,0.0,0.07,0.0,0.07,0.01,0.8,,,,,,,,,,,,,,,,
11,"[546, 131, 145, 187]",0.14,0.0,0.06,0.0,0.02,0.0,0.77,,,,,,,,,,,,,,,,
12,"[542, 202, 137, 170]",0.01,0.0,0.08,0.0,0.83,0.0,0.07,"[588, 82, 64, 82]",0.2,0.0,0.11,0.12,0.31,0.02,0.24,,,,,,,,
13,"[543, 209, 136, 166]",0.03,0.0,0.13,0.0,0.5,0.04,0.29,,,,,,,,,,,,,,,,
14,"[545, 200, 141, 174]",0.08,0.0,0.13,0.0,0.5,0.23,0.06,,,,,,,,,,,,,,,,
15,"[556, 145, 151, 186]",0.03,0.0,0.04,0.0,0.07,0.0,0.85,,,,,,,,,,,,,,,,
16,"[502, 135, 148, 196]",0.08,0.0,0.08,0.0,0.02,0.04,0.77,,,,,,,,,,,,,,,,
