,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
0,"[575, 132, 139, 177]",0.49,0.0,0.16,0.0,0.27,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[537, 128, 152, 195]",0.23,0.0,0.19,0.01,0.31,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[576, 124, 148, 195]",0.36,0.0,0.05,0.0,0.55,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[551, 127, 145, 198]",0.59,0.0,0.11,0.03,0.13,0.03,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[562, 134, 148, 194]",0.46,0.0,0.15,0.0,0.3,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[567, 132, 151, 191]",0.72,0.0,0.06,0.0,0.18,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[524, 104, 139, 196]",0.36,0.0,0.27,0.01,0.24,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[562, 98, 144, 193]",0.51,0.0,0.01,0.0,0.12,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[543, 103, 148, 194]",0.45,0.0,0.09,0.0,0.4,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[546, 109, 149, 192]",0.84,0.0,0.05,0.0,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[524, 114, 146, 195]",0.7,0.02,0.11,0.0,0.09,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[556, 139, 143, 183]",0.69,0.0,0.02,0.0,0.27,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[581, 131, 136, 176]",0.39,0.0,0.15,0.0,0.42,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[563, 127, 147, 189]",0.62,0.0,0.14,0.0,0.22,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[524, 135, 144, 190]",0.48,0.0,0.13,0.02,0.25,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[559, 133, 147, 188]",0.82,0.0,0.06,0.0,0.11,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[589, 118, 147, 192]",0.42,0.0,0.21,0.0,0.3,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[552, 101, 139, 175]",0.27,0.0,0.19,0.0,0.51,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[546, 101, 150, 195]",0.4,0.0,0.23,0.0,0.27,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[531, 108, 144, 188]",0.45,0.02,0.24,0.0,0.18,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
