,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[293, 71, 88, 109]",0.05,0.0,0.05,0.45,0.01,0.01,0.43,"[592, 223, 39, 51]",0.0,0.0,0.0,0.96,0.01,0.0,0.02,"[510, 293, 25, 31]",0.04,0.0,0.02,0.41,0.36,0.0,0.17,"[491, 137, 19, 25]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,"[538, 203, 16, 21]",0.01,0.0,0.04,0.07,0.3,0.0,0.57
1,"[275, 84, 84, 106]",0.54,0.0,0.05,0.07,0.06,0.01,0.27,"[593, 223, 39, 51]",0.01,0.0,0.01,0.93,0.02,0.0,0.03,"[510, 291, 24, 32]",0.06,0.0,0.02,0.39,0.18,0.0,0.35,"[492, 137, 19, 24]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,"[538, 203, 16, 21]",0.02,0.0,0.03,0.15,0.26,0.0,0.54
2,"[262, 66, 86, 105]",0.02,0.0,0.69,0.01,0.02,0.25,0.02,"[593, 223, 39, 51]",0.01,0.0,0.01,0.93,0.02,0.0,0.03,"[510, 291, 24, 32]",0.06,0.0,0.02,0.39,0.18,0.0,0.35,"[492, 137, 19, 24]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,"[538, 203, 16, 21]",0.02,0.0,0.03,0.15,0.26,0.0,0.54
3,"[265, 73, 85, 104]",0.03,0.0,0.22,0.0,0.17,0.1,0.48,"[593, 223, 39, 51]",0.01,0.0,0.01,0.93,0.02,0.0,0.03,"[510, 291, 24, 32]",0.06,0.0,0.02,0.39,0.18,0.0,0.35,"[492, 137, 19, 24]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,"[538, 203, 16, 21]",0.02,0.0,0.03,0.15,0.26,0.0,0.54
4,"[269, 69, 88, 109]",0.06,0.0,0.54,0.0,0.07,0.2,0.13,"[593, 223, 39, 51]",0.01,0.0,0.01,0.93,0.02,0.0,0.03,"[510, 291, 24, 32]",0.06,0.0,0.02,0.4,0.18,0.0,0.34,"[492, 137, 19, 24]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,"[538, 203, 16, 21]",0.02,0.0,0.03,0.15,0.26,0.0,0.54
5,"[278, 72, 88, 107]",0.14,0.0,0.07,0.01,0.09,0.01,0.68,"[592, 224, 38, 49]",0.0,0.0,0.0,0.96,0.01,0.0,0.02,"[509, 293, 24, 30]",0.08,0.0,0.02,0.19,0.25,0.0,0.45,"[492, 137, 18, 25]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[538, 203, 16, 21]",0.02,0.0,0.04,0.1,0.33,0.0,0.51
6,"[253, 72, 92, 114]",0.35,0.0,0.08,0.02,0.22,0.02,0.3,"[592, 224, 38, 49]",0.0,0.0,0.0,0.97,0.01,0.0,0.02,"[509, 293, 24, 30]",0.08,0.0,0.02,0.18,0.25,0.0,0.45,"[492, 137, 18, 25]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[538, 203, 16, 21]",0.02,0.0,0.04,0.1,0.33,0.0,0.51
7,"[297, 62, 90, 110]",0.1,0.0,0.67,0.01,0.02,0.05,0.14,"[593, 224, 37, 50]",0.01,0.0,0.01,0.92,0.03,0.0,0.04,"[510, 292, 24, 30]",0.11,0.0,0.02,0.21,0.24,0.0,0.43,"[491, 137, 19, 25]",0.01,0.0,0.0,0.97,0.0,0.0,0.02,"[538, 202, 18, 23]",0.04,0.0,0.02,0.18,0.34,0.0,0.41
8,"[271, 71, 82, 99]",0.06,0.0,0.61,0.0,0.13,0.07,0.13,"[592, 224, 38, 50]",0.01,0.0,0.01,0.92,0.02,0.0,0.04,"[492, 137, 18, 24]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,"[538, 203, 17, 21]",0.04,0.0,0.04,0.16,0.32,0.0,0.44,,,,,,,,
9,"[257, 75, 88, 106]",0.05,0.0,0.43,0.0,0.18,0.02,0.32,"[592, 224, 38, 50]",0.01,0.0,0.01,0.92,0.02,0.0,0.04,"[492, 137, 18, 24]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,"[538, 203, 17, 21]",0.04,0.0,0.04,0.16,0.32,0.0,0.44,,,,,,,,
