,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[539, 132, 209, 261]",0.15,0.0,0.02,0.03,0.07,0.01,0.72,,,,,,,,
1,"[533, 114, 212, 267]",0.09,0.0,0.02,0.03,0.5,0.0,0.36,,,,,,,,
2,"[564, 120, 211, 275]",0.43,0.0,0.04,0.01,0.26,0.0,0.26,"[1204, 444, 29, 35]",0.06,0.0,0.04,0.18,0.65,0.01,0.05
3,"[564, 121, 207, 270]",0.39,0.0,0.04,0.0,0.39,0.0,0.17,,,,,,,,
4,"[548, 141, 216, 272]",0.39,0.11,0.04,0.0,0.37,0.0,0.09,,,,,,,,
5,"[514, 135, 206, 267]",0.22,0.0,0.02,0.03,0.52,0.0,0.2,,,,,,,,
6,"[545, 117, 207, 264]",0.24,0.0,0.03,0.01,0.54,0.0,0.17,,,,,,,,
7,"[561, 109, 208, 270]",0.32,0.0,0.06,0.0,0.48,0.0,0.14,,,,,,,,
8,"[552, 114, 210, 273]",0.28,0.0,0.05,0.0,0.47,0.0,0.18,,,,,,,,
9,"[534, 126, 219, 276]",0.43,0.0,0.02,0.01,0.34,0.0,0.19,,,,,,,,
10,"[563, 114, 218, 283]",0.36,0.03,0.04,0.01,0.45,0.0,0.11,,,,,,,,
11,"[587, 105, 198, 263]",0.24,0.0,0.06,0.0,0.3,0.0,0.39,,,,,,,,
12,"[556, 112, 204, 264]",0.18,0.0,0.03,0.0,0.21,0.01,0.57,,,,,,,,
13,"[560, 121, 197, 256]",0.19,0.0,0.06,0.0,0.5,0.0,0.25,,,,,,,,
14,"[562, 112, 199, 265]",0.27,0.0,0.07,0.03,0.48,0.0,0.15,,,,,,,,
15,"[602, 111, 200, 269]",0.4,0.0,0.05,0.01,0.16,0.0,0.39,,,,,,,,
16,"[606, 96, 205, 280]",0.64,0.0,0.05,0.0,0.27,0.0,0.04,,,,,,,,
17,"[594, 116, 207, 263]",0.21,0.02,0.03,0.01,0.18,0.0,0.55,,,,,,,,
18,"[582, 126, 207, 269]",0.35,0.02,0.05,0.0,0.46,0.0,0.11,,,,,,,,
19,"[618, 105, 210, 268]",0.19,0.0,0.03,0.0,0.32,0.0,0.45,,,,,,,,
20,"[639, 112, 204, 260]",0.28,0.01,0.03,0.0,0.16,0.0,0.52,,,,,,,,
21,"[656, 111, 204, 274]",0.22,0.0,0.03,0.01,0.53,0.0,0.22,,,,,,,,
22,"[641, 115, 212, 271]",0.2,0.0,0.02,0.0,0.29,0.0,0.47,,,,,,,,
23,"[665, 116, 201, 275]",0.25,0.0,0.03,0.0,0.57,0.0,0.14,,,,,,,,
24,"[646, 125, 207, 274]",0.24,0.01,0.05,0.0,0.54,0.0,0.15,,,,,,,,
25,"[593, 128, 206, 265]",0.3,0.02,0.05,0.01,0.36,0.0,0.25,,,,,,,,
26,"[617, 115, 205, 260]",0.11,0.0,0.02,0.01,0.13,0.0,0.73,,,,,,,,
27,"[650, 115, 204, 269]",0.39,0.0,0.05,0.0,0.34,0.0,0.22,,,,,,,,
28,"[628, 119, 214, 268]",0.33,0.0,0.03,0.01,0.53,0.0,0.1,,,,,,,,
29,"[589, 125, 211, 273]",0.29,0.0,0.04,0.01,0.4,0.01,0.25,,,,,,,,
30,"[698, 141, 200, 270]",0.42,0.04,0.03,0.0,0.43,0.0,0.06,,,,,,,,
31,"[656, 113, 205, 264]",0.18,0.0,0.07,0.01,0.4,0.0,0.35,,,,,,,,
32,"[576, 134, 213, 269]",0.28,0.0,0.02,0.0,0.33,0.0,0.36,,,,,,,,
33,"[650, 121, 204, 264]",0.1,0.0,0.02,0.06,0.23,0.01,0.59,,,,,,,,
34,"[620, 123, 210, 277]",0.17,0.0,0.02,0.0,0.75,0.0,0.06,,,,,,,,
35,"[616, 125, 208, 262]",0.31,0.02,0.03,0.04,0.26,0.02,0.33,,,,,,,,
36,"[642, 116, 210, 270]",0.21,0.0,0.03,0.01,0.48,0.0,0.27,,,,,,,,
37,"[657, 121, 209, 275]",0.4,0.06,0.05,0.0,0.42,0.0,0.06,,,,,,,,
38,"[628, 109, 206, 274]",0.16,0.0,0.06,0.01,0.6,0.0,0.17,"[1131, 421, 39, 39]",0.07,0.0,0.02,0.1,0.21,0.01,0.6
39,"[614, 111, 217, 272]",0.21,0.0,0.03,0.01,0.28,0.0,0.46,,,,,,,,
40,"[609, 112, 211, 275]",0.46,0.0,0.04,0.01,0.19,0.0,0.31,,,,,,,,
41,"[608, 116, 206, 266]",0.33,0.01,0.04,0.01,0.26,0.0,0.35,,,,,,,,
42,"[625, 126, 210, 263]",0.14,0.0,0.03,0.0,0.33,0.0,0.49,,,,,,,,
43,"[631, 127, 206, 262]",0.21,0.0,0.02,0.02,0.21,0.01,0.54,,,,,,,,
44,"[639, 109, 202, 268]",0.15,0.0,0.04,0.01,0.61,0.0,0.2,,,,,,,,
45,"[636, 112, 209, 267]",0.24,0.0,0.04,0.01,0.37,0.01,0.32,,,,,,,,
46,"[652, 109, 202, 264]",0.21,0.0,0.03,0.0,0.23,0.01,0.52,,,,,,,,
47,"[634, 120, 207, 267]",0.29,0.0,0.05,0.01,0.25,0.0,0.39,,,,,,,,
48,"[621, 122, 214, 274]",0.43,0.0,0.03,0.0,0.4,0.0,0.14,,,,,,,,
49,"[619, 110, 206, 273]",0.22,0.0,0.04,0.04,0.29,0.0,0.41,,,,,,,,
50,"[618, 114, 195, 257]",0.22,0.0,0.03,0.0,0.27,0.0,0.48,,,,,,,,
51,"[642, 112, 213, 269]",0.31,0.01,0.07,0.01,0.26,0.0,0.34,,,,,,,,
52,"[675, 106, 208, 268]",0.36,0.0,0.04,0.0,0.2,0.0,0.4,,,,,,,,
53,"[661, 116, 204, 265]",0.2,0.0,0.04,0.03,0.27,0.01,0.46,,,,,,,,
54,"[648, 111, 209, 268]",0.35,0.0,0.08,0.0,0.25,0.0,0.31,,,,,,,,
55,"[644, 117, 211, 276]",0.34,0.0,0.04,0.0,0.51,0.0,0.1,,,,,,,,
56,"[650, 113, 204, 273]",0.28,0.0,0.04,0.01,0.57,0.0,0.1,,,,,,,,
57,"[656, 121, 200, 260]",0.12,0.0,0.06,0.02,0.26,0.0,0.55,,,,,,,,
58,"[640, 118, 206, 264]",0.14,0.0,0.01,0.05,0.14,0.0,0.65,,,,,,,,
59,"[615, 124, 206, 271]",0.31,0.0,0.04,0.0,0.33,0.0,0.32,,,,,,,,
60,"[646, 116, 210, 276]",0.28,0.0,0.04,0.01,0.43,0.01,0.23,,,,,,,,
61,"[625, 114, 217, 276]",0.17,0.0,0.02,0.01,0.73,0.0,0.07,,,,,,,,
62,"[605, 123, 213, 266]",0.16,0.0,0.02,0.0,0.17,0.0,0.65,,,,,,,,
63,"[647, 110, 204, 270]",0.14,0.0,0.03,0.0,0.61,0.0,0.21,"[1106, 209, 31, 38]",0.04,0.0,0.06,0.79,0.09,0.0,0.02
64,"[613, 123, 210, 267]",0.24,0.0,0.01,0.01,0.42,0.0,0.31,,,,,,,,
65,"[590, 123, 209, 264]",0.34,0.0,0.03,0.0,0.14,0.0,0.48,,,,,,,,
66,"[659, 107, 202, 266]",0.28,0.0,0.03,0.01,0.08,0.01,0.58,,,,,,,,
