,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[317, 58, 57, 73]",0.01,0.0,0.01,0.38,0.04,0.01,0.55
1,"[314, 59, 58, 73]",0.01,0.0,0.0,0.93,0.0,0.0,0.06
2,"[315, 67, 58, 75]",0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,"[315, 56, 55, 72]",0.06,0.0,0.02,0.86,0.02,0.0,0.04
4,"[316, 62, 58, 76]",0.01,0.0,0.01,0.09,0.04,0.02,0.84
5,"[316, 60, 55, 71]",0.03,0.0,0.01,0.29,0.04,0.0,0.62
6,"[313, 59, 56, 75]",0.06,0.0,0.01,0.06,0.05,0.0,0.81
7,"[317, 59, 57, 70]",0.17,0.0,0.06,0.35,0.14,0.0,0.27
8,"[315, 61, 59, 80]",0.14,0.0,0.04,0.29,0.12,0.04,0.35
9,"[311, 68, 54, 69]",0.42,0.04,0.05,0.22,0.1,0.0,0.17
10,"[321, 71, 55, 75]",0.01,0.0,0.01,0.18,0.02,0.0,0.78
11,"[309, 72, 56, 74]",0.03,0.01,0.01,0.03,0.03,0.02,0.86
12,"[123, 94, 76, 104]",0.04,0.0,0.01,0.03,0.03,0.0,0.9
13,"[104, 93, 81, 106]",0.01,0.0,0.01,0.14,0.01,0.0,0.84
14,"[152, 88, 83, 109]",0.14,0.01,0.09,0.62,0.05,0.01,0.08
15,"[166, 87, 77, 104]",0.01,0.0,0.0,0.19,0.0,0.0,0.8
16,"[315, 39, 68, 91]",0.02,0.0,0.0,0.14,0.02,0.01,0.8
17,"[320, 39, 70, 94]",0.15,0.01,0.05,0.55,0.09,0.0,0.15
18,"[311, 37, 72, 93]",0.0,0.0,0.0,0.99,0.0,0.0,0.01
19,"[319, 33, 67, 89]",0.08,0.0,0.08,0.22,0.11,0.09,0.42
20,"[319, 43, 70, 94]",0.05,0.01,0.01,0.14,0.03,0.03,0.74
21,"[322, 33, 68, 90]",0.1,0.0,0.11,0.05,0.08,0.45,0.2
22,"[314, 33, 70, 93]",0.52,0.0,0.13,0.0,0.02,0.25,0.07
23,"[316, 43, 66, 86]",0.04,0.0,0.01,0.01,0.04,0.0,0.89
24,"[322, 33, 68, 88]",0.18,0.0,0.06,0.59,0.03,0.03,0.12
25,"[322, 32, 69, 91]",0.03,0.0,0.02,0.14,0.07,0.01,0.72
26,"[315, 39, 66, 86]",0.09,0.0,0.0,0.06,0.01,0.0,0.83
27,"[313, 42, 69, 94]",0.05,0.0,0.04,0.0,0.03,0.34,0.54
28,"[321, 39, 67, 88]",0.05,0.0,0.03,0.03,0.18,0.0,0.7
29,"[320, 39, 70, 93]",0.06,0.0,0.02,0.37,0.04,0.08,0.43
30,"[317, 39, 69, 93]",0.07,0.0,0.12,0.02,0.03,0.48,0.29
31,"[315, 34, 69, 93]",0.06,0.0,0.02,0.13,0.05,0.1,0.64
32,"[323, 45, 69, 92]",0.02,0.0,0.02,0.06,0.04,0.07,0.79
33,"[162, 75, 81, 100]",0.09,0.0,0.04,0.52,0.04,0.0,0.31
34,"[155, 76, 80, 105]",0.04,0.0,0.0,0.01,0.01,0.0,0.94
35,"[147, 80, 82, 102]",0.2,0.0,0.03,0.28,0.02,0.0,0.47
36,"[153, 76, 77, 103]",0.15,0.0,0.05,0.03,0.04,0.08,0.64
37,"[323, 32, 70, 96]",0.06,0.0,0.23,0.21,0.2,0.24,0.06
38,"[323, 37, 68, 89]",0.01,0.0,0.03,0.11,0.1,0.02,0.72
39,"[326, 33, 67, 84]",0.01,0.0,0.01,0.98,0.0,0.0,0.0
40,"[321, 29, 69, 89]",0.18,0.0,0.11,0.1,0.37,0.06,0.18
41,"[325, 42, 70, 89]",0.04,0.0,0.01,0.03,0.09,0.01,0.82
42,"[319, 41, 69, 94]",0.02,0.0,0.01,0.72,0.0,0.2,0.05
43,"[318, 47, 68, 89]",0.12,0.04,0.09,0.03,0.19,0.01,0.53
44,"[324, 38, 68, 90]",0.01,0.0,0.01,0.25,0.02,0.04,0.67
45,"[320, 31, 69, 96]",0.04,0.0,0.13,0.11,0.04,0.45,0.23
46,"[314, 36, 70, 90]",0.12,0.0,0.05,0.21,0.25,0.09,0.27
47,"[315, 41, 67, 86]",0.07,0.0,0.04,0.03,0.08,0.0,0.78
48,"[324, 31, 67, 90]",0.23,0.0,0.07,0.3,0.06,0.09,0.26
49,"[323, 33, 68, 91]",0.03,0.0,0.04,0.14,0.04,0.11,0.63
50,"[323, 42, 66, 88]",0.07,0.0,0.0,0.01,0.11,0.0,0.8
51,"[320, 39, 71, 101]",0.0,0.0,0.01,0.38,0.0,0.58,0.03
52,"[324, 30, 68, 92]",0.01,0.0,0.02,0.63,0.02,0.15,0.17
53,"[323, 38, 66, 85]",0.05,0.0,0.06,0.05,0.06,0.1,0.69
54,"[327, 36, 67, 91]",0.0,0.0,0.0,0.64,0.01,0.0,0.34
55,"[309, 39, 66, 85]",0.44,0.0,0.07,0.02,0.14,0.0,0.32
56,"[325, 31, 66, 90]",0.02,0.0,0.04,0.05,0.02,0.22,0.66
57,"[309, 30, 79, 109]",0.2,0.0,0.11,0.01,0.06,0.0,0.62
58,"[288, 37, 81, 109]",0.09,0.0,0.05,0.05,0.01,0.01,0.78
59,"[275, 51, 79, 109]",0.07,0.0,0.08,0.17,0.06,0.0,0.62
60,"[269, 58, 78, 108]",0.04,0.0,0.06,0.25,0.02,0.02,0.61
61,"[256, 52, 82, 112]",0.25,0.0,0.04,0.1,0.01,0.02,0.58
62,"[315, 40, 69, 93]",0.02,0.0,0.01,0.75,0.13,0.01,0.07
63,"[319, 41, 68, 86]",0.11,0.0,0.02,0.04,0.12,0.02,0.69
64,"[317, 44, 64, 82]",0.11,0.0,0.04,0.05,0.1,0.04,0.65
65,"[327, 46, 61, 83]",0.08,0.0,0.01,0.04,0.01,0.01,0.85
66,"[321, 59, 62, 81]",0.03,0.0,0.01,0.37,0.03,0.04,0.52
67,"[318, 47, 62, 80]",0.1,0.0,0.04,0.32,0.06,0.02,0.45
68,"[327, 46, 60, 80]",0.1,0.0,0.16,0.07,0.09,0.2,0.38
69,"[323, 46, 59, 83]",0.07,0.0,0.12,0.28,0.13,0.35,0.05
70,"[323, 48, 61, 80]",0.04,0.0,0.02,0.06,0.03,0.13,0.73
71,"[323, 51, 61, 84]",0.16,0.0,0.14,0.01,0.12,0.48,0.1
72,"[327, 45, 60, 82]",0.1,0.0,0.23,0.26,0.18,0.17,0.05
73,"[324, 49, 60, 80]",0.03,0.0,0.03,0.72,0.17,0.01,0.05
74,"[326, 57, 59, 78]",0.07,0.0,0.02,0.03,0.06,0.0,0.82
75,"[332, 50, 62, 85]",0.02,0.0,0.02,0.17,0.03,0.12,0.64
76,"[320, 48, 62, 83]",0.09,0.0,0.11,0.11,0.46,0.11,0.11
77,"[326, 54, 60, 81]",0.04,0.0,0.01,0.45,0.08,0.02,0.39
78,"[328, 51, 60, 81]",0.01,0.0,0.0,0.02,0.01,0.0,0.96
79,"[332, 49, 58, 74]",0.02,0.0,0.02,0.78,0.02,0.0,0.16
80,"[327, 56, 61, 80]",0.01,0.0,0.01,0.22,0.02,0.01,0.73
81,"[331, 53, 61, 81]",0.01,0.0,0.02,0.76,0.02,0.1,0.1
82,"[340, 62, 59, 78]",0.0,0.0,0.0,0.51,0.0,0.01,0.47
83,"[328, 45, 61, 79]",0.11,0.0,0.07,0.46,0.1,0.07,0.2
84,"[322, 54, 65, 84]",0.04,0.0,0.06,0.12,0.17,0.23,0.39
85,"[332, 46, 57, 73]",0.11,0.0,0.07,0.25,0.13,0.04,0.41
86,"[324, 67, 62, 81]",0.01,0.0,0.0,0.02,0.01,0.01,0.95
87,"[320, 54, 62, 78]",0.0,0.0,0.0,0.2,0.01,0.0,0.79
88,"[327, 48, 62, 85]",0.0,0.0,0.0,0.98,0.0,0.02,0.0
89,"[332, 56, 61, 82]",0.02,0.0,0.01,0.51,0.01,0.1,0.35
90,"[317, 48, 60, 75]",0.13,0.0,0.03,0.03,0.19,0.0,0.63
91,"[319, 54, 64, 82]",0.01,0.0,0.02,0.66,0.04,0.01,0.25
92,"[322, 58, 59, 81]",0.01,0.0,0.01,0.24,0.01,0.12,0.62
93,"[325, 52, 57, 75]",0.19,0.0,0.13,0.01,0.05,0.04,0.57
94,"[321, 66, 61, 75]",0.02,0.0,0.01,0.01,0.1,0.0,0.85
95,"[316, 76, 63, 87]",0.09,0.0,0.1,0.01,0.08,0.0,0.72
96,"[316, 61, 66, 91]",0.15,0.0,0.16,0.16,0.02,0.06,0.46
97,"[308, 77, 62, 82]",0.08,0.0,0.21,0.01,0.13,0.0,0.57
98,"[315, 71, 67, 87]",0.03,0.0,0.02,0.3,0.03,0.1,0.51
99,"[311, 78, 61, 82]",0.11,0.0,0.08,0.01,0.1,0.02,0.69
100,"[310, 65, 63, 89]",0.07,0.0,0.16,0.18,0.05,0.02,0.53
101,"[322, 50, 59, 81]",0.01,0.0,0.01,0.04,0.0,0.07,0.87
