,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
52,"[579, 106, 138, 183]",0.14,0.0,0.59,0.0,0.03,0.21,0.03,,,,,,,,
53,"[570, 96, 146, 194]",0.33,0.0,0.37,0.0,0.11,0.05,0.14,,,,,,,,
54,"[508, 80, 134, 169]",0.12,0.0,0.61,0.0,0.03,0.24,0.0,,,,,,,,
55,"[538, 96, 145, 191]",0.17,0.0,0.17,0.0,0.25,0.01,0.4,,,,,,,,
56,"[548, 97, 147, 191]",0.22,0.0,0.36,0.0,0.1,0.03,0.29,,,,,,,,
57,"[537, 101, 141, 192]",0.12,0.0,0.69,0.0,0.09,0.01,0.08,,,,,,,,
58,"[520, 83, 136, 186]",0.07,0.0,0.84,0.0,0.01,0.07,0.01,,,,,,,,
59,"[527, 121, 143, 194]",0.23,0.0,0.61,0.01,0.06,0.04,0.06,,,,,,,,
60,"[518, 127, 140, 180]",0.15,0.0,0.7,0.0,0.02,0.07,0.05,,,,,,,,
61,"[532, 100, 139, 184]",0.26,0.0,0.6,0.0,0.04,0.06,0.04,,,,,,,,
62,"[512, 116, 141, 190]",0.29,0.0,0.51,0.01,0.02,0.12,0.05,,,,,,,,
63,"[566, 90, 140, 187]",0.13,0.0,0.71,0.0,0.04,0.02,0.1,,,,,,,,
64,"[563, 104, 140, 188]",0.19,0.0,0.64,0.0,0.02,0.13,0.03,,,,,,,,
65,"[507, 89, 140, 187]",0.02,0.0,0.94,0.0,0.01,0.02,0.01,,,,,,,,
66,"[549, 96, 134, 178]",0.1,0.0,0.58,0.0,0.04,0.24,0.05,,,,,,,,
67,"[539, 101, 141, 187]",0.02,0.0,0.68,0.0,0.03,0.25,0.01,,,,,,,,
68,"[562, 119, 142, 190]",0.3,0.0,0.31,0.0,0.33,0.02,0.04,,,,,,,,
69,"[569, 103, 144, 187]",0.38,0.0,0.12,0.0,0.04,0.23,0.22,,,,,,,,
70,"[559, 92, 142, 191]",0.09,0.0,0.8,0.0,0.03,0.03,0.05,,,,,,,,
71,"[548, 125, 149, 203]",0.17,0.0,0.37,0.0,0.13,0.01,0.32,,,,,,,,
72,"[567, 113, 138, 181]",0.51,0.0,0.22,0.0,0.03,0.21,0.03,,,,,,,,
73,"[560, 114, 137, 182]",0.2,0.0,0.52,0.0,0.02,0.06,0.19,,,,,,,,
74,"[531, 80, 141, 183]",0.22,0.0,0.66,0.0,0.03,0.07,0.02,,,,,,,,
75,"[541, 75, 138, 186]",0.12,0.0,0.69,0.0,0.03,0.11,0.04,,,,,,,,
76,"[530, 96, 139, 187]",0.2,0.0,0.71,0.0,0.03,0.03,0.04,,,,,,,,
77,"[561, 81, 143, 191]",0.08,0.0,0.67,0.0,0.05,0.1,0.09,,,,,,,,
78,"[554, 99, 139, 182]",0.05,0.0,0.87,0.0,0.03,0.03,0.02,,,,,,,,
79,"[534, 126, 140, 181]",0.27,0.0,0.36,0.0,0.18,0.03,0.17,,,,,,,,
80,"[541, 99, 135, 178]",0.34,0.0,0.51,0.0,0.05,0.09,0.02,,,,,,,,
81,"[552, 108, 144, 188]",0.11,0.0,0.31,0.0,0.21,0.02,0.35,,,,,,,,
82,"[567, 96, 136, 187]",0.07,0.0,0.8,0.0,0.01,0.11,0.01,,,,,,,,
83,"[551, 116, 138, 181]",0.06,0.0,0.76,0.0,0.01,0.15,0.01,,,,,,,,
84,"[471, 97, 142, 190]",0.05,0.0,0.86,0.01,0.02,0.04,0.03,,,,,,,,
85,"[586, 89, 145, 189]",0.15,0.0,0.7,0.01,0.04,0.03,0.08,,,,,,,,
86,"[538, 100, 140, 187]",0.17,0.0,0.69,0.0,0.04,0.04,0.06,,,,,,,,
87,"[552, 79, 143, 189]",0.43,0.0,0.08,0.0,0.1,0.0,0.38,,,,,,,,
88,"[554, 89, 138, 185]",0.25,0.0,0.31,0.0,0.08,0.09,0.27,,,,,,,,
89,"[535, 89, 139, 184]",0.07,0.0,0.53,0.0,0.02,0.38,0.01,,,,,,,,
90,"[563, 98, 142, 185]",0.06,0.0,0.03,0.01,0.14,0.0,0.77,,,,,,,,
91,"[565, 96, 136, 183]",0.17,0.0,0.74,0.0,0.02,0.03,0.04,,,,,,,,
92,"[550, 96, 138, 181]",0.33,0.0,0.26,0.0,0.13,0.03,0.27,,,,,,,,
93,"[506, 105, 143, 187]",0.27,0.0,0.55,0.0,0.04,0.07,0.08,,,,,,,,
94,"[576, 115, 143, 182]",0.17,0.0,0.56,0.0,0.12,0.01,0.13,,,,,,,,
95,"[541, 103, 138, 180]",0.18,0.0,0.3,0.0,0.39,0.01,0.12,,,,,,,,
96,"[529, 93, 138, 181]",0.21,0.0,0.44,0.0,0.13,0.15,0.08,,,,,,,,
97,"[577, 126, 146, 196]",0.25,0.0,0.31,0.0,0.13,0.04,0.26,,,,,,,,
98,"[558, 107, 144, 191]",0.14,0.0,0.66,0.05,0.06,0.02,0.07,,,,,,,,
99,"[559, 121, 139, 186]",0.16,0.0,0.71,0.01,0.03,0.05,0.04,,,,,,,,
100,"[567, 98, 138, 184]",0.17,0.0,0.73,0.0,0.02,0.02,0.06,,,,,,,,
101,"[556, 134, 147, 192]",0.18,0.0,0.63,0.0,0.06,0.1,0.03,,,,,,,,
102,"[562, 115, 140, 187]",0.11,0.0,0.82,0.0,0.01,0.04,0.01,,,,,,,,
103,"[584, 118, 135, 178]",0.24,0.0,0.41,0.0,0.1,0.19,0.05,,,,,,,,
104,"[532, 125, 141, 177]",0.16,0.0,0.78,0.0,0.03,0.01,0.01,,,,,,,,
105,"[594, 102, 144, 190]",0.14,0.0,0.73,0.0,0.05,0.01,0.07,,,,,,,,
106,"[556, 93, 137, 179]",0.05,0.0,0.87,0.0,0.04,0.02,0.02,,,,,,,,
107,"[562, 115, 146, 192]",0.13,0.0,0.75,0.0,0.04,0.03,0.06,,,,,,,,
