,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[408, 154, 38, 48]",0.05,0.0,0.01,0.0,0.03,0.0,0.9,"[736, 165, 29, 37]",0.03,0.0,0.02,0.27,0.09,0.0,0.59,"[596, 155, 33, 42]",0.23,0.0,0.02,0.08,0.16,0.0,0.52,"[884, 181, 38, 45]",0.07,0.0,0.01,0.84,0.06,0.0,0.02
1,"[493, 121, 199, 252]",0.1,0.0,0.11,0.0,0.16,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,
2,"[604, 128, 190, 233]",0.02,0.0,0.07,0.0,0.29,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,
3,"[547, 119, 191, 237]",0.05,0.0,0.12,0.01,0.07,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,
4,"[585, 113, 166, 200]",0.12,0.0,0.23,0.0,0.07,0.02,0.57,,,,,,,,,,,,,,,,,,,,,,,,
5,"[560, 87, 187, 242]",0.03,0.0,0.08,0.0,0.21,0.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,
6,"[587, 102, 177, 225]",0.07,0.0,0.11,0.0,0.16,0.01,0.65,,,,,,,,,,,,,,,,,,,,,,,,
7,"[546, 84, 184, 224]",0.04,0.0,0.18,0.0,0.14,0.01,0.63,,,,,,,,,,,,,,,,,,,,,,,,
8,"[577, 95, 185, 234]",0.04,0.0,0.04,0.0,0.09,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,
9,"[538, 84, 187, 235]",0.12,0.0,0.07,0.0,0.07,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,
10,"[595, 116, 192, 256]",0.15,0.0,0.13,0.02,0.21,0.1,0.38,,,,,,,,,,,,,,,,,,,,,,,,
11,"[526, 148, 200, 264]",0.1,0.0,0.04,0.0,0.11,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,
12,"[551, 138, 196, 240]",0.07,0.0,0.07,0.0,0.16,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,
13,"[535, 108, 197, 243]",0.08,0.0,0.05,0.0,0.12,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,
14,"[558, 107, 201, 251]",0.02,0.0,0.04,0.0,0.04,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,
15,"[532, 113, 197, 253]",0.08,0.0,0.14,0.0,0.15,0.03,0.61,,,,,,,,,,,,,,,,,,,,,,,,
16,"[528, 125, 198, 247]",0.02,0.0,0.06,0.0,0.17,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,
17,"[544, 125, 199, 246]",0.02,0.0,0.1,0.0,0.27,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,
18,"[546, 88, 197, 251]",0.07,0.0,0.17,0.0,0.33,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,
19,"[594, 118, 199, 256]",0.22,0.0,0.02,0.0,0.4,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,
20,"[535, 110, 203, 248]",0.04,0.0,0.12,0.0,0.28,0.01,0.56,,,,,,,,,,,,,,,,,,,,,,,,
21,"[560, 112, 199, 243]",0.09,0.0,0.1,0.0,0.21,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,
22,"[518, 109, 202, 245]",0.01,0.0,0.03,0.0,0.02,0.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,
23,"[507, 109, 199, 240]",0.09,0.0,0.03,0.0,0.11,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
24,"[528, 107, 202, 247]",0.09,0.0,0.05,0.0,0.13,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
25,"[518, 119, 196, 241]",0.02,0.0,0.02,0.0,0.05,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,
26,"[529, 114, 196, 245]",0.05,0.0,0.07,0.0,0.12,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,
27,"[530, 126, 194, 244]",0.07,0.0,0.07,0.0,0.14,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,
28,"[528, 110, 200, 250]",0.06,0.0,0.04,0.0,0.28,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,
29,"[531, 106, 197, 246]",0.07,0.0,0.07,0.0,0.14,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,
30,"[519, 102, 197, 245]",0.04,0.0,0.05,0.0,0.1,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,
31,"[539, 102, 196, 244]",0.06,0.0,0.05,0.0,0.15,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
32,"[530, 110, 198, 245]",0.07,0.0,0.07,0.0,0.09,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
33,"[541, 103, 189, 237]",0.21,0.0,0.07,0.0,0.28,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,
34,"[543, 103, 200, 242]",0.03,0.0,0.09,0.0,0.13,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,
35,"[537, 102, 197, 242]",0.06,0.0,0.05,0.0,0.26,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,
36,"[533, 104, 203, 247]",0.05,0.0,0.05,0.0,0.12,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,
37,"[545, 113, 199, 250]",0.06,0.0,0.09,0.0,0.15,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,
38,"[552, 104, 202, 255]",0.02,0.0,0.04,0.0,0.11,0.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,
39,"[537, 102, 200, 244]",0.05,0.0,0.08,0.0,0.15,0.01,0.71,,,,,,,,,,,,,,,,,,,,,,,,
40,"[522, 126, 203, 245]",0.1,0.0,0.03,0.0,0.18,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,
41,"[522, 116, 201, 246]",0.06,0.0,0.04,0.0,0.1,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,
42,"[541, 114, 195, 249]",0.02,0.0,0.05,0.0,0.11,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,
43,"[551, 113, 193, 252]",0.04,0.0,0.06,0.0,0.19,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,
44,"[564, 120, 200, 243]",0.04,0.0,0.08,0.0,0.19,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,
45,"[518, 71, 202, 249]",0.01,0.0,0.1,0.0,0.06,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,
46,"[566, 121, 196, 240]",0.1,0.0,0.02,0.0,0.11,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,
47,"[581, 121, 196, 245]",0.07,0.0,0.07,0.0,0.13,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
48,"[574, 115, 199, 242]",0.1,0.0,0.05,0.0,0.21,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,
49,"[562, 117, 199, 244]",0.07,0.0,0.05,0.0,0.22,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,
50,"[635, 108, 197, 242]",0.04,0.0,0.09,0.0,0.22,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,
51,"[532, 116, 204, 245]",0.03,0.0,0.02,0.0,0.05,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,
52,"[579, 105, 199, 242]",0.14,0.0,0.03,0.0,0.1,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
53,"[627, 86, 201, 260]",0.04,0.0,0.19,0.0,0.19,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,
54,"[602, 131, 200, 243]",0.07,0.0,0.02,0.0,0.14,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
55,"[599, 103, 201, 234]",0.12,0.0,0.03,0.0,0.36,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,
56,"[633, 80, 198, 245]",0.03,0.0,0.13,0.0,0.07,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
57,"[642, 104, 197, 243]",0.04,0.0,0.08,0.0,0.13,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,
58,"[517, 108, 197, 241]",0.13,0.0,0.03,0.0,0.07,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
59,"[557, 128, 198, 249]",0.08,0.0,0.15,0.0,0.14,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,
60,"[582, 95, 197, 247]",0.04,0.0,0.07,0.0,0.1,0.01,0.78,,,,,,,,,,,,,,,,,,,,,,,,
61,"[556, 124, 197, 242]",0.03,0.0,0.05,0.0,0.06,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,
62,"[582, 96, 196, 244]",0.03,0.0,0.05,0.0,0.07,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,
63,"[550, 110, 202, 250]",0.11,0.0,0.06,0.0,0.22,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,
64,"[528, 103, 200, 248]",0.08,0.0,0.08,0.0,0.09,0.01,0.74,,,,,,,,,,,,,,,,,,,,,,,,
65,"[551, 100, 199, 246]",0.03,0.0,0.08,0.0,0.15,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
66,"[580, 80, 196, 249]",0.06,0.0,0.18,0.0,0.18,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,
67,"[568, 78, 200, 242]",0.07,0.0,0.12,0.0,0.22,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,
68,"[604, 99, 201, 249]",0.04,0.0,0.05,0.0,0.13,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
69,"[599, 118, 186, 238]",0.07,0.0,0.08,0.0,0.15,0.01,0.69,,,,,,,,,,,,,,,,,,,,,,,,
70,"[604, 110, 196, 243]",0.05,0.0,0.06,0.0,0.12,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
71,"[609, 112, 198, 244]",0.03,0.0,0.12,0.0,0.15,0.02,0.67,,,,,,,,,,,,,,,,,,,,,,,,
72,"[594, 138, 189, 234]",0.02,0.0,0.05,0.0,0.11,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,
73,"[576, 216, 186, 215]",0.02,0.0,0.19,0.0,0.78,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
74,"[604, 144, 192, 233]",0.07,0.0,0.05,0.0,0.43,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,
75,"[604, 102, 203, 255]",0.06,0.0,0.07,0.0,0.16,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,
76,"[596, 178, 195, 239]",0.02,0.0,0.12,0.0,0.52,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,
77,"[600, 152, 192, 240]",0.02,0.0,0.1,0.0,0.58,0.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,
78,"[598, 119, 201, 246]",0.08,0.0,0.13,0.0,0.28,0.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,
79,"[617, 104, 196, 255]",0.02,0.0,0.07,0.0,0.08,0.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,
80,"[582, 96, 196, 241]",0.04,0.0,0.04,0.0,0.06,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,
81,"[569, 113, 201, 254]",0.07,0.0,0.05,0.0,0.11,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,
82,"[522, 115, 202, 249]",0.04,0.0,0.06,0.0,0.27,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,
83,"[547, 150, 196, 244]",0.06,0.0,0.05,0.0,0.24,0.01,0.64,,,,,,,,,,,,,,,,,,,,,,,,
84,"[501, 122, 203, 248]",0.13,0.0,0.04,0.0,0.11,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,
85,"[497, 121, 197, 237]",0.08,0.0,0.08,0.0,0.15,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,
86,"[512, 123, 189, 236]",0.11,0.0,0.03,0.0,0.13,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,
87,"[514, 109, 200, 255]",0.05,0.0,0.07,0.0,0.07,0.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,
88,"[530, 155, 184, 234]",0.02,0.0,0.13,0.0,0.49,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,
89,"[540, 202, 186, 224]",0.04,0.0,0.13,0.0,0.77,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,
90,"[530, 111, 198, 242]",0.09,0.0,0.05,0.0,0.15,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,
91,"[525, 116, 192, 239]",0.11,0.0,0.19,0.0,0.27,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,
92,"[530, 110, 193, 240]",0.06,0.0,0.05,0.0,0.14,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,
93,"[529, 116, 192, 238]",0.03,0.0,0.13,0.0,0.12,0.01,0.7,,,,,,,,,,,,,,,,,,,,,,,,
94,"[535, 110, 200, 245]",0.03,0.0,0.03,0.0,0.07,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,
95,"[525, 126, 196, 238]",0.08,0.0,0.1,0.0,0.26,0.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,
96,"[521, 120, 195, 236]",0.05,0.0,0.06,0.0,0.1,0.01,0.79,,,,,,,,,,,,,,,,,,,,,,,,
97,"[502, 128, 205, 244]",0.16,0.0,0.04,0.0,0.14,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,
98,"[524, 120, 195, 241]",0.09,0.0,0.08,0.0,0.07,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,
99,"[538, 108, 197, 250]",0.02,0.0,0.06,0.0,0.1,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,
100,"[511, 130, 198, 239]",0.04,0.0,0.13,0.0,0.26,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,
101,"[497, 120, 200, 245]",0.16,0.0,0.16,0.0,0.21,0.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,
102,"[526, 113, 190, 236]",0.04,0.0,0.07,0.0,0.16,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,
103,"[506, 130, 192, 238]",0.04,0.0,0.31,0.0,0.26,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,
104,"[530, 110, 196, 238]",0.04,0.0,0.09,0.0,0.09,0.01,0.78,,,,,,,,,,,,,,,,,,,,,,,,
105,"[526, 208, 188, 225]",0.02,0.0,0.13,0.0,0.82,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
