,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[554, 117, 222, 289]",0.27,0.0,0.05,0.01,0.25,0.0,0.42
1,"[542, 93, 224, 294]",0.1,0.0,0.17,0.02,0.16,0.01,0.54
2,"[525, 105, 231, 308]",0.15,0.0,0.1,0.05,0.05,0.06,0.59
3,"[546, 132, 226, 294]",0.23,0.0,0.05,0.01,0.16,0.01,0.54
4,"[556, 105, 223, 285]",0.15,0.0,0.18,0.03,0.15,0.0,0.49
5,"[524, 105, 238, 317]",0.23,0.0,0.1,0.13,0.14,0.04,0.36
6,"[536, 112, 229, 307]",0.15,0.0,0.16,0.01,0.09,0.03,0.56
7,"[539, 100, 232, 304]",0.21,0.0,0.11,0.01,0.15,0.03,0.48
8,"[539, 97, 228, 304]",0.35,0.0,0.26,0.01,0.25,0.03,0.1
9,"[529, 106, 232, 305]",0.08,0.0,0.15,0.01,0.03,0.04,0.7
10,"[541, 97, 225, 294]",0.15,0.0,0.16,0.01,0.14,0.01,0.54
11,"[545, 101, 223, 288]",0.09,0.0,0.41,0.0,0.31,0.01,0.17
12,"[538, 100, 224, 299]",0.2,0.0,0.21,0.04,0.12,0.02,0.41
13,"[545, 118, 225, 291]",0.09,0.0,0.08,0.04,0.16,0.01,0.62
14,"[536, 113, 231, 310]",0.34,0.0,0.18,0.04,0.04,0.11,0.29
15,"[535, 94, 230, 303]",0.1,0.0,0.09,0.02,0.11,0.0,0.67
16,"[545, 109, 223, 292]",0.12,0.0,0.25,0.01,0.22,0.01,0.4
17,"[543, 93, 228, 295]",0.14,0.0,0.16,0.01,0.23,0.0,0.45
18,"[540, 117, 228, 307]",0.11,0.0,0.07,0.02,0.09,0.01,0.7
19,"[553, 149, 203, 273]",0.6,0.01,0.13,0.0,0.15,0.0,0.11
20,"[538, 112, 226, 298]",0.18,0.0,0.2,0.01,0.25,0.01,0.35
21,"[535, 115, 225, 292]",0.2,0.0,0.07,0.01,0.5,0.0,0.22
22,"[534, 115, 227, 297]",0.1,0.0,0.13,0.01,0.3,0.02,0.46
23,"[536, 105, 228, 294]",0.22,0.0,0.19,0.0,0.38,0.01,0.19
24,"[538, 103, 230, 296]",0.16,0.0,0.18,0.0,0.4,0.0,0.25
25,"[534, 113, 228, 302]",0.18,0.0,0.09,0.01,0.2,0.02,0.5
26,"[543, 107, 227, 301]",0.25,0.0,0.1,0.0,0.37,0.0,0.27
27,"[543, 120, 221, 294]",0.13,0.0,0.12,0.01,0.3,0.0,0.43
28,"[538, 113, 224, 292]",0.09,0.0,0.16,0.0,0.28,0.01,0.46
29,"[537, 114, 228, 303]",0.24,0.0,0.08,0.03,0.16,0.01,0.48
30,"[538, 113, 225, 301]",0.16,0.0,0.05,0.03,0.17,0.01,0.58
31,"[548, 119, 220, 290]",0.2,0.0,0.06,0.04,0.18,0.0,0.52
32,"[547, 112, 227, 301]",0.22,0.0,0.1,0.01,0.16,0.01,0.5
33,"[546, 116, 225, 303]",0.23,0.0,0.04,0.02,0.13,0.0,0.57
34,"[547, 121, 225, 303]",0.23,0.0,0.04,0.04,0.14,0.0,0.53
35,"[544, 113, 233, 311]",0.15,0.0,0.29,0.03,0.19,0.13,0.21
36,"[547, 111, 224, 294]",0.09,0.0,0.27,0.03,0.09,0.01,0.51
37,"[556, 95, 223, 290]",0.06,0.0,0.5,0.01,0.17,0.01,0.25
38,"[547, 111, 222, 288]",0.08,0.0,0.07,0.02,0.12,0.01,0.7
39,"[549, 102, 217, 282]",0.17,0.0,0.35,0.0,0.23,0.02,0.23
40,"[548, 97, 222, 285]",0.21,0.0,0.49,0.01,0.12,0.04,0.13
41,"[550, 116, 224, 287]",0.16,0.0,0.14,0.01,0.16,0.01,0.53
42,"[540, 91, 230, 293]",0.16,0.0,0.12,0.02,0.24,0.0,0.46
43,"[544, 114, 227, 302]",0.08,0.0,0.09,0.0,0.19,0.01,0.62
44,"[541, 116, 230, 306]",0.12,0.0,0.04,0.01,0.11,0.0,0.71
45,"[540, 112, 223, 289]",0.06,0.0,0.12,0.0,0.08,0.02,0.72
46,"[523, 120, 230, 309]",0.18,0.0,0.02,0.06,0.05,0.03,0.66
