,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[550, 97, 141, 183]",0.33,0.0,0.24,0.0,0.28,0.02,0.13,,,,,,,,,,,,,,,,
1,"[530, 74, 140, 177]",0.15,0.0,0.12,0.0,0.61,0.05,0.07,,,,,,,,,,,,,,,,
2,"[544, 87, 141, 196]",0.69,0.0,0.16,0.0,0.06,0.01,0.08,,,,,,,,,,,,,,,,
3,"[526, 85, 137, 177]",0.14,0.0,0.31,0.0,0.48,0.02,0.04,,,,,,,,,,,,,,,,
4,"[523, 85, 140, 180]",0.48,0.0,0.1,0.0,0.2,0.09,0.12,,,,,,,,,,,,,,,,
5,"[537, 72, 131, 174]",0.57,0.0,0.11,0.0,0.24,0.01,0.07,,,,,,,,,,,,,,,,
6,"[525, 66, 138, 177]",0.28,0.0,0.13,0.0,0.59,0.0,0.01,,,,,,,,,,,,,,,,
7,"[594, 97, 136, 173]",0.36,0.0,0.2,0.01,0.29,0.0,0.13,"[658, 294, 23, 29]",0.46,0.01,0.02,0.37,0.09,0.01,0.04,,,,,,,,
8,"[579, 81, 139, 180]",0.54,0.0,0.18,0.0,0.09,0.02,0.17,,,,,,,,,,,,,,,,
9,"[575, 88, 138, 175]",0.35,0.0,0.24,0.0,0.25,0.0,0.15,,,,,,,,,,,,,,,,
10,"[552, 102, 136, 180]",0.21,0.0,0.49,0.01,0.13,0.08,0.08,,,,,,,,,,,,,,,,
11,"[551, 96, 139, 190]",0.18,0.0,0.09,0.01,0.38,0.0,0.34,,,,,,,,,,,,,,,,
12,"[561, 92, 145, 190]",0.35,0.0,0.32,0.0,0.24,0.0,0.08,,,,,,,,,,,,,,,,
13,"[514, 106, 128, 167]",0.68,0.01,0.03,0.0,0.26,0.0,0.03,,,,,,,,,,,,,,,,
14,"[496, 94, 139, 182]",0.12,0.0,0.26,0.0,0.49,0.03,0.09,,,,,,,,,,,,,,,,
15,"[493, 88, 135, 182]",0.43,0.0,0.1,0.01,0.26,0.02,0.18,,,,,,,,,,,,,,,,
16,"[513, 82, 140, 194]",0.34,0.0,0.35,0.0,0.28,0.0,0.02,,,,,,,,,,,,,,,,
17,"[491, 89, 131, 177]",0.12,0.0,0.1,0.0,0.66,0.0,0.12,,,,,,,,,,,,,,,,
18,"[485, 76, 142, 181]",0.16,0.01,0.08,0.0,0.56,0.01,0.19,,,,,,,,,,,,,,,,
19,"[466, 91, 130, 170]",0.68,0.0,0.13,0.0,0.15,0.01,0.03,,,,,,,,,,,,,,,,
20,"[503, 83, 134, 186]",0.22,0.0,0.38,0.0,0.37,0.01,0.02,,,,,,,,,,,,,,,,
21,"[482, 78, 129, 172]",0.34,0.0,0.08,0.0,0.51,0.0,0.06,,,,,,,,,,,,,,,,
22,"[495, 71, 143, 191]",0.18,0.0,0.4,0.0,0.36,0.01,0.05,,,,,,,,,,,,,,,,
23,"[491, 77, 137, 170]",0.32,0.01,0.1,0.01,0.36,0.02,0.18,,,,,,,,,,,,,,,,
24,"[495, 82, 134, 179]",0.33,0.0,0.26,0.0,0.34,0.02,0.05,,,,,,,,,,,,,,,,
25,"[490, 90, 137, 183]",0.42,0.0,0.14,0.0,0.33,0.02,0.08,,,,,,,,,,,,,,,,
26,"[481, 85, 135, 176]",0.08,0.0,0.08,0.0,0.82,0.0,0.02,,,,,,,,,,,,,,,,
