,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15
184,"[270, 268, 21, 28]",0.12,0.0,0.1,0.05,0.2,0.05,0.48,"[1071, 267, 22, 30]",0.71,0.0,0.06,0.02,0.1,0.0,0.11,"[89, 275, 23, 26]",0.06,0.0,0.04,0.07,0.76,0.0,0.08,"[1165, 276, 20, 23]",0.06,0.0,0.0,0.77,0.05,0.0,0.11,"[1244, 261, 22, 27]",0.05,0.0,0.03,0.04,0.25,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"[271, 269, 20, 26]",0.09,0.0,0.07,0.01,0.06,0.02,0.74,"[1244, 260, 24, 29]",0.08,0.0,0.02,0.17,0.24,0.0,0.48,"[95, 270, 20, 25]",0.09,0.0,0.05,0.08,0.36,0.01,0.41,"[956, 270, 22, 28]",0.37,0.0,0.2,0.02,0.33,0.0,0.08,"[1166, 276, 20, 24]",0.02,0.0,0.0,0.85,0.03,0.0,0.1,"[1070, 268, 20, 27]",0.9,0.0,0.01,0.01,0.04,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"[271, 271, 22, 28]",0.12,0.0,0.2,0.02,0.42,0.0,0.24,"[92, 266, 20, 25]",0.1,0.0,0.04,0.48,0.15,0.01,0.22,"[956, 271, 21, 27]",0.67,0.0,0.07,0.07,0.17,0.0,0.02,"[1069, 269, 20, 27]",0.86,0.0,0.02,0.01,0.08,0.0,0.02,"[1166, 277, 19, 24]",0.03,0.0,0.0,0.85,0.03,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"[928, 17, 68, 87]",0.09,0.0,0.02,0.0,0.11,0.0,0.77,"[1034, 122, 76, 96]",0.21,0.0,0.07,0.17,0.24,0.01,0.3,"[457, 60, 76, 105]",0.45,0.02,0.13,0.1,0.15,0.03,0.13,"[240, 66, 70, 97]",0.29,0.0,0.13,0.02,0.23,0.05,0.28,"[653, 94, 64, 86]",0.16,0.0,0.11,0.09,0.23,0.04,0.38,"[321, 61, 94, 117]",0.28,0.0,0.06,0.32,0.12,0.0,0.22,"[715, 169, 105, 152]",0.12,0.0,0.16,0.04,0.39,0.02,0.28,"[436, 450, 252, 315]",0.08,0.0,0.08,0.15,0.6,0.01,0.07,"[525, 153, 150, 167]",0.07,0.0,0.04,0.04,0.43,0.0,0.41,"[759, 280, 114, 157]",0.24,0.0,0.2,0.03,0.52,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"[931, 18, 67, 85]",0.07,0.0,0.04,0.0,0.26,0.01,0.62,"[464, 60, 70, 99]",0.31,0.01,0.07,0.21,0.13,0.01,0.26,"[558, 163, 122, 155]",0.07,0.0,0.06,0.4,0.22,0.01,0.25,"[242, 65, 71, 98]",0.18,0.0,0.15,0.06,0.16,0.08,0.36,"[424, 432, 229, 294]",0.02,0.0,0.08,0.01,0.64,0.0,0.25,"[201, 37, 53, 66]",0.11,0.0,0.13,0.24,0.22,0.01,0.29,"[1027, 121, 79, 101]",0.09,0.0,0.1,0.08,0.21,0.0,0.51,"[328, 56, 98, 117]",0.36,0.01,0.06,0.1,0.19,0.01,0.27,"[650, 95, 62, 83]",0.34,0.0,0.14,0.24,0.12,0.05,0.1,"[749, 270, 131, 179]",0.14,0.0,0.47,0.04,0.3,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"[548, 155, 126, 167]",0.91,0.01,0.01,0.0,0.05,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"[628, 103, 124, 150]",0.89,0.01,0.07,0.0,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"[564, 78, 130, 167]",0.9,0.03,0.03,0.01,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"[612, 80, 132, 161]",0.87,0.08,0.02,0.0,0.02,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"[509, 138, 128, 154]",0.8,0.0,0.04,0.0,0.05,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"[459, 131, 119, 155]",0.85,0.01,0.1,0.0,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"[520, 137, 127, 154]",0.9,0.0,0.05,0.0,0.04,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"[463, 157, 123, 161]",0.13,0.02,0.08,0.0,0.76,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"[494, 99, 123, 152]",0.81,0.0,0.09,0.04,0.04,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"[631, 120, 122, 151]",0.96,0.0,0.02,0.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"[606, 76, 127, 155]",0.92,0.04,0.01,0.0,0.02,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"[573, 85, 121, 160]",0.84,0.0,0.07,0.0,0.04,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"[208, 237, 20, 25]",0.45,0.0,0.05,0.03,0.23,0.0,0.24,"[887, 238, 23, 34]",0.78,0.0,0.04,0.01,0.14,0.0,0.03,"[151, 234, 21, 24]",0.46,0.0,0.0,0.17,0.24,0.0,0.13,"[994, 254, 18, 23]",0.26,0.0,0.01,0.55,0.09,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
