,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[218, 157, 118, 159]",0.41,0.01,0.09,0.05,0.35,0.0,0.09,,,,,,,,
1,"[559, 130, 128, 165]",0.23,0.0,0.04,0.01,0.05,0.01,0.65,,,,,,,,
2,"[568, 119, 129, 168]",0.21,0.0,0.11,0.01,0.05,0.05,0.57,,,,,,,,
3,"[562, 122, 132, 174]",0.09,0.0,0.71,0.0,0.05,0.07,0.08,,,,,,,,
4,"[499, 97, 133, 175]",0.15,0.0,0.05,0.0,0.22,0.0,0.59,,,,,,,,
5,"[535, 81, 144, 191]",0.16,0.0,0.28,0.0,0.12,0.04,0.39,,,,,,,,
6,"[527, 103, 139, 180]",0.26,0.0,0.42,0.0,0.05,0.24,0.02,,,,,,,,
7,"[538, 83, 136, 186]",0.12,0.0,0.67,0.0,0.05,0.04,0.12,,,,,,,,
8,"[529, 76, 142, 190]",0.24,0.0,0.47,0.0,0.1,0.01,0.17,,,,,,,,
9,"[522, 81, 137, 177]",0.18,0.0,0.68,0.0,0.09,0.04,0.01,,,,,,,,
10,"[522, 79, 141, 185]",0.16,0.0,0.63,0.0,0.14,0.06,0.01,,,,,,,,
11,"[531, 95, 135, 180]",0.15,0.0,0.62,0.0,0.05,0.08,0.1,,,,,,,,
12,"[538, 122, 138, 185]",0.12,0.0,0.72,0.0,0.07,0.03,0.06,,,,,,,,
13,"[550, 116, 144, 190]",0.26,0.0,0.47,0.0,0.1,0.07,0.1,,,,,,,,
14,"[548, 92, 132, 177]",0.07,0.0,0.73,0.0,0.01,0.17,0.01,,,,,,,,
15,"[480, 88, 152, 201]",0.16,0.0,0.27,0.0,0.04,0.06,0.47,,,,,,,,
16,"[495, 107, 143, 185]",0.26,0.0,0.08,0.0,0.13,0.03,0.5,,,,,,,,
17,"[549, 91, 133, 175]",0.22,0.0,0.38,0.0,0.07,0.06,0.27,,,,,,,,
18,"[525, 100, 134, 176]",0.4,0.0,0.35,0.0,0.13,0.07,0.05,,,,,,,,
19,"[537, 85, 142, 185]",0.07,0.0,0.72,0.0,0.05,0.06,0.09,"[584, 246, 30, 36]",0.08,0.0,0.05,0.51,0.2,0.01,0.15
20,"[545, 88, 134, 181]",0.14,0.0,0.5,0.0,0.01,0.34,0.01,,,,,,,,
21,"[541, 96, 139, 184]",0.14,0.0,0.68,0.0,0.03,0.02,0.13,,,,,,,,
22,"[540, 74, 144, 191]",0.03,0.0,0.43,0.0,0.01,0.51,0.02,,,,,,,,
23,"[545, 95, 137, 181]",0.2,0.0,0.49,0.0,0.02,0.27,0.02,,,,,,,,
24,"[509, 83, 138, 179]",0.15,0.0,0.65,0.0,0.1,0.07,0.03,,,,,,,,
25,"[548, 92, 139, 184]",0.04,0.0,0.93,0.0,0.01,0.01,0.01,,,,,,,,
26,"[545, 82, 144, 196]",0.22,0.0,0.68,0.0,0.04,0.04,0.03,,,,,,,,
27,"[559, 89, 134, 178]",0.19,0.0,0.58,0.0,0.08,0.12,0.03,,,,,,,,
28,"[497, 87, 144, 181]",0.04,0.0,0.85,0.0,0.02,0.08,0.0,,,,,,,,
29,"[537, 101, 137, 186]",0.21,0.0,0.67,0.0,0.04,0.06,0.03,,,,,,,,
30,"[519, 109, 128, 165]",0.07,0.0,0.71,0.0,0.01,0.21,0.0,,,,,,,,
31,"[531, 78, 143, 191]",0.15,0.0,0.71,0.0,0.03,0.07,0.03,,,,,,,,
32,"[529, 95, 138, 186]",0.05,0.0,0.85,0.0,0.0,0.09,0.0,"[574, 264, 29, 36]",0.04,0.0,0.02,0.77,0.08,0.01,0.08
33,"[524, 102, 148, 192]",0.32,0.0,0.28,0.0,0.04,0.26,0.09,,,,,,,,
34,"[553, 85, 138, 181]",0.35,0.0,0.56,0.01,0.02,0.05,0.0,,,,,,,,
35,"[564, 84, 143, 187]",0.12,0.0,0.66,0.0,0.06,0.09,0.07,,,,,,,,
36,"[555, 96, 140, 186]",0.08,0.0,0.6,0.0,0.01,0.3,0.01,,,,,,,,
37,"[568, 96, 137, 181]",0.07,0.0,0.66,0.0,0.01,0.24,0.02,,,,,,,,
38,"[566, 91, 144, 194]",0.17,0.0,0.31,0.0,0.02,0.09,0.41,,,,,,,,
39,"[574, 109, 139, 182]",0.31,0.0,0.48,0.0,0.03,0.11,0.08,,,,,,,,
40,"[570, 96, 146, 194]",0.33,0.0,0.37,0.0,0.11,0.05,0.14,,,,,,,,
41,"[549, 95, 141, 184]",0.04,0.0,0.81,0.0,0.04,0.03,0.07,,,,,,,,
42,"[540, 113, 141, 190]",0.13,0.0,0.63,0.0,0.03,0.08,0.12,,,,,,,,
43,"[539, 119, 143, 190]",0.13,0.0,0.76,0.01,0.01,0.07,0.01,,,,,,,,
44,"[518, 127, 140, 180]",0.15,0.0,0.7,0.0,0.02,0.07,0.05,,,,,,,,
45,"[542, 122, 141, 188]",0.22,0.0,0.6,0.0,0.02,0.14,0.02,,,,,,,,
46,"[565, 84, 141, 185]",0.02,0.0,0.88,0.0,0.06,0.01,0.02,,,,,,,,
47,"[558, 108, 139, 181]",0.2,0.0,0.62,0.0,0.07,0.11,0.01,,,,,,,,
48,"[566, 100, 146, 193]",0.08,0.0,0.6,0.0,0.05,0.02,0.25,,,,,,,,
49,"[557, 107, 142, 201]",0.19,0.0,0.67,0.0,0.07,0.03,0.04,,,,,,,,
50,"[556, 95, 138, 182]",0.32,0.0,0.46,0.0,0.06,0.05,0.11,,,,,,,,
51,"[545, 102, 149, 196]",0.07,0.0,0.85,0.0,0.01,0.05,0.01,,,,,,,,
52,"[567, 113, 138, 181]",0.51,0.0,0.22,0.0,0.03,0.21,0.03,,,,,,,,
53,"[499, 81, 135, 171]",0.03,0.0,0.3,0.0,0.04,0.63,0.0,,,,,,,,
54,"[529, 88, 139, 189]",0.17,0.0,0.75,0.0,0.03,0.03,0.02,,,,,,,,
55,"[516, 95, 139, 182]",0.18,0.0,0.73,0.0,0.03,0.05,0.01,,,,,,,,
56,"[571, 99, 142, 192]",0.05,0.0,0.37,0.0,0.01,0.56,0.0,,,,,,,,
57,"[534, 126, 140, 181]",0.27,0.0,0.36,0.0,0.18,0.03,0.17,,,,,,,,
58,"[545, 83, 139, 183]",0.12,0.0,0.65,0.0,0.02,0.2,0.01,,,,,,,,
59,"[567, 90, 144, 189]",0.11,0.0,0.56,0.0,0.02,0.06,0.25,,,,,,,,
60,"[562, 116, 147, 195]",0.21,0.0,0.13,0.0,0.1,0.01,0.56,,,,,,,,
61,"[566, 112, 146, 192]",0.07,0.0,0.06,0.0,0.38,0.0,0.5,,,,,,,,
62,"[538, 100, 140, 187]",0.17,0.0,0.69,0.0,0.04,0.04,0.06,,,,,,,,
63,"[557, 98, 134, 177]",0.28,0.0,0.55,0.0,0.06,0.05,0.07,,,,,,,,
64,"[549, 100, 135, 179]",0.45,0.0,0.29,0.0,0.04,0.14,0.07,,,,,,,,
65,"[551, 79, 139, 182]",0.12,0.0,0.73,0.0,0.01,0.08,0.07,,,,,,,,
66,"[541, 74, 141, 185]",0.14,0.0,0.74,0.0,0.03,0.02,0.06,,,,,,,,
67,"[550, 96, 138, 181]",0.33,0.0,0.26,0.0,0.13,0.03,0.27,,,,,,,,
68,"[535, 98, 136, 179]",0.17,0.0,0.73,0.0,0.05,0.04,0.01,,,,,,,,
69,"[548, 101, 141, 186]",0.16,0.0,0.61,0.0,0.17,0.02,0.05,,,,,,,,
70,"[558, 109, 140, 190]",0.47,0.0,0.34,0.0,0.08,0.04,0.06,,,,,,,,
71,"[558, 107, 144, 191]",0.14,0.0,0.66,0.05,0.06,0.02,0.07,,,,,,,,
72,"[547, 121, 139, 186]",0.25,0.0,0.5,0.0,0.05,0.11,0.09,,,,,,,,
73,"[554, 119, 146, 197]",0.26,0.0,0.71,0.0,0.02,0.0,0.0,"[611, 293, 35, 40]",0.02,0.0,0.01,0.87,0.03,0.0,0.06
74,"[564, 103, 136, 182]",0.03,0.0,0.93,0.0,0.01,0.03,0.0,,,,,,,,
75,"[569, 114, 140, 186]",0.22,0.0,0.66,0.01,0.03,0.02,0.06,,,,,,,,
76,"[563, 84, 144, 188]",0.13,0.0,0.67,0.0,0.11,0.04,0.04,,,,,,,,
77,"[567, 90, 144, 188]",0.11,0.0,0.73,0.0,0.07,0.03,0.06,,,,,,,,
78,"[508, 95, 141, 190]",0.25,0.0,0.7,0.0,0.02,0.03,0.01,,,,,,,,
79,"[546, 98, 138, 183]",0.1,0.0,0.69,0.05,0.13,0.02,0.01,,,,,,,,
80,"[563, 122, 152, 200]",0.2,0.0,0.49,0.0,0.1,0.05,0.15,,,,,,,,
81,"[547, 129, 148, 199]",0.09,0.0,0.64,0.0,0.14,0.02,0.12,,,,,,,,
82,"[566, 118, 138, 184]",0.04,0.0,0.9,0.0,0.03,0.01,0.02,,,,,,,,
83,"[564, 112, 142, 185]",0.1,0.0,0.83,0.0,0.03,0.03,0.01,,,,,,,,
84,"[574, 110, 146, 194]",0.28,0.0,0.2,0.01,0.05,0.02,0.44,,,,,,,,
85,"[497, 99, 138, 183]",0.16,0.0,0.5,0.0,0.02,0.28,0.04,,,,,,,,
86,"[550, 91, 138, 180]",0.22,0.0,0.69,0.0,0.03,0.03,0.03,,,,,,,,
87,"[538, 103, 141, 185]",0.14,0.0,0.65,0.0,0.02,0.16,0.04,,,,,,,,
88,"[532, 107, 145, 191]",0.12,0.0,0.77,0.0,0.03,0.06,0.03,,,,,,,,
