,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
0,"[1081, 423, 46, 61]",0.16,0.01,0.24,0.04,0.1,0.09,0.37,,,,,,,,
1,"[517, 104, 176, 231]",0.38,0.0,0.18,0.01,0.19,0.01,0.22,"[1086, 428, 46, 57]",0.11,0.0,0.5,0.03,0.12,0.07,0.17
2,"[499, 113, 186, 246]",0.4,0.0,0.06,0.03,0.18,0.01,0.31,"[1081, 435, 47, 60]",0.2,0.01,0.22,0.06,0.28,0.0,0.22
3,"[491, 100, 185, 247]",0.07,0.0,0.15,0.02,0.11,0.0,0.64,"[1071, 428, 49, 66]",0.25,0.0,0.12,0.05,0.14,0.02,0.43
4,"[424, 81, 194, 255]",0.06,0.0,0.24,0.0,0.05,0.02,0.62,,,,,,,,
5,"[1072, 418, 44, 54]",0.38,0.0,0.12,0.11,0.1,0.02,0.28,"[458, 102, 187, 253]",0.13,0.0,0.04,0.01,0.26,0.01,0.56
6,"[1076, 422, 47, 60]",0.2,0.0,0.32,0.01,0.18,0.02,0.26,"[377, 100, 187, 256]",0.22,0.0,0.1,0.43,0.08,0.03,0.13
7,"[1063, 421, 48, 63]",0.12,0.0,0.12,0.13,0.11,0.07,0.44,"[486, 95, 159, 249]",0.41,0.0,0.13,0.05,0.05,0.04,0.31
8,"[1058, 423, 48, 62]",0.05,0.0,0.12,0.02,0.15,0.01,0.65,"[410, 81, 186, 264]",0.34,0.0,0.18,0.15,0.13,0.07,0.13
9,"[1091, 422, 48, 62]",0.15,0.0,0.18,0.11,0.12,0.09,0.35,,,,,,,,
10,"[1061, 417, 49, 64]",0.1,0.0,0.25,0.05,0.18,0.02,0.4,"[384, 83, 198, 247]",0.01,0.0,0.01,0.01,0.0,0.0,0.97
11,"[1075, 420, 47, 61]",0.22,0.01,0.07,0.11,0.05,0.01,0.53,,,,,,,,
12,"[1058, 421, 49, 65]",0.05,0.0,0.23,0.07,0.17,0.04,0.43,"[482, 87, 189, 255]",0.11,0.0,0.14,0.06,0.34,0.02,0.33
13,"[1043, 422, 52, 64]",0.13,0.02,0.12,0.02,0.23,0.03,0.46,"[536, 128, 185, 239]",0.48,0.0,0.09,0.02,0.12,0.07,0.22
14,"[512, 82, 198, 270]",0.19,0.0,0.19,0.01,0.22,0.13,0.26,"[1066, 418, 49, 64]",0.14,0.0,0.28,0.18,0.19,0.08,0.14
15,"[553, 100, 182, 252]",0.28,0.0,0.19,0.02,0.15,0.01,0.35,"[1089, 431, 49, 63]",0.11,0.02,0.19,0.06,0.15,0.02,0.46
16,"[1068, 428, 47, 62]",0.27,0.01,0.11,0.08,0.1,0.02,0.42,"[595, 69, 188, 246]",0.28,0.0,0.06,0.09,0.08,0.01,0.49
17,"[596, 108, 180, 244]",0.48,0.0,0.15,0.01,0.11,0.01,0.24,"[1055, 424, 47, 61]",0.23,0.0,0.35,0.05,0.23,0.08,0.05
18,"[1036, 421, 48, 64]",0.13,0.0,0.25,0.03,0.15,0.02,0.41,"[608, 117, 183, 244]",0.2,0.0,0.12,0.01,0.11,0.04,0.52
19,"[1077, 420, 49, 64]",0.06,0.0,0.14,0.02,0.09,0.06,0.63,"[459, 113, 174, 241]",0.28,0.0,0.08,0.07,0.19,0.19,0.19
20,"[469, 105, 187, 246]",0.18,0.0,0.03,0.12,0.26,0.0,0.4,"[1073, 429, 47, 62]",0.14,0.01,0.44,0.06,0.12,0.06,0.18
21,"[495, 104, 186, 249]",0.05,0.0,0.07,0.03,0.18,0.01,0.65,"[1071, 423, 47, 62]",0.07,0.0,0.52,0.04,0.11,0.03,0.22
22,"[513, 113, 177, 242]",0.32,0.0,0.05,0.03,0.25,0.01,0.34,"[1070, 426, 47, 63]",0.06,0.0,0.43,0.01,0.09,0.05,0.37
23,"[1070, 419, 46, 62]",0.08,0.0,0.06,0.12,0.08,0.02,0.63,"[549, 100, 185, 250]",0.67,0.0,0.07,0.02,0.17,0.01,0.06
24,"[1067, 420, 50, 66]",0.02,0.0,0.04,0.1,0.03,0.02,0.79,,,,,,,,
25,"[1061, 422, 49, 63]",0.04,0.0,0.12,0.04,0.12,0.01,0.66,"[541, 110, 175, 230]",0.16,0.0,0.09,0.03,0.4,0.0,0.3
26,"[1078, 420, 48, 62]",0.07,0.0,0.44,0.03,0.13,0.09,0.23,,,,,,,,
27,"[438, 96, 181, 232]",0.02,0.0,0.01,0.93,0.01,0.01,0.03,"[1077, 420, 50, 65]",0.03,0.0,0.09,0.06,0.16,0.04,0.62
28,"[1083, 428, 46, 61]",0.29,0.0,0.1,0.11,0.09,0.01,0.4,,,,,,,,
29,"[1077, 421, 46, 61]",0.15,0.0,0.06,0.19,0.06,0.05,0.49,,,,,,,,
30,"[525, 96, 188, 248]",0.25,0.0,0.14,0.18,0.19,0.01,0.22,"[1089, 417, 46, 59]",0.17,0.0,0.08,0.21,0.16,0.03,0.37
31,"[1042, 420, 49, 65]",0.03,0.0,0.04,0.05,0.06,0.0,0.82,,,,,,,,
32,"[1082, 414, 47, 59]",0.17,0.0,0.09,0.4,0.13,0.01,0.2,,,,,,,,
33,"[1058, 424, 46, 61]",0.17,0.0,0.11,0.11,0.1,0.02,0.49,,,,,,,,
34,"[1067, 423, 46, 61]",0.04,0.0,0.03,0.09,0.03,0.01,0.8,"[564, 61, 201, 276]",0.13,0.0,0.13,0.05,0.3,0.01,0.38
35,"[1061, 422, 47, 61]",0.11,0.0,0.18,0.06,0.11,0.06,0.49,,,,,,,,
36,"[1071, 423, 48, 64]",0.09,0.0,0.14,0.03,0.16,0.06,0.52,"[464, 64, 187, 263]",0.09,0.0,0.04,0.01,0.07,0.21,0.58
37,"[1098, 432, 48, 64]",0.16,0.01,0.17,0.03,0.31,0.01,0.32,"[534, 102, 184, 254]",0.74,0.0,0.1,0.01,0.06,0.01,0.08
38,"[1077, 419, 49, 64]",0.22,0.01,0.1,0.02,0.08,0.13,0.45,,,,,,,,
39,"[1069, 425, 46, 61]",0.05,0.0,0.06,0.02,0.08,0.02,0.76,"[577, 102, 203, 270]",0.18,0.0,0.21,0.02,0.17,0.02,0.4
40,"[1069, 424, 49, 63]",0.3,0.0,0.26,0.01,0.12,0.04,0.26,,,,,,,,
41,"[1066, 423, 49, 64]",0.08,0.0,0.23,0.06,0.09,0.01,0.54,,,,,,,,
42,"[1040, 428, 48, 66]",0.05,0.0,0.11,0.1,0.09,0.01,0.63,,,,,,,,
43,"[543, 81, 188, 252]",0.09,0.0,0.08,0.05,0.27,0.0,0.5,"[1078, 421, 46, 59]",0.25,0.0,0.27,0.04,0.18,0.04,0.22
44,"[534, 96, 183, 253]",0.19,0.0,0.18,0.01,0.36,0.0,0.26,"[1075, 427, 46, 64]",0.11,0.0,0.22,0.16,0.17,0.07,0.26
45,"[1065, 425, 50, 65]",0.17,0.0,0.25,0.06,0.13,0.03,0.36,"[559, 102, 186, 249]",0.84,0.0,0.08,0.01,0.04,0.0,0.03
46,"[505, 103, 181, 240]",0.22,0.0,0.03,0.05,0.12,0.0,0.57,"[1076, 419, 51, 65]",0.07,0.0,0.21,0.09,0.13,0.03,0.47
47,"[1064, 421, 47, 60]",0.18,0.0,0.49,0.05,0.08,0.09,0.11,"[532, 95, 183, 242]",0.45,0.0,0.28,0.0,0.19,0.02,0.06
48,"[1065, 420, 48, 59]",0.11,0.0,0.08,0.04,0.12,0.0,0.65,"[489, 91, 170, 237]",0.69,0.01,0.09,0.02,0.16,0.0,0.04
49,"[521, 66, 179, 258]",0.84,0.0,0.05,0.0,0.03,0.07,0.01,,,,,,,,
50,"[478, 100, 182, 230]",0.44,0.0,0.01,0.01,0.04,0.0,0.49,,,,,,,,
51,"[544, 103, 186, 259]",0.92,0.0,0.03,0.0,0.03,0.0,0.02,"[1091, 428, 52, 69]",0.23,0.0,0.24,0.05,0.23,0.03,0.22
52,"[530, 96, 176, 242]",0.53,0.0,0.07,0.01,0.25,0.01,0.14,"[1078, 433, 49, 63]",0.25,0.04,0.14,0.09,0.33,0.02,0.14
53,"[522, 101, 177, 234]",0.68,0.0,0.04,0.0,0.25,0.0,0.03,"[1065, 436, 44, 59]",0.49,0.01,0.19,0.06,0.16,0.03,0.05
54,"[502, 107, 178, 228]",0.47,0.0,0.03,0.02,0.2,0.0,0.28,"[1076, 430, 46, 60]",0.12,0.04,0.24,0.06,0.26,0.01,0.27
55,"[1068, 424, 48, 64]",0.16,0.01,0.29,0.08,0.14,0.04,0.28,"[513, 109, 176, 235]",0.36,0.01,0.09,0.1,0.28,0.01,0.17
56,"[1070, 421, 49, 67]",0.09,0.0,0.2,0.04,0.16,0.11,0.41,"[521, 112, 175, 236]",0.58,0.0,0.05,0.05,0.16,0.0,0.16
57,"[537, 80, 183, 251]",0.51,0.0,0.24,0.01,0.16,0.01,0.07,"[1080, 418, 49, 65]",0.19,0.0,0.23,0.02,0.12,0.11,0.33
58,"[531, 115, 189, 254]",0.86,0.0,0.02,0.02,0.05,0.0,0.05,"[1081, 422, 46, 62]",0.22,0.0,0.21,0.04,0.08,0.05,0.4
59,"[546, 119, 186, 251]",0.68,0.0,0.02,0.02,0.14,0.0,0.14,,,,,,,,
60,"[1089, 429, 50, 64]",0.34,0.01,0.3,0.03,0.14,0.1,0.07,"[550, 53, 185, 246]",0.07,0.0,0.14,0.03,0.14,0.23,0.39
61,"[636, 90, 174, 240]",0.27,0.0,0.03,0.01,0.25,0.0,0.43,,,,,,,,
62,"[676, 109, 172, 240]",0.19,0.0,0.03,0.05,0.18,0.01,0.54,"[1073, 421, 47, 62]",0.09,0.02,0.15,0.03,0.1,0.26,0.35
63,"[518, 55, 186, 257]",0.3,0.0,0.18,0.0,0.2,0.07,0.25,"[1061, 421, 50, 65]",0.06,0.0,0.23,0.02,0.09,0.25,0.36
64,"[541, 82, 193, 250]",0.35,0.0,0.17,0.07,0.12,0.01,0.28,"[1072, 419, 49, 63]",0.1,0.0,0.18,0.05,0.11,0.07,0.49
65,"[1061, 422, 47, 61]",0.08,0.0,0.15,0.1,0.2,0.06,0.41,"[490, 69, 188, 258]",0.78,0.0,0.08,0.0,0.12,0.0,0.02
66,"[1061, 419, 45, 57]",0.22,0.01,0.19,0.02,0.1,0.03,0.43,,,,,,,,
67,"[1061, 418, 46, 58]",0.06,0.0,0.05,0.16,0.1,0.01,0.62,"[615, 101, 181, 241]",0.17,0.0,0.06,0.03,0.3,0.01,0.44
68,"[1080, 420, 46, 58]",0.09,0.0,0.08,0.06,0.12,0.01,0.65,"[452, 57, 192, 265]",0.18,0.0,0.06,0.38,0.19,0.0,0.18
69,"[1067, 418, 48, 62]",0.26,0.0,0.3,0.07,0.11,0.02,0.24,"[454, 91, 191, 244]",0.31,0.0,0.13,0.25,0.05,0.0,0.27
70,"[1053, 420, 45, 58]",0.08,0.0,0.16,0.01,0.39,0.0,0.36,,,,,,,,
71,"[1076, 419, 50, 67]",0.13,0.01,0.09,0.07,0.08,0.01,0.62,,,,,,,,
72,"[1094, 419, 47, 63]",0.04,0.0,0.04,0.15,0.05,0.01,0.71,,,,,,,,
73,"[540, 88, 199, 268]",0.33,0.0,0.2,0.0,0.14,0.01,0.32,"[1087, 422, 48, 63]",0.07,0.0,0.18,0.13,0.13,0.16,0.33
74,"[528, 93, 196, 258]",0.53,0.0,0.2,0.01,0.15,0.01,0.11,"[1073, 420, 49, 61]",0.12,0.0,0.12,0.03,0.12,0.05,0.55
75,"[560, 87, 184, 242]",0.4,0.0,0.21,0.0,0.24,0.01,0.13,"[1083, 420, 48, 64]",0.02,0.0,0.06,0.05,0.05,0.06,0.77
76,"[1074, 418, 49, 64]",0.3,0.01,0.4,0.04,0.05,0.12,0.08,,,,,,,,
77,"[1080, 423, 49, 66]",0.1,0.01,0.15,0.08,0.1,0.12,0.44,"[570, 89, 176, 229]",0.14,0.0,0.05,0.09,0.08,0.0,0.64
78,"[1065, 418, 47, 59]",0.15,0.0,0.12,0.11,0.09,0.01,0.52,"[626, 79, 193, 263]",0.16,0.0,0.12,0.05,0.51,0.01,0.15
79,"[1043, 429, 48, 59]",0.09,0.0,0.26,0.09,0.18,0.01,0.36,,,,,,,,
80,"[1086, 419, 46, 61]",0.17,0.01,0.3,0.01,0.11,0.18,0.23,,,,,,,,
81,"[489, 100, 181, 244]",0.5,0.01,0.11,0.02,0.16,0.05,0.16,"[1067, 419, 51, 65]",0.04,0.0,0.07,0.21,0.07,0.08,0.52
82,"[1075, 421, 49, 65]",0.03,0.0,0.08,0.07,0.06,0.05,0.71,"[472, 80, 188, 258]",0.58,0.0,0.18,0.02,0.13,0.04,0.05
83,"[1074, 433, 47, 62]",0.14,0.0,0.03,0.39,0.2,0.0,0.24,"[482, 83, 186, 264]",0.4,0.02,0.21,0.0,0.14,0.15,0.09
84,"[477, 106, 184, 246]",0.55,0.08,0.08,0.06,0.09,0.02,0.12,"[1076, 423, 47, 63]",0.18,0.04,0.25,0.04,0.12,0.09,0.28
85,"[479, 108, 176, 242]",0.66,0.01,0.08,0.03,0.12,0.0,0.1,"[1043, 436, 50, 64]",0.29,0.0,0.04,0.12,0.14,0.0,0.41
