,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
0,"[590, 133, 102, 132]",0.08,0.0,0.08,0.0,0.14,0.01,0.69
1,"[615, 123, 95, 124]",0.45,0.0,0.02,0.02,0.11,0.01,0.38
2,"[616, 126, 95, 128]",0.63,0.01,0.03,0.05,0.05,0.0,0.23
3,"[618, 116, 95, 124]",0.6,0.0,0.15,0.02,0.1,0.0,0.13
4,"[618, 120, 94, 122]",0.03,0.0,0.01,0.04,0.06,0.0,0.85
5,"[619, 119, 97, 125]",0.19,0.0,0.04,0.01,0.15,0.0,0.61
6,"[621, 114, 97, 128]",0.22,0.0,0.04,0.14,0.13,0.0,0.47
7,"[620, 117, 103, 131]",0.2,0.0,0.03,0.03,0.31,0.0,0.42
8,"[621, 117, 98, 126]",0.14,0.0,0.04,0.1,0.09,0.0,0.63
9,"[628, 122, 95, 125]",0.16,0.0,0.02,0.01,0.08,0.0,0.73
10,"[620, 119, 94, 124]",0.09,0.01,0.02,0.01,0.05,0.0,0.82
11,"[624, 125, 94, 120]",0.52,0.0,0.03,0.01,0.14,0.0,0.31
12,"[617, 117, 100, 132]",0.2,0.0,0.05,0.01,0.14,0.01,0.59
13,"[609, 116, 103, 134]",0.54,0.0,0.03,0.02,0.19,0.0,0.2
14,"[617, 121, 96, 127]",0.64,0.09,0.04,0.07,0.06,0.01,0.09
15,"[615, 121, 98, 134]",0.91,0.0,0.0,0.03,0.01,0.0,0.04
16,"[602, 125, 97, 127]",0.34,0.0,0.01,0.0,0.16,0.0,0.49
17,"[599, 119, 106, 139]",0.3,0.01,0.01,0.52,0.01,0.0,0.14
18,"[609, 111, 91, 118]",0.96,0.0,0.01,0.01,0.02,0.0,0.0
19,"[610, 113, 94, 117]",0.17,0.01,0.09,0.11,0.08,0.01,0.53
20,"[617, 121, 95, 125]",0.76,0.02,0.01,0.11,0.02,0.0,0.07
21,"[612, 112, 95, 123]",0.88,0.0,0.06,0.01,0.02,0.0,0.03
22,"[613, 115, 95, 123]",0.01,0.0,0.0,0.97,0.0,0.0,0.01
23,"[590, 117, 107, 138]",0.78,0.02,0.07,0.03,0.05,0.0,0.04
24,"[622, 115, 97, 127]",0.62,0.0,0.08,0.01,0.09,0.0,0.2
25,"[599, 113, 101, 134]",0.9,0.01,0.01,0.07,0.01,0.0,0.01
26,"[611, 114, 92, 120]",0.32,0.0,0.05,0.02,0.11,0.0,0.49
27,"[614, 115, 98, 132]",0.16,0.0,0.07,0.01,0.17,0.01,0.59
28,"[615, 120, 91, 121]",0.69,0.0,0.02,0.04,0.07,0.0,0.18
29,"[634, 122, 94, 128]",0.26,0.0,0.07,0.01,0.23,0.0,0.43
30,"[614, 114, 98, 127]",0.67,0.0,0.01,0.02,0.09,0.0,0.22
31,"[586, 127, 103, 131]",0.77,0.0,0.01,0.0,0.14,0.01,0.07
32,"[608, 116, 93, 115]",0.15,0.01,0.05,0.01,0.31,0.0,0.48
33,"[606, 112, 95, 122]",0.12,0.0,0.02,0.01,0.06,0.0,0.78
34,"[608, 112, 97, 127]",0.48,0.0,0.07,0.09,0.09,0.01,0.26
35,"[599, 113, 101, 133]",0.96,0.0,0.01,0.02,0.01,0.0,0.0
36,"[615, 108, 94, 121]",0.47,0.0,0.11,0.21,0.08,0.0,0.13
37,"[606, 112, 95, 124]",0.37,0.0,0.1,0.01,0.06,0.01,0.45
38,"[618, 111, 96, 128]",0.88,0.0,0.02,0.0,0.03,0.0,0.06
39,"[610, 113, 95, 122]",0.25,0.01,0.1,0.05,0.2,0.0,0.39
40,"[613, 111, 99, 133]",0.13,0.0,0.05,0.0,0.12,0.01,0.7
41,"[612, 113, 97, 126]",0.53,0.0,0.12,0.01,0.17,0.0,0.16
42,"[615, 120, 97, 121]",0.25,0.01,0.05,0.05,0.21,0.0,0.42
43,"[618, 112, 93, 123]",0.59,0.0,0.1,0.01,0.09,0.0,0.22
44,"[611, 120, 93, 120]",0.9,0.01,0.04,0.0,0.03,0.0,0.01
45,"[633, 123, 93, 120]",0.45,0.0,0.07,0.0,0.14,0.0,0.33
46,"[643, 123, 101, 138]",0.69,0.0,0.02,0.01,0.06,0.01,0.2
47,"[625, 106, 93, 120]",0.11,0.0,0.25,0.01,0.31,0.0,0.31
48,"[605, 111, 98, 128]",0.32,0.0,0.08,0.05,0.24,0.0,0.31
49,"[610, 114, 98, 127]",0.91,0.0,0.03,0.01,0.02,0.0,0.02
50,"[626, 114, 94, 124]",0.61,0.04,0.11,0.01,0.08,0.0,0.14
51,"[611, 112, 94, 120]",0.17,0.0,0.1,0.01,0.25,0.0,0.48
52,"[621, 111, 96, 128]",0.85,0.01,0.07,0.0,0.05,0.0,0.01
