,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
82,"[540, 67, 203, 254]",0.03,0.0,0.01,0.14,0.02,0.01,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"[513, 78, 203, 253]",0.0,0.0,0.0,0.99,0.0,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"[518, 84, 203, 264]",0.02,0.0,0.01,0.79,0.0,0.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"[509, 138, 207, 258]",0.14,0.0,0.01,0.06,0.02,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"[682, 103, 201, 269]",0.28,0.0,0.03,0.02,0.11,0.07,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"[623, 105, 196, 248]",0.07,0.01,0.08,0.24,0.09,0.02,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"[524, 95, 203, 248]",0.0,0.0,0.01,0.97,0.0,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"[449, 101, 209, 259]",0.02,0.0,0.01,0.82,0.01,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"[538, 94, 202, 257]",0.03,0.0,0.13,0.34,0.15,0.02,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"[455, 155, 199, 257]",0.42,0.01,0.19,0.09,0.13,0.04,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"[599, 148, 206, 258]",0.07,0.01,0.03,0.58,0.05,0.02,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"[501, 111, 201, 257]",0.32,0.0,0.02,0.38,0.04,0.02,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"[612, 107, 195, 249]",0.09,0.0,0.02,0.01,0.05,0.01,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"[592, 156, 213, 297]",0.51,0.0,0.01,0.01,0.04,0.03,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"[569, 43, 204, 260]",0.02,0.0,0.41,0.01,0.27,0.08,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"[614, 124, 198, 258]",0.05,0.0,0.06,0.01,0.27,0.18,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"[478, 71, 211, 266]",0.07,0.0,0.2,0.03,0.22,0.09,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"[486, 103, 192, 244]",0.18,0.02,0.24,0.06,0.13,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"[535, 94, 201, 253]",0.31,0.0,0.03,0.06,0.05,0.05,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"[501, 96, 208, 256]",0.24,0.0,0.04,0.06,0.05,0.3,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"[518, 69, 196, 252]",0.11,0.0,0.28,0.0,0.17,0.04,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"[472, 107, 198, 252]",0.2,0.0,0.16,0.13,0.11,0.05,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"[551, 78, 202, 257]",0.24,0.0,0.11,0.05,0.09,0.18,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"[540, 121, 207, 259]",0.08,0.0,0.02,0.4,0.05,0.02,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"[527, 84, 196, 251]",0.12,0.0,0.06,0.0,0.09,0.01,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"[573, 60, 189, 235]",0.0,0.0,0.11,0.55,0.15,0.03,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"[587, 96, 208, 265]",0.1,0.0,0.02,0.01,0.03,0.01,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"[524, 114, 198, 253]",0.03,0.01,0.01,0.87,0.01,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"[634, 123, 190, 251]",0.2,0.0,0.06,0.0,0.09,0.01,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"[637, 137, 194, 246]",0.07,0.0,0.06,0.1,0.04,0.03,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
