,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
0,"[589, 94, 93, 120]",0.15,0.0,0.02,0.0,0.29,0.0,0.53,,,,,,,,,,,,,,,,
1,"[594, 97, 87, 115]",0.51,0.02,0.03,0.01,0.24,0.0,0.2,,,,,,,,,,,,,,,,
2,"[595, 94, 91, 119]",0.12,0.0,0.04,0.0,0.33,0.0,0.5,"[1107, 488, 35, 44]",0.13,0.0,0.13,0.01,0.03,0.51,0.2,,,,,,,,
3,"[1109, 489, 38, 48]",0.07,0.0,0.09,0.46,0.12,0.03,0.23,,,,,,,,,,,,,,,,
4,"[583, 81, 94, 125]",0.03,0.0,0.06,0.01,0.09,0.01,0.81,"[1109, 489, 34, 45]",0.1,0.0,0.04,0.26,0.03,0.01,0.56,,,,,,,,
5,"[1110, 492, 34, 46]",0.13,0.0,0.06,0.42,0.18,0.01,0.2,"[565, 92, 95, 125]",0.44,0.0,0.19,0.0,0.1,0.0,0.26,,,,,,,,
6,"[1114, 489, 34, 43]",0.15,0.0,0.03,0.29,0.07,0.01,0.44,"[587, 97, 108, 141]",0.17,0.0,0.05,0.0,0.12,0.0,0.66,,,,,,,,
7,"[1113, 489, 35, 45]",0.07,0.0,0.03,0.86,0.01,0.01,0.02,"[592, 109, 113, 147]",0.1,0.0,0.05,0.0,0.4,0.0,0.44,,,,,,,,
8,"[1127, 491, 35, 44]",0.21,0.0,0.08,0.11,0.13,0.01,0.46,"[555, 105, 120, 160]",0.15,0.0,0.15,0.0,0.17,0.01,0.51,,,,,,,,
9,"[1108, 489, 35, 44]",0.04,0.0,0.11,0.11,0.03,0.65,0.05,,,,,,,,,,,,,,,,
10,"[568, 107, 118, 151]",0.05,0.0,0.02,0.0,0.06,0.0,0.86,"[1111, 487, 35, 44]",0.35,0.0,0.08,0.13,0.06,0.08,0.31,,,,,,,,
11,"[573, 104, 119, 155]",0.08,0.0,0.03,0.0,0.09,0.0,0.79,"[1112, 489, 35, 44]",0.03,0.0,0.03,0.78,0.02,0.02,0.12,,,,,,,,
12,"[1112, 489, 37, 48]",0.01,0.0,0.08,0.88,0.0,0.02,0.01,"[561, 102, 118, 155]",0.11,0.0,0.05,0.0,0.08,0.0,0.75,,,,,,,,
13,"[1110, 489, 37, 47]",0.09,0.0,0.2,0.03,0.12,0.19,0.38,"[583, 110, 119, 159]",0.04,0.0,0.02,0.0,0.08,0.0,0.85,,,,,,,,
14,"[587, 100, 119, 155]",0.07,0.0,0.05,0.0,0.75,0.0,0.13,"[1114, 488, 36, 47]",0.01,0.0,0.05,0.78,0.05,0.02,0.08,,,,,,,,
15,"[579, 94, 119, 154]",0.1,0.0,0.06,0.0,0.17,0.0,0.66,"[1117, 488, 36, 47]",0.01,0.0,0.05,0.8,0.03,0.02,0.09,,,,,,,,
16,"[576, 104, 118, 155]",0.17,0.0,0.05,0.0,0.15,0.0,0.62,"[1120, 489, 35, 46]",0.13,0.0,0.18,0.1,0.16,0.13,0.29,,,,,,,,
17,"[567, 101, 120, 155]",0.11,0.0,0.05,0.0,0.08,0.0,0.76,"[1117, 489, 36, 45]",0.02,0.0,0.06,0.73,0.04,0.03,0.12,,,,,,,,
18,"[584, 118, 119, 150]",0.36,0.01,0.01,0.0,0.16,0.0,0.45,"[1121, 489, 36, 47]",0.01,0.0,0.21,0.02,0.02,0.66,0.08,,,,,,,,
19,"[568, 93, 118, 155]",0.26,0.0,0.23,0.0,0.17,0.01,0.33,"[1115, 489, 35, 46]",0.35,0.0,0.06,0.04,0.19,0.07,0.28,,,,,,,,
20,"[1112, 484, 35, 47]",0.11,0.0,0.17,0.41,0.07,0.15,0.08,"[573, 97, 116, 156]",0.17,0.0,0.26,0.0,0.22,0.01,0.34,,,,,,,,
21,"[1107, 483, 34, 46]",0.12,0.0,0.25,0.04,0.15,0.16,0.29,,,,,,,,,,,,,,,,
22,"[1110, 484, 35, 44]",0.01,0.0,0.01,0.86,0.03,0.0,0.08,"[562, 96, 124, 161]",0.23,0.0,0.46,0.0,0.08,0.02,0.21,,,,,,,,
23,"[581, 97, 121, 153]",0.03,0.0,0.03,0.0,0.46,0.0,0.48,"[1119, 483, 35, 46]",0.0,0.0,0.01,0.97,0.0,0.0,0.0,,,,,,,,
24,"[557, 103, 119, 153]",0.07,0.0,0.02,0.0,0.09,0.0,0.81,"[1127, 488, 35, 47]",0.21,0.0,0.12,0.26,0.01,0.4,0.01,,,,,,,,
25,"[1111, 487, 36, 45]",0.05,0.0,0.05,0.14,0.2,0.05,0.51,"[568, 95, 122, 160]",0.29,0.0,0.42,0.0,0.16,0.01,0.12,,,,,,,,
26,"[621, 96, 122, 154]",0.09,0.0,0.06,0.01,0.12,0.0,0.73,"[1104, 488, 35, 44]",0.34,0.0,0.15,0.06,0.14,0.06,0.24,,,,,,,,
