,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
0,"[257, 59, 100, 120]",0.1,0.0,0.33,0.01,0.01,0.52,0.03,"[584, 213, 51, 65]",0.08,0.0,0.03,0.41,0.24,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,
1,"[279, 83, 83, 106]",0.47,0.0,0.05,0.08,0.05,0.01,0.34,"[593, 224, 37, 49]",0.0,0.0,0.0,0.98,0.01,0.0,0.01,"[490, 138, 19, 23]",0.01,0.0,0.0,0.98,0.0,0.0,0.01,"[537, 202, 18, 22]",0.03,0.0,0.05,0.47,0.11,0.0,0.33,,,,,,,,
2,"[263, 69, 87, 107]",0.17,0.0,0.39,0.24,0.03,0.05,0.11,"[593, 224, 37, 49]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,"[490, 138, 19, 23]",0.01,0.0,0.0,0.98,0.0,0.0,0.01,"[537, 202, 18, 22]",0.03,0.0,0.04,0.48,0.11,0.0,0.33,,,,,,,,
3,"[593, 224, 37, 49]",0.0,0.0,0.0,0.98,0.01,0.0,0.01,"[490, 138, 19, 23]",0.01,0.0,0.0,0.98,0.0,0.0,0.01,"[266, 68, 90, 110]",0.03,0.0,0.82,0.0,0.04,0.05,0.06,"[537, 202, 18, 22]",0.03,0.0,0.04,0.49,0.11,0.0,0.32,,,,,,,,
4,"[490, 137, 18, 24]",0.01,0.0,0.0,0.96,0.0,0.0,0.03,"[278, 70, 87, 108]",0.17,0.0,0.05,0.01,0.13,0.04,0.6,"[592, 222, 39, 51]",0.01,0.0,0.0,0.96,0.01,0.0,0.01,"[537, 203, 17, 20]",0.02,0.0,0.04,0.29,0.15,0.01,0.48,,,,,,,,
5,"[490, 137, 18, 24]",0.01,0.0,0.0,0.96,0.0,0.0,0.03,"[269, 66, 84, 108]",0.01,0.0,0.6,0.0,0.0,0.38,0.01,"[594, 223, 37, 49]",0.03,0.0,0.01,0.92,0.03,0.0,0.01,"[537, 203, 17, 20]",0.02,0.0,0.04,0.29,0.15,0.01,0.48,,,,,,,,
6,"[262, 72, 88, 108]",0.5,0.0,0.02,0.37,0.01,0.0,0.1,"[491, 136, 18, 25]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[593, 222, 39, 50]",0.05,0.0,0.02,0.85,0.05,0.0,0.02,"[537, 202, 17, 21]",0.03,0.01,0.04,0.39,0.13,0.0,0.4,,,,,,,,
7,"[264, 72, 86, 103]",0.03,0.0,0.27,0.01,0.23,0.13,0.33,"[491, 136, 18, 25]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[593, 222, 39, 51]",0.02,0.0,0.01,0.94,0.02,0.0,0.01,"[537, 202, 17, 22]",0.02,0.0,0.03,0.5,0.11,0.0,0.33,,,,,,,,
8,"[265, 72, 85, 104]",0.11,0.0,0.43,0.01,0.05,0.06,0.33,"[491, 136, 18, 25]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[593, 222, 39, 51]",0.02,0.0,0.01,0.95,0.01,0.0,0.01,"[537, 202, 17, 22]",0.02,0.0,0.03,0.45,0.13,0.0,0.36,,,,,,,,
9,"[273, 72, 86, 108]",0.53,0.0,0.03,0.32,0.03,0.01,0.08,"[491, 136, 19, 25]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,"[594, 223, 36, 50]",0.01,0.0,0.01,0.97,0.01,0.0,0.01,"[537, 203, 17, 20]",0.03,0.0,0.03,0.17,0.19,0.0,0.58,,,,,,,,
