,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[408, 154, 38, 48]",0.05,0.0,0.01,0.0,0.03,0.0,0.9,"[736, 165, 29, 37]",0.03,0.0,0.02,0.27,0.09,0.0,0.59,"[596, 155, 33, 42]",0.23,0.0,0.02,0.08,0.16,0.0,0.52,"[884, 181, 38, 45]",0.07,0.0,0.01,0.84,0.06,0.0,0.02
1,"[396, 160, 38, 48]",0.07,0.0,0.0,0.0,0.05,0.0,0.88,"[735, 162, 31, 39]",0.24,0.0,0.07,0.18,0.15,0.0,0.36,"[894, 168, 38, 50]",0.09,0.0,0.01,0.65,0.08,0.0,0.17,,,,,,,,
2,"[499, 124, 195, 245]",0.06,0.0,0.13,0.0,0.13,0.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,
3,"[571, 140, 194, 242]",0.03,0.0,0.04,0.0,0.08,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,
4,"[581, 122, 184, 230]",0.02,0.0,0.13,0.0,0.14,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,
5,"[554, 122, 187, 245]",0.03,0.0,0.03,0.0,0.06,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,
6,"[555, 107, 190, 238]",0.04,0.0,0.07,0.0,0.19,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,
7,"[551, 102, 192, 243]",0.07,0.0,0.1,0.0,0.33,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
8,"[557, 96, 182, 230]",0.04,0.0,0.12,0.0,0.27,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,
9,"[558, 87, 188, 243]",0.03,0.0,0.07,0.0,0.15,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,
10,"[586, 110, 168, 206]",0.07,0.0,0.1,0.0,0.13,0.01,0.7,,,,,,,,,,,,,,,,,,,,,,,,
11,"[584, 95, 185, 233]",0.08,0.0,0.16,0.0,0.14,0.02,0.6,,,,,,,,,,,,,,,,,,,,,,,,
12,"[572, 103, 168, 203]",0.04,0.0,0.04,0.0,0.08,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,
13,"[583, 106, 169, 211]",0.03,0.0,0.07,0.0,0.09,0.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,
14,"[570, 97, 187, 238]",0.02,0.0,0.03,0.0,0.08,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,
15,"[563, 85, 187, 238]",0.06,0.0,0.11,0.0,0.21,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,
16,"[538, 85, 188, 234]",0.06,0.0,0.07,0.0,0.08,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,
17,"[551, 93, 189, 239]",0.04,0.0,0.05,0.0,0.13,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,
18,"[601, 97, 195, 248]",0.04,0.0,0.12,0.0,0.07,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
19,"[529, 128, 201, 248]",0.04,0.0,0.05,0.0,0.08,0.0,0.83,,,,,,,,,,,,,,,,,,,,,,,,
20,"[543, 105, 197, 253]",0.04,0.0,0.05,0.0,0.09,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,
21,"[547, 135, 198, 246]",0.06,0.0,0.12,0.01,0.2,0.01,0.61,,,,,,,,,,,,,,,,,,,,,,,,
22,"[565, 133, 199, 250]",0.04,0.0,0.1,0.0,0.19,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,
23,"[536, 117, 200, 251]",0.1,0.0,0.09,0.0,0.18,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,
24,"[575, 124, 195, 242]",0.03,0.0,0.06,0.0,0.25,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,
25,"[558, 107, 201, 251]",0.02,0.0,0.04,0.0,0.04,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,
26,"[531, 116, 198, 249]",0.16,0.0,0.09,0.0,0.13,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,
27,"[525, 107, 200, 248]",0.04,0.0,0.03,0.0,0.19,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
28,"[539, 122, 202, 244]",0.15,0.0,0.04,0.0,0.19,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,
29,"[529, 102, 201, 246]",0.08,0.0,0.11,0.0,0.11,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,
30,"[557, 116, 197, 247]",0.05,0.0,0.06,0.0,0.11,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,
31,"[525, 76, 201, 252]",0.03,0.0,0.23,0.0,0.08,0.07,0.59,,,,,,,,,,,,,,,,,,,,,,,,
32,"[542, 89, 199, 249]",0.05,0.0,0.07,0.0,0.31,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,
33,"[569, 122, 196, 243]",0.03,0.0,0.04,0.0,0.12,0.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,
34,"[591, 122, 191, 256]",0.1,0.0,0.03,0.0,0.11,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,
35,"[537, 112, 198, 238]",0.03,0.0,0.11,0.0,0.09,0.01,0.76,,,,,,,,,,,,,,,,,,,,,,,,
36,"[552, 101, 198, 247]",0.02,0.0,0.08,0.0,0.15,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,
37,"[565, 101, 198, 243]",0.04,0.0,0.04,0.0,0.21,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,
38,"[552, 104, 199, 243]",0.1,0.0,0.04,0.0,0.18,0.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,
39,"[523, 120, 197, 237]",0.1,0.0,0.02,0.0,0.14,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
40,"[527, 123, 193, 235]",0.06,0.0,0.03,0.0,0.21,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,
41,"[504, 111, 202, 241]",0.06,0.0,0.02,0.0,0.13,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,
42,"[525, 120, 199, 242]",0.12,0.0,0.06,0.0,0.26,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,
43,"[509, 98, 195, 256]",0.11,0.0,0.02,0.0,0.08,0.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,
44,"[511, 106, 196, 243]",0.03,0.0,0.03,0.0,0.04,0.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,
45,"[534, 113, 199, 250]",0.03,0.0,0.06,0.0,0.13,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,
46,"[535, 117, 194, 248]",0.03,0.0,0.03,0.0,0.09,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,
47,"[523, 117, 195, 237]",0.05,0.0,0.04,0.0,0.12,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,
48,"[528, 129, 196, 234]",0.12,0.0,0.06,0.0,0.23,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,
49,"[531, 123, 195, 248]",0.08,0.0,0.1,0.0,0.24,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,
50,"[528, 110, 200, 250]",0.06,0.0,0.04,0.0,0.28,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,
