,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
71,"[571, 79, 133, 172]",0.03,0.0,0.04,0.0,0.01,0.03,0.89
72,"[572, 87, 132, 176]",0.2,0.0,0.13,0.01,0.02,0.14,0.5
73,"[568, 76, 130, 167]",0.03,0.0,0.05,0.0,0.03,0.03,0.86
74,"[572, 77, 129, 164]",0.07,0.0,0.02,0.01,0.07,0.0,0.83
75,"[575, 78, 133, 177]",0.11,0.0,0.11,0.01,0.02,0.05,0.71
76,"[574, 72, 130, 167]",0.02,0.0,0.06,0.01,0.01,0.1,0.8
77,"[578, 73, 125, 164]",0.03,0.0,0.05,0.0,0.02,0.01,0.88
78,"[575, 80, 125, 162]",0.02,0.0,0.03,0.01,0.02,0.01,0.9
79,"[576, 85, 120, 157]",0.04,0.0,0.03,0.0,0.02,0.01,0.9
80,"[569, 79, 131, 172]",0.09,0.0,0.15,0.05,0.03,0.03,0.65
81,"[574, 88, 125, 167]",0.09,0.0,0.02,0.01,0.03,0.01,0.84
82,"[572, 88, 127, 168]",0.04,0.0,0.04,0.02,0.01,0.02,0.87
83,"[575, 75, 129, 166]",0.05,0.0,0.05,0.01,0.04,0.11,0.74
84,"[573, 87, 126, 169]",0.04,0.0,0.02,0.06,0.02,0.0,0.86
85,"[574, 96, 129, 171]",0.34,0.0,0.02,0.0,0.09,0.0,0.54
86,"[576, 69, 130, 168]",0.05,0.0,0.09,0.0,0.04,0.05,0.77
87,"[570, 87, 132, 176]",0.18,0.0,0.08,0.0,0.04,0.03,0.67
88,"[569, 75, 133, 171]",0.03,0.0,0.1,0.01,0.01,0.07,0.78
89,"[571, 82, 127, 170]",0.04,0.0,0.06,0.01,0.02,0.02,0.86
90,"[579, 80, 130, 169]",0.09,0.0,0.07,0.01,0.03,0.07,0.73
91,"[569, 76, 132, 174]",0.04,0.0,0.16,0.0,0.04,0.38,0.38
92,"[570, 89, 127, 170]",0.11,0.0,0.03,0.0,0.05,0.0,0.81
93,"[567, 86, 132, 177]",0.05,0.0,0.01,0.14,0.01,0.02,0.77
94,"[567, 76, 131, 169]",0.05,0.0,0.05,0.0,0.03,0.02,0.85
95,"[573, 95, 128, 166]",0.05,0.0,0.01,0.18,0.01,0.0,0.75
96,"[572, 82, 128, 172]",0.05,0.0,0.01,0.03,0.02,0.0,0.89
97,"[570, 76, 128, 160]",0.05,0.0,0.06,0.02,0.05,0.04,0.79
98,"[571, 86, 127, 169]",0.05,0.0,0.02,0.04,0.04,0.01,0.84
99,"[576, 85, 125, 169]",0.13,0.0,0.08,0.01,0.09,0.05,0.65
100,"[580, 85, 128, 170]",0.03,0.0,0.0,0.03,0.01,0.0,0.92
101,"[576, 84, 129, 164]",0.06,0.0,0.06,0.02,0.04,0.07,0.75
102,"[570, 77, 134, 177]",0.05,0.0,0.05,0.01,0.03,0.02,0.83
103,"[574, 79, 133, 174]",0.04,0.0,0.13,0.02,0.02,0.04,0.76
104,"[559, 80, 128, 169]",0.01,0.0,0.04,0.0,0.01,0.01,0.92
105,"[569, 88, 128, 176]",0.11,0.0,0.27,0.01,0.02,0.29,0.3
106,"[566, 93, 128, 171]",0.12,0.0,0.05,0.0,0.05,0.04,0.73
107,"[573, 80, 129, 168]",0.05,0.0,0.06,0.0,0.04,0.05,0.8
108,"[566, 74, 134, 172]",0.03,0.0,0.07,0.01,0.04,0.04,0.82
109,"[569, 76, 136, 175]",0.05,0.0,0.14,0.01,0.03,0.04,0.73
110,"[572, 84, 128, 173]",0.1,0.0,0.08,0.0,0.06,0.01,0.75
111,"[569, 84, 125, 169]",0.06,0.0,0.02,0.01,0.02,0.0,0.89
112,"[577, 88, 123, 167]",0.15,0.0,0.05,0.02,0.06,0.01,0.72
113,"[580, 83, 126, 167]",0.09,0.0,0.04,0.01,0.06,0.01,0.78
114,"[574, 81, 131, 167]",0.04,0.0,0.01,0.03,0.01,0.0,0.89
115,"[581, 85, 128, 172]",0.07,0.0,0.04,0.03,0.01,0.01,0.84
116,"[587, 86, 125, 165]",0.06,0.0,0.03,0.01,0.02,0.01,0.87
117,"[573, 81, 130, 172]",0.08,0.0,0.06,0.01,0.04,0.04,0.77
118,"[575, 81, 134, 175]",0.11,0.0,0.06,0.01,0.05,0.02,0.75
