,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17,box18,angry18,disgust18,fear18,happy18,sad18,surprise18,neutral18
178,"[509, 144, 129, 171]",0.03,0.0,0.32,0.01,0.17,0.23,0.25,"[149, 448, 42, 54]",0.07,0.0,0.15,0.02,0.19,0.2,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"[506, 143, 139, 176]",0.05,0.0,0.58,0.01,0.05,0.28,0.03,"[162, 440, 42, 56]",0.25,0.0,0.1,0.05,0.1,0.18,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"[150, 446, 43, 54]",0.01,0.0,0.02,0.8,0.02,0.01,0.15,"[506, 134, 139, 187]",0.02,0.0,0.22,0.01,0.01,0.74,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"[514, 148, 139, 182]",0.03,0.0,0.18,0.0,0.02,0.73,0.04,"[148, 449, 43, 54]",0.04,0.0,0.01,0.1,0.03,0.05,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"[498, 139, 139, 183]",0.14,0.0,0.14,0.17,0.38,0.04,0.13,"[140, 445, 42, 54]",0.0,0.0,0.0,0.97,0.0,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"[507, 167, 137, 178]",0.01,0.0,0.01,0.77,0.01,0.05,0.15,"[163, 441, 42, 54]",0.03,0.0,0.12,0.05,0.03,0.53,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"[499, 155, 137, 182]",0.09,0.0,0.06,0.47,0.04,0.25,0.08,"[161, 437, 39, 49]",0.12,0.0,0.03,0.07,0.63,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"[160, 441, 44, 59]",0.04,0.0,0.17,0.12,0.04,0.51,0.11,"[497, 168, 137, 185]",0.0,0.0,0.01,0.0,0.0,0.98,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"[494, 163, 137, 193]",0.04,0.0,0.01,0.71,0.01,0.14,0.09,"[148, 445, 44, 58]",0.1,0.0,0.2,0.01,0.12,0.09,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"[147, 437, 41, 52]",0.41,0.0,0.12,0.1,0.11,0.04,0.22,"[498, 147, 134, 181]",0.16,0.0,0.07,0.5,0.12,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"[491, 132, 138, 196]",0.01,0.0,0.07,0.0,0.01,0.89,0.02,"[153, 441, 44, 60]",0.0,0.0,0.0,0.09,0.0,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"[502, 140, 139, 194]",0.04,0.0,0.08,0.47,0.02,0.38,0.0,"[130, 445, 43, 59]",0.0,0.0,0.01,0.0,0.0,0.97,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"[156, 439, 42, 54]",0.7,0.0,0.07,0.06,0.1,0.03,0.03,"[501, 150, 138, 190]",0.28,0.0,0.06,0.59,0.02,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"[502, 143, 136, 182]",0.0,0.0,0.0,0.98,0.0,0.01,0.0,"[158, 441, 41, 53]",0.03,0.0,0.19,0.02,0.13,0.11,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"[498, 140, 139, 179]",0.04,0.0,0.27,0.02,0.05,0.4,0.22,"[149, 446, 44, 56]",0.06,0.0,0.09,0.05,0.1,0.15,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"[158, 445, 41, 54]",0.07,0.0,0.13,0.01,0.03,0.65,0.11,"[493, 142, 136, 190]",0.13,0.0,0.2,0.13,0.14,0.39,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"[154, 444, 43, 54]",0.03,0.0,0.06,0.13,0.11,0.06,0.62,"[497, 149, 136, 186]",0.13,0.0,0.14,0.08,0.04,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"[505, 149, 133, 181]",0.01,0.0,0.0,0.73,0.0,0.01,0.24,"[171, 440, 43, 53]",0.16,0.0,0.15,0.03,0.09,0.2,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"[178, 440, 42, 54]",0.11,0.0,0.13,0.01,0.08,0.41,0.26,"[514, 145, 132, 185]",0.02,0.0,0.08,0.0,0.01,0.89,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"[146, 454, 41, 52]",0.36,0.0,0.03,0.02,0.13,0.01,0.44,"[518, 150, 135, 183]",0.28,0.0,0.14,0.22,0.08,0.12,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"[141, 450, 43, 54]",0.07,0.0,0.05,0.11,0.05,0.21,0.51,"[498, 139, 142, 201]",0.32,0.0,0.23,0.14,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"[153, 440, 41, 54]",0.03,0.0,0.12,0.06,0.04,0.51,0.23,"[502, 144, 135, 188]",0.07,0.02,0.14,0.01,0.74,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"[163, 440, 43, 57]",0.25,0.0,0.05,0.57,0.02,0.06,0.04,"[502, 147, 129, 179]",0.25,0.0,0.32,0.03,0.35,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"[165, 439, 41, 50]",0.46,0.0,0.08,0.08,0.07,0.14,0.17,"[495, 148, 141, 191]",0.03,0.0,0.02,0.74,0.03,0.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"[496, 142, 135, 177]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,"[161, 442, 42, 53]",0.04,0.0,0.07,0.01,0.07,0.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"[493, 140, 140, 193]",0.14,0.0,0.12,0.39,0.04,0.3,0.01,"[160, 447, 43, 59]",0.01,0.0,0.03,0.0,0.0,0.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"[514, 158, 133, 182]",0.29,0.0,0.19,0.09,0.37,0.03,0.03,"[138, 444, 43, 58]",0.0,0.0,0.02,0.02,0.0,0.95,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"[488, 158, 140, 185]",0.02,0.0,0.02,0.65,0.01,0.08,0.22,"[138, 451, 43, 57]",0.0,0.0,0.0,0.01,0.0,0.97,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"[491, 146, 137, 180]",0.02,0.0,0.13,0.0,0.02,0.81,0.01,"[131, 460, 42, 50]",0.1,0.0,0.01,0.0,0.61,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"[501, 144, 132, 174]",0.06,0.0,0.54,0.01,0.13,0.1,0.15,"[148, 452, 44, 59]",0.02,0.0,0.02,0.48,0.01,0.44,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"[490, 150, 138, 184]",0.07,0.0,0.04,0.07,0.01,0.74,0.07,"[142, 450, 42, 54]",0.04,0.0,0.38,0.03,0.04,0.34,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"[493, 146, 134, 172]",0.01,0.0,0.05,0.1,0.05,0.65,0.13,"[150, 438, 43, 56]",0.25,0.0,0.14,0.17,0.02,0.39,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"[487, 136, 136, 183]",0.02,0.0,0.12,0.23,0.03,0.16,0.44,"[155, 447, 45, 57]",0.05,0.0,0.24,0.12,0.19,0.19,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"[498, 145, 138, 185]",0.03,0.0,0.08,0.69,0.06,0.08,0.06,"[160, 451, 42, 56]",0.01,0.0,0.02,0.06,0.0,0.89,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"[504, 148, 140, 187]",0.21,0.01,0.3,0.22,0.08,0.17,0.02,"[150, 450, 41, 54]",0.04,0.0,0.12,0.14,0.14,0.09,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"[503, 154, 137, 183]",0.16,0.0,0.05,0.45,0.02,0.14,0.18,"[166, 452, 43, 55]",0.01,0.0,0.06,0.12,0.2,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"[501, 151, 142, 189]",0.01,0.0,0.04,0.0,0.0,0.95,0.0,"[149, 453, 38, 47]",0.51,0.02,0.1,0.01,0.09,0.22,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"[501, 135, 138, 175]",0.04,0.0,0.06,0.06,0.11,0.01,0.72,"[163, 436, 40, 48]",0.16,0.0,0.41,0.04,0.09,0.02,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"[506, 146, 137, 183]",0.15,0.01,0.11,0.03,0.59,0.08,0.03,"[167, 443, 42, 52]",0.18,0.0,0.02,0.0,0.17,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"[146, 446, 43, 52]",0.26,0.02,0.29,0.0,0.3,0.06,0.06,"[511, 150, 137, 181]",0.05,0.0,0.02,0.48,0.04,0.03,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"[492, 149, 139, 191]",0.29,0.0,0.06,0.4,0.08,0.16,0.0,"[136, 451, 41, 53]",0.04,0.0,0.04,0.0,0.41,0.01,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"[490, 152, 134, 183]",0.0,0.0,0.0,0.98,0.0,0.01,0.0,"[148, 440, 40, 50]",0.05,0.0,0.3,0.05,0.13,0.09,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"[486, 151, 141, 191]",0.07,0.0,0.08,0.26,0.04,0.46,0.07,"[169, 439, 44, 60]",0.06,0.0,0.09,0.01,0.02,0.81,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"[490, 147, 131, 173]",0.06,0.0,0.16,0.02,0.19,0.01,0.55,"[153, 446, 42, 54]",0.19,0.01,0.11,0.02,0.37,0.03,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"[501, 144, 125, 188]",0.1,0.0,0.19,0.1,0.18,0.07,0.36,"[181, 439, 43, 54]",0.26,0.0,0.04,0.64,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"[156, 444, 42, 52]",0.12,0.0,0.04,0.02,0.11,0.01,0.7,"[509, 203, 121, 161]",0.27,0.0,0.4,0.13,0.17,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"[127, 460, 45, 53]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,"[487, 202, 124, 168]",0.11,0.0,0.52,0.02,0.29,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"[153, 450, 41, 54]",0.0,0.0,0.0,0.96,0.0,0.03,0.01,"[493, 166, 118, 179]",0.04,0.0,0.14,0.06,0.3,0.22,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"[158, 434, 42, 56]",0.07,0.0,0.01,0.75,0.0,0.15,0.02,"[477, 160, 106, 159]",0.09,0.0,0.26,0.12,0.25,0.02,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"[150, 435, 41, 50]",0.8,0.0,0.05,0.04,0.03,0.01,0.07,"[476, 149, 113, 176]",0.01,0.0,0.03,0.66,0.08,0.01,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"[189, 438, 40, 52]",0.03,0.0,0.0,0.95,0.0,0.0,0.01,"[484, 144, 115, 178]",0.2,0.0,0.08,0.41,0.13,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"[140, 440, 43, 54]",0.14,0.0,0.06,0.55,0.09,0.05,0.11,"[469, 152, 29, 40]",0.44,0.0,0.01,0.01,0.38,0.0,0.16,"[1042, 194, 49, 60]",0.17,0.0,0.03,0.04,0.34,0.01,0.4,"[216, 291, 29, 39]",0.03,0.0,0.01,0.75,0.12,0.0,0.09,"[1122, 254, 34, 42]",0.03,0.0,0.06,0.02,0.84,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"[467, 151, 27, 40]",0.3,0.0,0.01,0.04,0.21,0.0,0.43,"[167, 438, 44, 58]",0.01,0.0,0.0,0.99,0.0,0.0,0.0,"[216, 292, 30, 41]",0.03,0.0,0.01,0.77,0.08,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"[1038, 192, 51, 63]",0.11,0.0,0.02,0.1,0.39,0.0,0.38,"[226, 290, 28, 41]",0.04,0.0,0.03,0.59,0.13,0.0,0.2,"[159, 449, 42, 55]",0.01,0.0,0.01,0.8,0.0,0.17,0.01,"[463, 152, 29, 40]",0.23,0.0,0.0,0.0,0.36,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"[507, 155, 137, 183]",0.09,0.0,0.12,0.59,0.11,0.05,0.03,"[167, 443, 40, 54]",0.03,0.0,0.02,0.56,0.01,0.2,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"[506, 148, 134, 174]",0.02,0.0,0.04,0.51,0.03,0.01,0.38,"[168, 441, 42, 53]",0.1,0.0,0.04,0.04,0.14,0.01,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"[509, 137, 131, 187]",0.01,0.0,0.13,0.58,0.06,0.06,0.15,"[149, 439, 43, 56]",0.0,0.0,0.0,0.97,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"[508, 139, 128, 187]",0.09,0.0,0.16,0.09,0.36,0.03,0.29,"[167, 452, 41, 58]",0.03,0.0,0.11,0.15,0.01,0.69,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"[502, 150, 137, 179]",0.16,0.0,0.26,0.08,0.14,0.02,0.34,"[161, 441, 42, 55]",0.01,0.0,0.0,0.23,0.01,0.12,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
