,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[523, 177, 222, 296]",0.02,0.0,0.01,0.02,0.05,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,
1,"[520, 171, 212, 271]",0.03,0.0,0.03,0.04,0.32,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,
2,"[527, 168, 213, 278]",0.01,0.0,0.01,0.07,0.05,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,
3,"[517, 171, 219, 285]",0.01,0.0,0.0,0.05,0.02,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,
4,"[516, 171, 210, 273]",0.02,0.0,0.02,0.01,0.06,0.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,
5,"[514, 166, 221, 293]",0.01,0.0,0.01,0.02,0.03,0.0,0.93,,,,,,,,,,,,,,,,,,,,,,,,
6,"[514, 162, 221, 288]",0.03,0.0,0.01,0.03,0.02,0.01,0.89,,,,,,,,,,,,,,,,,,,,,,,,
7,"[509, 181, 206, 261]",0.01,0.0,0.01,0.01,0.02,0.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,
8,"[511, 166, 223, 290]",0.02,0.0,0.01,0.04,0.02,0.01,0.9,,,,,,,,,,,,,,,,,,,,,,,,
9,"[507, 160, 227, 305]",0.0,0.0,0.01,0.17,0.02,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,
10,"[520, 173, 216, 280]",0.02,0.0,0.01,0.02,0.03,0.01,0.92,,,,,,,,,,,,,,,,,,,,,,,,
11,"[504, 162, 225, 294]",0.0,0.0,0.0,0.63,0.02,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,
12,"[507, 161, 228, 294]",0.02,0.0,0.03,0.17,0.1,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,
13,"[500, 166, 223, 296]",0.01,0.0,0.01,0.05,0.05,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,
